recording,monkey,analysis,embedding_fold,raw_trial_index,nfev,cost,mse,action
monkeyM_session-o080424002-11_lfp-1,M,short,0,97,1200,21.30365790463977,0.13050238141389883,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,short,0,99,1200,29.484746642216294,0.12863518914377017,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,short,1,83,1200,26.518415010662032,0.15555572256517536,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,short,3,54,1200,35.36686960733923,0.16887868087920987,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,short,3,111,1200,21.214960089868192,0.13373602051062256,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,short,3,114,1200,13.652553623345574,0.08615160952899262,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_short,0,11,1200,24.597743027490736,0.1376521697579256,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_short,0,41,1200,38.89683622255419,0.15672018961240908,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_short,0,94,1200,34.84318241319677,0.16580664479263332,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_short,0,97,1200,21.30365790463977,0.13050238141389883,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_short,0,99,1200,29.484746642216294,0.12863518914377017,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_short,1,83,1200,26.518415010662032,0.15555572256517536,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_short,3,54,1200,35.36686960733923,0.16887868087920987,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_short,3,111,1200,21.214960089868192,0.13373602051062256,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_short,3,114,1200,13.652553623345574,0.08615160952899262,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_long,0,179,1200,24.959774103826707,0.15412837675730778,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_long,3,139,1200,19.889296437298192,0.12030552254819615,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_long,4,134,1200,16.90528339207077,0.10632703622218531,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_long,4,160,1200,26.809588893008687,0.14651600283050556,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_long,4,178,1200,31.027794163859888,0.15252459413979003,training_median_imputation
monkeyM_session-o080424002-11_lfp-1,M,matched_long,4,196,1200,8.303856561514067,0.052927061263292205,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,0,39,1200,66.45489088057482,0.1825676149838845,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,0,36,1200,55.478683836759515,0.20153995422379467,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,0,108,1200,78.44613938090498,0.46489746497992085,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,0,140,1200,21.264504938538686,0.13343804714245894,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,1,83,1200,42.457082503192424,0.1276418269094529,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,1,108,1200,78.78400378963568,0.4419004153020173,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,2,8,1200,41.02236089483354,0.13833803274034384,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,2,48,1200,75.6708637732791,0.3087741562688342,training_median_imputation
monkeyM_session-o080424012-22_lfp-1,M,short,3,11,1200,61.277561143091575,0.24700540512125882,training_median_imputation
