analysis,monkey,method,direction,mean,std,count
matched_short,T,peak_power,4,0.17435099466126702,0.12237249090473094,94
matched_short,T,peak_power,5,0.14314766420382152,0.09722869699570418,94
matched_short,T,peak_power,6,0.17839529659502895,0.11303512802280989,94
matched_short,T,power_frequency,1,0.2052186316885358,0.12012809943186754,94
matched_short,T,power_frequency,2,0.3184823639435885,0.13227585739558573,94
matched_short,T,power_frequency,3,0.20475970975758623,0.12855243519301693,94
matched_short,T,power_frequency,4,0.1914597418624229,0.12810231844284894,94
matched_short,T,power_frequency,5,0.2146551155729394,0.12333886863483172,94
matched_short,T,power_frequency,6,0.19576808921860156,0.11640376942322159,94
matched_short,T,torus,1,0.18330432031019614,0.09851488134762003,94
matched_short,T,torus,2,0.20787862371975227,0.09834656862745202,94
matched_short,T,torus,3,0.17516416021131181,0.09777625451196953,94
matched_short,T,torus,4,0.1953124840090164,0.08584923569616378,94
matched_short,T,torus,5,0.18605648912699632,0.09526324662197802,94
matched_short,T,torus,6,0.18385417397457013,0.09159098179187326,94
matched_short,T,torus_all_bands,1,0.19958124618159442,0.10482055923643445,94
matched_short,T,torus_all_bands,2,0.2463221451337594,0.10273169323529537,94
matched_short,T,torus_all_bands,3,0.19400987738639586,0.09536481448546782,94
matched_short,T,torus_all_bands,4,0.19112531970364235,0.09295611489514169,94
matched_short,T,torus_all_bands,5,0.19096631638760153,0.1015349576106424,94
matched_short,T,torus_all_bands,6,0.1910222362951086,0.08904357927212901,94
matched_short,T,torus_pca,1,0.1505097526946033,0.08950769922406673,94
matched_short,T,torus_pca,2,0.15950718948727624,0.1031857972839416,94
matched_short,T,torus_pca,3,0.15832421710891614,0.09502982441820178,94
matched_short,T,torus_pca,4,0.15979349649347663,0.1066290326075715,94
matched_short,T,torus_pca,5,0.16461333215193194,0.09861300477350851,94
matched_short,T,torus_pca,6,0.16863268643262386,0.10814485527164587,94
matched_short,T,torus_power_frequency,1,0.19150512508980244,0.09824379447196457,94
matched_short,T,torus_power_frequency,2,0.2662285234742243,0.12078310420193282,94
matched_short,T,torus_power_frequency,3,0.19916099335770704,0.09505291759436788,94
matched_short,T,torus_power_frequency,4,0.2142503604712562,0.08973431484562859,94
matched_short,T,torus_power_frequency,5,0.2164592022105908,0.09065916333092618,94
matched_short,T,torus_power_frequency,6,0.2031936988538021,0.09227618154192346,94
short,M,all_bands,1,0.17675269381151623,0.10264162986543103,115
short,M,all_bands,2,0.1649627444650727,0.1118411545403418,115
short,M,all_bands,3,0.1901799178870264,0.10606264956575741,115
short,M,all_bands,4,0.1888339384794408,0.1123732280460396,115
short,M,all_bands,5,0.18836061546161706,0.10638166674138727,115
short,M,all_bands,6,0.19990317422728907,0.1096211499115756,115
short,M,peak_frequency,1,0.1782800786722232,0.11403372265527868,115
