analysis,monkey,method,true_direction,predicted_direction,fraction
matched_long,T,peak_power,5,6,0.17835471796927488
matched_long,T,peak_power,6,1,0.14134318863410736
matched_long,T,peak_power,6,2,0.18659332156619515
matched_long,T,peak_power,6,3,0.14889800259766625
matched_long,T,peak_power,6,4,0.14916317811959715
matched_long,T,peak_power,6,5,0.17842196222550946
matched_long,T,peak_power,6,6,0.19558034685692463
matched_long,T,power_frequency,1,1,0.20956906417141422
matched_long,T,power_frequency,1,2,0.2819766646377415
matched_long,T,power_frequency,1,3,0.14283056634705535
matched_long,T,power_frequency,1,4,0.13856837877752626
matched_long,T,power_frequency,1,5,0.111064942268808
matched_long,T,power_frequency,1,6,0.11599038379745462
matched_long,T,power_frequency,2,1,0.21345219211173982
matched_long,T,power_frequency,2,2,0.3704029749787535
matched_long,T,power_frequency,2,3,0.13973747189711905
matched_long,T,power_frequency,2,4,0.0971858144081321
matched_long,T,power_frequency,2,5,0.081196902690698
matched_long,T,power_frequency,2,6,0.09802464391355747
matched_long,T,power_frequency,3,1,0.18236773283018942
matched_long,T,power_frequency,3,2,0.21556858542491433
matched_long,T,power_frequency,3,3,0.14674867798992067
matched_long,T,power_frequency,3,4,0.1574836637423736
matched_long,T,power_frequency,3,5,0.1563104951283974
matched_long,T,power_frequency,3,6,0.14152084488420455
matched_long,T,power_frequency,4,1,0.1434744534446471
matched_long,T,power_frequency,4,2,0.12994350362686674
matched_long,T,power_frequency,4,3,0.14727915442792872
matched_long,T,power_frequency,4,4,0.21330028208492696
matched_long,T,power_frequency,4,5,0.2218319417668653
matched_long,T,power_frequency,4,6,0.14417066464876513
matched_long,T,power_frequency,5,1,0.11790713737570983
matched_long,T,power_frequency,5,2,0.12450426765783144
matched_long,T,power_frequency,5,3,0.1267390327092268
matched_long,T,power_frequency,5,4,0.20582526924680383
matched_long,T,power_frequency,5,5,0.25221474095075375
matched_long,T,power_frequency,5,6,0.17280955205967435
matched_long,T,power_frequency,6,1,0.14191540890197127
matched_long,T,power_frequency,6,2,0.16836500156128706
matched_long,T,power_frequency,6,3,0.1443203727748798
matched_long,T,power_frequency,6,4,0.17795409823782166
matched_long,T,power_frequency,6,5,0.20099844937581268
matched_long,T,power_frequency,6,6,0.16644666914822756
matched_long,T,torus,1,1,0.1655909643215227
matched_long,T,torus,1,2,0.19769558897488396
matched_long,T,torus,1,3,0.1567241850005686
matched_long,T,torus,1,4,0.16017749562070127
matched_long,T,torus,1,5,0.15734795314225813
matched_long,T,torus,1,6,0.16246381294006532
matched_long,T,torus,2,1,0.16518141568852965
matched_long,T,torus,2,2,0.23990081771453614
matched_long,T,torus,2,3,0.1517111907779198
matched_long,T,torus,2,4,0.1468158557160865
matched_long,T,torus,2,5,0.14369250018654253
matched_long,T,torus,2,6,0.15269821991638535
matched_long,T,torus,3,1,0.1689536363208056
matched_long,T,torus,3,2,0.18672820646582874
matched_long,T,torus,3,3,0.16497515440247315
matched_long,T,torus,3,4,0.16051654745340638
matched_long,T,torus,3,5,0.16592590468104418
matched_long,T,torus,3,6,0.15290055067644193
matched_long,T,torus,4,1,0.1457938142564829
matched_long,T,torus,4,2,0.16060907090894702
matched_long,T,torus,4,3,0.15810424914281104
matched_long,T,torus,4,4,0.17035166000463692
matched_long,T,torus,4,5,0.1814855175244613
matched_long,T,torus,4,6,0.18365568816266079
matched_long,T,torus,5,1,0.15105759042034492
matched_long,T,torus,5,2,0.13455814207733907
matched_long,T,torus,5,3,0.15501623395252553
matched_long,T,torus,5,4,0.17857929384393706
matched_long,T,torus,5,5,0.19439862435937147
matched_long,T,torus,5,6,0.18639011534648198
matched_long,T,torus,6,1,0.1526925476720794
matched_long,T,torus,6,2,0.14874737797515772
matched_long,T,torus,6,3,0.15882654724131998
matched_long,T,torus,6,4,0.1655030009054982
matched_long,T,torus,6,5,0.18299799442074643
