recording,monkey,day,analysis,method,macro_f1,n_trials
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_short,torus,0.22650470444588092,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_short,torus_all_bands,0.18475301039956213,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_short,torus_pca,0.2214169130327667,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,matched_short,torus_power_frequency,0.20487324510313018,90
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,short,all_bands,0.10890230838048676,96
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,short,peak_frequency,0.14353622177918676,96
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,short,peak_power,0.19454104807923808,96
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,short,power_frequency,0.15722865722865723,96
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,short,torus,0.19593596059113302,96
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,short,torus_all_bands,0.17652110127205003,96
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,short,torus_pca,0.1319103907250944,96
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,short,torus_power_frequency,0.17859349894944998,96
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_long,all_bands,0.1440919701213819,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_long,peak_frequency,0.1805800071049636,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_long,peak_power,0.15949501538873276,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_long,power_frequency,0.2872036972036972,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_long,torus,0.17957119133589725,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_long,torus_all_bands,0.137432150801478,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_long,torus_pca,0.17545593625589237,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_long,torus_power_frequency,0.23211931902560914,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_short,all_bands,0.19150707114651974,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_short,peak_frequency,0.14655690951516723,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_short,peak_power,0.18867809392225435,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_short,power_frequency,0.19714533453663888,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_short,torus,0.163982449348303,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_short,torus_all_bands,0.19070432491485123,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_short,torus_pca,0.1653702506643683,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,matched_short,torus_power_frequency,0.13681722235185328,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,short,all_bands,0.19150707114651974,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,short,peak_frequency,0.14655690951516723,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,short,peak_power,0.18867809392225435,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,short,power_frequency,0.19714533453663888,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,short,torus,0.163982449348303,120
monkeyM_session-o080424002-11_lfp-1,M,2008-04-24,short,torus_all_bands,0.19070432491485123,120
