recording,outer_fold,family,horizon_ms,trial_index,status,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,monkey,day,raw_trial_index,original_trial_number
monkeyT_session-y070316009-12_lfp-8,0,ar,10,33,ok,0.0020670936676086,0.0020855585568666,0.9979144414431332,0.9989627703883218,1.760262439182058,-0.760262439182058,0.1300561441447409,1.7581768806251914,0.9988152002164884,T,2007-03-16,37,96
monkeyT_session-y070316009-12_lfp-8,0,ar,10,35,ok,0.0018946367706696,0.0016662221773076,0.9983337778226924,0.9991726830121536,1.7102509811847493,-0.7102509811847493,0.1450971507209372,1.7085847590074417,0.9990257440600014,T,2007-03-16,34,479
monkeyT_session-y070316009-12_lfp-8,0,ar,10,44,ok,0.0019928780785274,0.0014227154179727,0.9985772845820272,0.9992893279441524,1.4058809836069477,-0.4058809836069474,0.2777972053225871,1.4044582681889748,0.9989880257044784,T,2007-03-16,36,543
monkeyT_session-y070316009-12_lfp-8,0,ar,10,45,ok,0.0021542223495427,0.0018489026768437,0.9981510973231564,0.9991126456569196,1.0678826124761582,-0.0678826124761582,0.482506266846434,1.0660337097993144,0.9982686274172434,T,2007-03-16,42,34
monkeyT_session-y070316009-12_lfp-8,0,ar,10,46,ok,0.0019533159083124,0.0013736273303037,0.9986263726696962,0.9993173037023908,1.333282171449262,-0.333282171449262,0.3244844159441837,1.3319085441189582,0.998969739969739,T,2007-03-16,46,193
monkeyT_session-y070316009-12_lfp-8,0,ar,10,52,ok,0.0026383366859808,0.0022715567055617,0.9977284432944382,0.9988761371036544,1.657834735330381,-0.6578347353303811,0.1664670574580559,1.6555631786248193,0.9986298050962789,T,2007-03-16,65,131
monkeyT_session-y070316009-12_lfp-8,0,ar,10,55,ok,0.0024295820576883,0.0038869222889911,0.9961130777110088,0.9981220562046056,1.8155182054108268,-0.8155182054108268,0.0826754396190742,1.8116312831218355,0.997859056286295,T,2007-03-16,40,117
monkeyT_session-y070316009-12_lfp-8,0,ar,10,68,ok,0.0022597072796237,0.0025457699476393,0.9974542300523608,0.9987475354757156,1.961309202552868,-0.9613092025528676,0.0521780363411544,1.958763432605228,0.9987020047913272,T,2007-03-16,83,503
monkeyT_session-y070316009-12_lfp-8,0,ar,10,72,ok,0.0021217797447104,0.002600359145198,0.997399640854802,0.9987240589737192,1.7235153442353517,-0.7235153442353517,0.1422747885154722,1.7209149850901535,0.9984912468845168,T,2007-03-16,95,323
monkeyT_session-y070316009-12_lfp-8,0,ar,10,77,ok,0.0023520683901905,0.0015886657203997,0.9984113342796004,0.9992078204326984,1.527772540985834,-0.527772540985834,0.2382362210609478,1.5261838752654342,0.9989601425095817,T,2007-03-16,80,177
monkeyT_session-y070316009-12_lfp-8,0,ar,10,83,ok,0.0021169057016074,0.0015884031456551,0.9984115968543448,0.9992170382363104,1.4405997082878594,-0.4405997082878594,0.2799632596059618,1.4390113051422042,0.998897401452661,T,2007-03-16,68,420
monkeyT_session-y070316009-12_lfp-8,0,ar,10,86,ok,0.003132823622651,0.0018664769183107,0.9981335230816892,0.999117422216297,0.9616633049055704,0.0383366950944297,0.5197851121054854,0.9597968279872596,0.9980591160037098,T,2007-03-16,77,14
monkeyT_session-y070316009-12_lfp-8,0,ar,10,89,ok,0.0018919949942925,0.001747314825416,0.998252685174584,0.9991264142065284,1.525097493425285,-0.525097493425285,0.2249107752065599,1.5233501785998689,0.9988542930317906,T,2007-03-16,94,406
monkeyT_session-y070316009-12_lfp-8,0,ar,10,104,ok,0.0030731925537897,0.001562328602053,0.9984376713979468,0.999278358476149,1.029178858659393,-0.029178858659393,0.4770740368537139,1.02761653005734,0.99848196590038,T,2007-03-16,133,691
monkeyT_session-y070316009-12_lfp-8,0,ar,10,105,ok,0.0013312703978333,0.0022963882016257,0.9977036117983744,0.998893579251658,1.072616500331096,-0.0726165003310959,0.4624999507104066,1.07032011212947,0.9978590780573328,T,2007-03-16,113,489
monkeyT_session-y070316009-12_lfp-8,0,ar,10,106,ok,0.0012861331923631,0.0020698978633415,0.9979301021366584,0.9989702010738578,1.929400907968427,-0.9294009079684268,0.0764768804050306,1.927331010105085,0.9989271810463068,T,2007-03-16,119,17
monkeyT_session-y070316009-12_lfp-8,0,ar,10,112,ok,0.0019331749789109,0.0013238640306766,0.9986761359693234,0.9993547315276332,1.82928473075637,-0.82928473075637,0.0851555986318109,1.8279608667256928,0.9992762941665568,T,2007-03-16,120,206
monkeyT_session-y070316009-12_lfp-8,0,ar,10,122,ok,0.0020169285603769,0.001241013766926,0.998758986233074,0.999405724790764,1.1664487405633504,-0.1664487405633503,0.4154628105762967,1.1652077267964245,0.9989360751795002,T,2007-03-16,117,520
monkeyT_session-y070316009-12_lfp-8,0,ar,10,125,ok,0.001649432224905,0.0018626746247299,0.99813732537527,0.999076303028118,1.83650820102461,-0.8365082010246101,0.0860503991452128,1.83464552639988,0.998985752079032,T,2007-03-16,109,459
monkeyT_session-y070316009-12_lfp-8,0,ar,10,129,ok,0.0025427683277341,0.003228393937546,0.996771606062454,0.9983867076447656,1.4783226637633633,-0.4783226637633633,0.2612186156407713,1.4750942698258174,0.9978161777420584,T,2007-03-16,118,339
monkeyT_session-y070316009-12_lfp-8,0,ar,10,134,ok,0.0014813910812463,0.0019546974697935,0.9980453025302064,0.9990266195429648,1.465875612570768,-0.4658756125707681,0.2588588049104713,1.4639209151009749,0.998666532512697,T,2007-03-16,139,164
monkeyT_session-y070316009-12_lfp-8,0,ar,10,135,ok,0.0023172450407235,0.0031301876212122,0.9968698123787876,0.9985249937975896,2.1772731062054214,-1.1772731062054214,-0.0877111927834646,2.174142918584209,0.9985623357895292,T,2007-03-16,153,697
monkeyT_session-y070316009-12_lfp-8,0,ar,10,138,ok,0.0031715983794803,0.0019620242656138,0.998037975734386,0.999019730762972,1.4545851461809731,-0.4545851461809733,0.2674040672971311,1.4526231219153596,0.9986511451249416,T,2007-03-16,150,457
