row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
51,45,158,2,1,short,3.983030294324811,1.4769268715231838,0.006450513499659427,0.009652269861986884,0.9129554655870445,-0.431985054551597,0.7906071120203427,-0.4339692466833416,0.5613156785597485,0.6123160345413217,0.5567708530864381,0.7059133244577998,-0.0030770548328385716,-0.7082915431420121
52,51,275,2,4,short,3.636135189372142,1.4263014432797738,0.010234054488028542,0.009207957111291475,0.8987854251012146,-0.43531868034556503,0.786241453343208,-0.438545349521524,0.5553792163200539,0.6179180494284143,0.5565350036343684,0.7085559770560956,-0.0012888891898406862,-0.7056534320349741
53,63,254,2,0,short,4.966253601619344,1.1966487056366897,0.0054893013094121,0.006886382691519499,0.8987854251012146,-0.4203280095905486,0.8020898979510274,-0.42423597202330476,0.5696756292362419,0.5971875703880545,0.5646562522706219,0.7062535251649646,-0.004336055687255702,-0.7079457301327112
54,62,220,2,0,short,3.223342668346199,1.106177557511889,0.009021163789520203,0.01058716113413259,0.8927125506072875,-0.4296306620056895,0.7913556532006422,-0.4349410585492453,0.560207801212395,0.6113459478661335,0.5589484336577325,0.7082264565273786,-0.0035159884874494396,-0.7059765747527531
55,64,589,2,2,short,4.422726184650805,1.2480261843894132,0.008062131460538252,0.007754913226458946,0.9068825910931174,-0.4270407536263959,0.7970630908343351,-0.42699721775652855,0.5637061849300242,0.6038960388864189,0.5635112343946039,0.7070159346251237,-5.871038445523502e-05,-0.707197613640808
56,53,530,2,3,short,3.795551159563795,1.4490234055087885,0.011182148226441617,0.00890955074664128,0.9068825910931174,-0.4348035856142946,0.7871921801111257,-0.43734918944574014,0.5582552116402177,0.6167012555545647,0.5550051171601568,0.7066094823970936,-0.002834249339191519,-0.707598054277423
57,56,531,2,0,short,4.407099287508726,1.4504806960723342,0.006966254686057798,0.008162298435211508,0.8805668016194332,-0.43519919259591683,0.7906619971269929,-0.430645177684619,0.5589148678886761,0.6122469671375155,0.5592564900686428,0.7058440572937098,0.002693980339405433,-0.7083621314363756
58,67,91,2,1,short,3.8343091391806494,1.4036593913111126,0.008328193376798887,0.008410662656468754,0.9048582995951417,-0.4291794870516428,0.7942180773963031,-0.4301425501284529,0.5633137597351409,0.6076294742699812,0.5598785851338184,0.7060329850560445,-0.002016813155988395,-0.7081760773123765
59,37,96,2,2,short,3.704352422675682,1.5338580145640364,0.005213628542297103,0.010458556307444007,0.868421052631579,-0.4395568306462071,0.7841128448571008,-0.4381287928935576,0.55361547315519,0.620616401723373,0.5552883843509498,0.707318669706531,0.0015259233392772575,-0.706893182201205
60,47,197,2,1,short,6.3025330743285535,1.6758187913836886,0.01548162471448902,0.007763254454160038,0.951417004048583,-0.43204395618711117,0.7952980763554189,-0.42525167803026936,0.5638820105267977,0.6062133608567619,0.5608408324319885,0.7038288841234395,0.0025161208475862618,-0.7103650969814286
61,57,281,2,2,short,3.839100964346448,1.4024418109359515,0.010660835833331642,0.011014086460722633,0.8927125506072875,-0.4346793659846627,0.7901024924901479,-0.4321942851866826,0.5584732369333154,0.612972733821555,0.5589025596833084,0.7065136179978393,0.0015744688580585087,-0.7076976957934924
62,48,401,2,4,short,4.062541078006026,1.380910937590955,0.009918022401223501,0.0095695882218617,0.9109311740890689,-0.43146309662675625,0.7925789722847564,-0.43088068991460937,0.5603346842214034,0.6097691366662236,0.5605413826184722,0.7070110592542033,0.0004155254116063323,-0.707202368089136
63,42,34,2,2,short,4.29577240666284,1.5637612694914875,0.00853263265324582,0.009255038411395905,0.8967611336032388,-0.42861596593192514,0.7945331986608662,-0.4301224825255886,0.5619447273294768,0.6072199662371609,0.5616956791978566,0.7074648239840925,-0.0009533250619414568,-0.7067479140375892
64,34,479,2,0,short,4.240828762551521,1.479258123578659,0.00483470327925057,0.00717642717393756,0.902834008097166,-0.43244113400183687,0.7919195289393884,-0.43111265964666656,0.5600000881898254,0.6106250419933412,0.559943710847812,0.7066785456277792,0.0007195658743410216,-0.7075343916548222
