analysis_epoch,target,lfp_uid,monkey,session_id,lfp_id,feature_set,feature_label,source_relevant_band,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id,torus_fit_success_fraction,cache_path
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,relevant_band,Relevant band (13-30 Hz),beta,ok,0.14634146341463414,0.13350882015185953,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,low_gamma,Low gamma (30-55 Hz),beta,ok,0.1951219512195122,0.15819269343982664,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,average_psd,Average PSD,beta,ok,0.11788617886178862,0.09754246535831927,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,all_band_power,All band power,beta,ok,0.17886178861788618,0.174937246632021,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,torus_features,Torus features,beta,ok,0.14227642276422764,0.14018104618483665,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,torus_plus_relevant_band,Torus + Relevant band,beta,ok,0.15447154471544716,0.15120612376089684,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,torus_plus_average_psd,Torus + Average PSD,beta,ok,0.15853658536585366,0.15235700446951794,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,4,torus_plus_all_band_power,Torus + All band power,beta,ok,0.16260162601626016,0.16047193294666315,6,246,41,11,11.0,9,pertrace_unsupervised_movement_signal,pertrace_tau11_embed9,0.9845559845559846,nonlinear_refit/monkeyM_session-o080417003-14_lfp-4_movement_tau11_embed9_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,delta,Delta (2-4 Hz),beta,ok,0.1375,0.11297571848260209,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,theta,Theta (4-8 Hz),beta,ok,0.15,0.1369581751495683,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,alpha,Alpha (8-13 Hz),beta,ok,0.15833333333333333,0.13856429814073631,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,relevant_band,Relevant band (13-30 Hz),beta,ok,0.16666666666666666,0.12908353350363483,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,low_gamma,Low gamma (30-55 Hz),beta,ok,0.20416666666666666,0.1410272406525583,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,average_psd,Average PSD,beta,ok,0.18333333333333332,0.15924768976430068,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,all_band_power,All band power,beta,ok,0.1875,0.1733520346990219,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,torus_features,Torus features,beta,ok,0.1625,0.155390646423645,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,torus_plus_relevant_band,Torus + Relevant band,beta,ok,0.1625,0.15736436845382648,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,torus_plus_average_psd,Torus + Average PSD,beta,ok,0.17083333333333334,0.1656960933866308,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2,torus_plus_all_band_power,Torus + All band power,beta,ok,0.17916666666666667,0.1739605028605785,6,240,40,29,29.0,7,pertrace_unsupervised_movement_signal,pertrace_tau29_embed7,1.0,nonlinear_refit/monkeyM_session-o080422011-21_lfp-2_movement_tau29_embed7_pts300_nfev1200.npz
movement,direction,monkeyM_session-o080423001-5_lfp-6,M,o080423001-5,6,delta,Delta (2-4 Hz),beta,ok,0.21904761904761905,0.16687892211148025,6,210,35,41,41.0,7,pertrace_unsupervised_movement_signal,pertrace_tau41_embed7,1.0,nonlinear_refit/monkeyM_session-o080423001-5_lfp-6_movement_tau41_embed7_pts300_nfev1200.npz
