lfp_uid,monkey,session_id,lfp_id,source_cell_id,twodir,source_pair_index,n_trials,n_samples,sampling_rate_hz,go_sample_zero_based,n_directions,n_delay_types,has_all_6_directions,has_short_and_long,converted_path,direction_1_count,direction_2_count,direction_3_count,direction_4_count,direction_5_count,direction_6_count,short_delay_count,long_delay_count,unknown_delay_count
monkeyM_session-o081001001-12_lfp-3,M,o081001001-12,3,Spi1-1,,513,239,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081001001-12_lfp-3.npz,40,39,40,40,39,41,119,120,0
monkeyM_session-o081001001-12_lfp-1,M,o081001001-12,1,Spi3-1,,517,239,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081001001-12_lfp-1.npz,40,39,40,40,39,41,119,120,0
monkeyM_session-o081001013-26_lfp-3,M,o081001013-26,3,Spi1-2,,522,280,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081001013-26_lfp-3.npz,48,46,48,43,48,47,140,140,0
monkeyM_session-o081001013-26_lfp-1,M,o081001013-26,1,Spi4-1,,524,280,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081001013-26_lfp-1.npz,48,46,48,43,48,47,140,140,0
monkeyM_session-o081002010-22_lfp-2,M,o081002010-22,2,Spi1-1,,527,227,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081002010-22_lfp-2.npz,40,39,40,37,35,36,118,109,0
monkeyM_session-o081002023-28_lfp-3,M,o081002023-28,3,Spi1-1,3,535,84,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o081002023-28_lfp-3.npz,0,0,43,0,0,41,44,40,0
monkeyM_session-o081003003-14_lfp-2,M,o081003003-14,2,Spi1-3,,539,238,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081003003-14_lfp-2.npz,40,39,41,40,40,38,117,121,0
monkeyM_session-o081003003-14_lfp-1,M,o081003003-14,1,Spi3-1,,540,238,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081003003-14_lfp-1.npz,40,39,41,40,40,38,117,121,0
monkeyM_session-o081003015-26_lfp-2,M,o081003015-26,2,Spi1-1,,552,236,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081003015-26_lfp-2.npz,40,40,38,38,40,40,119,117,0
monkeyM_session-o081003015-26_lfp-1,M,o081003015-26,1,SpN2-1,,554,236,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081003015-26_lfp-1.npz,40,40,38,38,40,40,119,117,0
monkeyM_session-o081008001-15_lfp-2,M,o081008001-15,2,Spi1-1,,565,224,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081008001-15_lfp-2.npz,34,35,39,39,39,38,117,107,0
monkeyM_session-o081008001-15_lfp-1,M,o081008001-15,1,Spi2-2,,567,224,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081008001-15_lfp-1.npz,34,35,39,39,39,38,117,107,0
monkeyM_session-o081028001-12_lfp-4,M,o081028001-12,4,Spi2-1,,577,203,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081028001-12_lfp-4.npz,35,37,34,33,33,31,105,98,0
monkeyM_session-o081028013-20_lfp-1,M,o081028013-20,1,Spi3-1,1,586,135,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o081028013-20_lfp-1.npz,73,0,0,62,0,0,71,64,0
monkeyM_session-o081028021-26_lfp-1,M,o081028021-26,1,Spi4-1,1,589,106,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o081028021-26_lfp-1.npz,54,0,0,52,0,0,53,53,0
monkeyM_session-o081029001-11_lfp-3,M,o081029001-11,3,Spi4-1,,595,183,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081029001-11_lfp-3.npz,32,30,27,30,31,33,90,93,0
monkeyM_session-o081029012-25_lfp-4,M,o081029012-25,4,Spi3-1,,600,192,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081029012-25_lfp-4.npz,34,34,32,30,28,34,81,111,0
monkeyM_session-o081029012-25_lfp-3,M,o081029012-25,3,Spi4-1,,601,192,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081029012-25_lfp-3.npz,34,34,32,30,28,34,81,111,0
monkeyM_session-o081031013-23_lfp-3,M,o081031013-23,3,Spi1-1,,606,393,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081031013-23_lfp-3.npz,68,64,66,65,66,64,196,197,0
monkeyM_session-o081031013-23_lfp-1,M,o081031013-23,1,Spi6-1,,607,393,6801,1000,4500,6,2,True,True,lfp_converted_data/monkeyM_session-o081031013-23_lfp-1.npz,68,64,66,65,66,64,196,197,0
monkeyM_session-o081031024-27_lfp-1,M,o081031024-27,1,Spi8-2,3,608,84,6801,1000,4500,2,2,False,True,lfp_converted_data/monkeyM_session-o081031024-27_lfp-1.npz,0,0,43,0,0,41,42,42,0
