lfp_uid,monkey,session_id,lfp_id,freq_hz,band,median_residual_log_psd,prominence,bootstrap_support,included_for_order,exclusion_reason
monkeyM_session-o080423001-5_lfp-6,M,o080423001-5,6,33.0,low_gamma,0.23858073407008906,0.20268660684539488,0.7166666666666667,True,
monkeyM_session-o080423001-5_lfp-8,M,o080423001-5,8,4.0,theta,0.13014587871030345,0.054902550939834135,0.6,True,
monkeyM_session-o080423001-5_lfp-8,M,o080423001-5,8,19.0,beta,0.3587430591692018,0.635790541032748,1.0,True,
monkeyM_session-o080423001-5_lfp-8,M,o080423001-5,8,32.0,low_gamma,0.32787705788313193,0.2982592590175673,0.9583333333333334,True,
monkeyM_session-o080424002-11_lfp-1,M,o080424002-11,1,6.0,theta,0.15423483585050235,0.18889680625913616,1.0,True,
monkeyM_session-o080424002-11_lfp-1,M,o080424002-11,1,17.0,beta,0.41669280391447977,0.3726336378916452,1.0,True,
monkeyM_session-o080424002-11_lfp-1,M,o080424002-11,1,32.0,low_gamma,0.5303429866199375,0.8499028807076876,1.0,True,
monkeyM_session-o080424012-22_lfp-1,M,o080424012-22,1,6.0,theta,0.12274698179914348,0.21608872419199832,1.0,True,
monkeyM_session-o080424012-22_lfp-1,M,o080424012-22,1,17.0,beta,0.2294495437118903,0.24233191993633119,1.0,True,
monkeyM_session-o080424012-22_lfp-1,M,o080424012-22,1,32.0,low_gamma,0.6949486219295806,0.8169672063613899,1.0,True,
monkeyM_session-o080425003-12_lfp-1,M,o080425003-12,1,16.0,beta,0.5234663497499348,0.44591410184383307,1.0,True,
monkeyM_session-o080425003-12_lfp-1,M,o080425003-12,1,33.0,low_gamma,0.6060405640080633,0.8801064802424795,1.0,True,
monkeyM_session-o080425013-21_lfp-1,M,o080425013-21,1,16.0,beta,0.4022873137454621,0.36914052928889163,1.0,True,
monkeyM_session-o080425013-21_lfp-1,M,o080425013-21,1,33.0,low_gamma,0.6208553744138837,0.954083534166727,1.0,True,
monkeyM_session-o080429002-7_lfp-2,M,o080429002-7,2,5.0,theta,0.059377939420397666,0.23094986583432214,1.0,True,
monkeyM_session-o080429002-7_lfp-2,M,o080429002-7,2,19.0,beta,0.5411736112676117,0.8461707967742766,1.0,True,
monkeyM_session-o080429002-7_lfp-2,M,o080429002-7,2,34.0,low_gamma,0.35427896313831286,0.20214284743676442,1.0,True,
monkeyM_session-o080429011-12_lfp-2,M,o080429011-12,2,5.0,theta,0.013044677703027916,0.13841244236618133,0.9583333333333334,True,
monkeyM_session-o080429011-12_lfp-2,M,o080429011-12,2,18.0,beta,0.49556286989217346,0.7741890921787329,0.9166666666666666,True,
monkeyM_session-o080429011-12_lfp-2,M,o080429011-12,2,35.0,low_gamma,0.33362672005893834,0.25844922975388657,0.875,True,
monkeyM_session-o080430002-12_lfp-1,M,o080430002-12,1,5.0,theta,0.17322910979745804,0.2996883053421936,1.0,True,
monkeyM_session-o080430002-12_lfp-1,M,o080430002-12,1,16.0,beta,0.3019855043620751,0.1933153285143948,1.0,True,
monkeyM_session-o080430002-12_lfp-1,M,o080430002-12,1,34.0,low_gamma,0.43814254273466374,0.6814978384637516,1.0,True,
monkeyM_session-o080430013-23_lfp-1,M,o080430013-23,1,5.0,theta,0.016191557521595283,0.1396843684028596,0.9916666666666667,True,
monkeyM_session-o080430013-23_lfp-1,M,o080430013-23,1,17.0,beta,0.5284877321495627,0.8028623278031805,1.0,True,
monkeyM_session-o080430013-23_lfp-1,M,o080430013-23,1,34.0,low_gamma,0.37053193801634865,0.2520407190680791,0.9166666666666666,True,
monkeyM_session-o080430013-23_lfp-2,M,o080430013-23,2,5.0,theta,-0.007075927755034232,0.09857311473262179,0.9666666666666667,True,
monkeyM_session-o080430013-23_lfp-2,M,o080430013-23,2,17.0,beta,0.5295768392381313,0.7260251439972698,1.0,True,
monkeyM_session-o080430013-23_lfp-2,M,o080430013-23,2,30.0,low_gamma,0.30622018561846165,0.12649176178946714,0.9833333333333333,True,
monkeyM_session-o080430013-23_lfp-2,M,o080430013-23,2,47.0,low_gamma,-0.12437557034421673,0.04601781485179918,0.7166666666666667,True,
monkeyM_session-o080501001-6_lfp-1,M,o080501001-6,1,15.0,beta,0.11924289798513,0.1209555394511187,0.925,True,
monkeyM_session-o080501001-6_lfp-1,M,o080501001-6,1,34.0,low_gamma,0.5445132263369152,0.7904524319981041,1.0,True,
monkeyM_session-o080501018-21_lfp-6,M,o080501018-21,6,5.0,theta,0.12722485134892478,0.2892600370867711,1.0,True,
monkeyM_session-o080501018-21_lfp-6,M,o080501018-21,6,17.0,beta,0.4241113049269101,0.5955873919455494,0.9916666666666667,True,
monkeyM_session-o080501018-21_lfp-6,M,o080501018-21,6,34.0,low_gamma,0.3415059950271116,0.28197620719030514,0.9166666666666666,True,
monkeyM_session-o080501018-21_lfp-7,M,o080501018-21,7,5.0,theta,0.12559671603053335,0.18918643616602177,1.0,True,
monkeyM_session-o080501018-21_lfp-7,M,o080501018-21,7,17.0,beta,0.33617629272676264,0.28016149330178647,1.0,True,
monkeyM_session-o080501018-21_lfp-7,M,o080501018-21,7,34.0,low_gamma,0.398651187077546,0.49324897207013013,1.0,True,
monkeyM_session-o080506002-22_lfp-1,M,o080506002-22,1,31.0,low_gamma,0.8255897410634947,1.0104482155620225,1.0,True,
monkeyM_session-o080506002-22_lfp-2,M,o080506002-22,2,5.0,theta,0.05736332771744985,0.07678775214527789,0.7166666666666667,True,
monkeyM_session-o080506002-22_lfp-2,M,o080506002-22,2,16.0,beta,0.08846044778251605,0.1216891943713948,0.9916666666666667,True,
monkeyM_session-o080506002-22_lfp-2,M,o080506002-22,2,31.0,low_gamma,0.8361530192231896,0.9351437788124505,1.0,True,
monkeyM_session-o080507002-11_lfp-1,M,o080507002-11,1,5.0,theta,0.0017692886468906135,0.05070443117152505,0.7333333333333333,True,
monkeyM_session-o080507002-11_lfp-1,M,o080507002-11,1,17.0,beta,0.4182891046204892,0.5318852642084066,1.0,True,
monkeyM_session-o080507002-11_lfp-1,M,o080507002-11,1,29.0,beta,0.32231532508460503,0.13083621213520652,0.9916666666666667,True,
monkeyM_session-o080507002-11_lfp-1,M,o080507002-11,1,47.0,low_gamma,-0.05603797243793933,0.08619585690960054,0.6333333333333333,True,
monkeyM_session-o080507012-23_lfp-1,M,o080507012-23,1,16.0,beta,0.3422539108546305,0.12345628237460882,1.0,True,
monkeyM_session-o080507012-23_lfp-1,M,o080507012-23,1,29.0,beta,0.38985298325231554,0.511075493089337,0.9916666666666667,True,
monkeyM_session-o080507012-23_lfp-1,M,o080507012-23,1,47.0,low_gamma,-0.09539067996478293,0.10971187835042437,0.8416666666666667,True,
monkeyM_session-o080507012-23_lfp-2,M,o080507012-23,2,17.0,beta,0.5360944378118141,0.4527466378764389,1.0,True,
monkeyM_session-o080507012-23_lfp-2,M,o080507012-23,2,33.0,low_gamma,0.595944729177675,0.7751460545999579,1.0,True,
monkeyM_session-o080509001-9_lfp-1,M,o080509001-9,1,5.0,theta,0.11815341063058774,0.24239270704289428,1.0,True,
monkeyM_session-o080509001-9_lfp-1,M,o080509001-9,1,18.0,beta,0.5782330082606454,0.9081829327277587,1.0,True,
monkeyM_session-o080509001-9_lfp-1,M,o080509001-9,1,36.0,low_gamma,0.2646527997412076,0.1962459089673102,0.7416666666666667,True,
monkeyM_session-o080509010-19_lfp-1,M,o080509010-19,1,5.0,theta,0.0949710844792608,0.22199701637151825,1.0,True,
monkeyM_session-o080509010-19_lfp-1,M,o080509010-19,1,18.0,beta,0.5616059069796142,0.8287437317922415,1.0,True,
monkeyM_session-o080509010-19_lfp-1,M,o080509010-19,1,29.0,beta,0.284514645688442,0.18542461409272065,0.6,True,
monkeyM_session-o080513001-9_lfp-1,M,o080513001-9,1,16.0,beta,0.4390788519387243,0.2750097086535671,1.0,True,
monkeyM_session-o080513001-9_lfp-1,M,o080513001-9,1,32.0,low_gamma,0.8058503930659486,1.0130618688194857,1.0,True,
monkeyM_session-o080513001-9_lfp-2,M,o080513001-9,2,32.0,low_gamma,0.8291862919375914,1.0325378900671915,1.0,True,
monkeyM_session-o080513001-9_lfp-2,M,o080513001-9,2,53.0,low_gamma,-0.24148313013762374,0.10484840102455933,0.4583333333333333,False,support below 0.50
monkeyM_session-o080513010-18_lfp-1,M,o080513010-18,1,16.0,beta,0.48779636782486885,0.30107136240984633,1.0,True,
monkeyM_session-o080513010-18_lfp-1,M,o080513010-18,1,32.0,low_gamma,0.7297163846407244,0.9054515302412052,1.0,True,
monkeyM_session-o080513010-18_lfp-2,M,o080513010-18,2,33.0,low_gamma,0.7551018184165654,1.0241929452845786,1.0,True,
monkeyM_session-o080513010-18_lfp-2,M,o080513010-18,2,53.0,low_gamma,-0.16531658175459193,0.09811235481421013,0.6583333333333333,True,
monkeyM_session-o080514007-17_lfp-1,M,o080514007-17,1,17.0,beta,0.026295604039235226,0.04933796525861234,0.675,True,
monkeyM_session-o080514007-17_lfp-1,M,o080514007-17,1,33.0,low_gamma,0.6682497951006687,0.7632174436399481,1.0,True,
monkeyM_session-o080514007-17_lfp-1,M,o080514007-17,1,47.0,low_gamma,-0.015453458342762752,0.11475321880724525,0.95,True,
monkeyM_session-o080515002-11_lfp-1,M,o080515002-11,1,5.0,theta,0.1433243839203885,0.11537029857489811,0.9333333333333333,True,
monkeyM_session-o080515002-11_lfp-1,M,o080515002-11,1,32.0,low_gamma,0.8505120947412061,0.9893157097399353,1.0,True,
monkeyM_session-o080515002-11_lfp-1,M,o080515002-11,1,47.0,low_gamma,-0.19194646271172466,0.11823358036132703,0.9333333333333333,True,
monkeyM_session-o080515002-11_lfp-2,M,o080515002-11,2,5.0,theta,0.1328484566599777,0.1585862759324728,1.0,True,
monkeyM_session-o080515002-11_lfp-2,M,o080515002-11,2,31.0,low_gamma,0.6499349789121693,0.791129574556467,1.0,True,
monkeyM_session-o080515002-11_lfp-2,M,o080515002-11,2,47.0,low_gamma,-0.02320704818822189,0.18566637729897728,1.0,True,
monkeyM_session-o080515012-24_lfp-1,M,o080515012-24,1,17.0,beta,0.029060291290884537,0.08748009050973939,0.825,True,
monkeyM_session-o080515012-24_lfp-1,M,o080515012-24,1,32.0,low_gamma,0.8503928833365194,1.1793440083867703,1.0,True,
monkeyM_session-o080515012-24_lfp-1,M,o080515012-24,1,47.0,low_gamma,-0.14800285529085278,0.12805106652488818,0.925,True,
monkeyM_session-o080515012-24_lfp-2,M,o080515012-24,2,5.0,theta,0.1491740974909161,0.2052215606715536,1.0,True,
