lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,peri_go,direction,torus_geometry_15,ok,0.5813953488372093,0.5804878048780489,2,86,43
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,peri_go,delay,torus_geometry_15,ok,0.37777777777777777,0.37777777777777777,2,90,45
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,peri_go,condition,torus_geometry_15,ok,0.25,0.2451588163654916,4,84,21
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,direction,torus_geometry_15,ok,0.6511627906976745,0.650974025974026,2,86,43
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,delay,torus_geometry_15,ok,0.34444444444444444,0.34436350166687246,2,90,45
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,movement,condition,torus_geometry_15,ok,0.35714285714285715,0.35365919181435523,4,84,21
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,post_go,direction,torus_geometry_15,ok,0.5232558139534884,0.5231913455037187,2,86,43
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,post_go,delay,torus_geometry_15,ok,0.4222222222222222,0.42193675889328064,2,90,45
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,post_go,condition,torus_geometry_15,ok,0.2857142857142857,0.2848698119505953,4,84,21
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,pre_go,direction,torus_geometry_15,ok,0.4186046511627907,0.4173441734417344,2,86,43
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,pre_go,delay,torus_geometry_15,ok,0.6444444444444445,0.6444444444444445,2,90,45
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,pre_go,condition,torus_geometry_15,ok,0.2976190476190476,0.2978210813576667,4,84,21
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,peri_go,direction,torus_geometry_15,ok,0.5116279069767442,0.5105691056910568,2,86,43
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,peri_go,delay,torus_geometry_15,ok,0.5666666666666667,0.5661846496106786,2,90,45
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,peri_go,condition,torus_geometry_15,ok,0.3333333333333333,0.33228383458646615,4,84,21
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,torus_geometry_15,ok,0.5813953488372093,0.5804878048780489,2,86,43
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,delay,torus_geometry_15,ok,0.6111111111111112,0.609907120743034,2,90,45
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,condition,torus_geometry_15,ok,0.32142857142857145,0.317531855322553,4,84,21
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,post_go,direction,torus_geometry_15,ok,0.6395348837209303,0.6390957086774063,2,86,43
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,post_go,delay,torus_geometry_15,ok,0.5777777777777777,0.5769421078673924,2,90,45
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,post_go,condition,torus_geometry_15,ok,0.3333333333333333,0.32611556064073227,4,84,21
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,pre_go,direction,torus_geometry_15,ok,0.49038461538461536,0.4899602109743684,2,104,52
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,pre_go,delay,torus_geometry_15,ok,0.5882352941176471,0.5876010781671159,2,102,51
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,pre_go,condition,torus_geometry_15,ok,0.31,0.31112695914486194,4,100,25
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,peri_go,direction,torus_geometry_15,ok,0.5961538461538461,0.5961538461538461,2,104,52
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,peri_go,delay,torus_geometry_15,ok,0.6666666666666666,0.6655092592592593,2,102,51
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,peri_go,condition,torus_geometry_15,ok,0.33,0.33021885521885525,4,100,25
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,direction,torus_geometry_15,ok,0.5384615384615384,0.5382907880133185,2,104,52
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,delay,torus_geometry_15,ok,0.5784313725490197,0.5783908487936171,2,102,51
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,movement,condition,torus_geometry_15,ok,0.33,0.3288253447400289,4,100,25
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,post_go,direction,torus_geometry_15,ok,0.5192307692307693,0.5176252319109462,2,104,52
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,post_go,delay,torus_geometry_15,ok,0.5,0.49995193694126694,2,102,51
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,1,post_go,condition,torus_geometry_15,ok,0.27,0.266025641025641,4,100,25
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,pre_go,direction,torus_geometry_15,ok,0.44047619047619047,0.4384867017493955,2,84,42
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,pre_go,delay,torus_geometry_15,ok,0.4024390243902439,0.40163812360387197,2,82,41
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,pre_go,condition,torus_geometry_15,ok,0.15,0.15727468359047306,4,80,20
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,peri_go,direction,torus_geometry_15,ok,0.5119047619047619,0.5118355776045358,2,84,42
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,peri_go,delay,torus_geometry_15,ok,0.7317073170731707,0.731067382230173,2,82,41
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,peri_go,condition,torus_geometry_15,ok,0.3,0.29644911468877533,4,80,20
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,direction,torus_geometry_15,ok,0.7261904761904762,0.7261516654854713,2,84,42
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,delay,torus_geometry_15,ok,0.5853658536585366,0.5851190476190475,2,82,41
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,movement,condition,torus_geometry_15,ok,0.3625,0.3566919191919192,4,80,20
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,post_go,direction,torus_geometry_15,ok,0.5119047619047619,0.5112813963388676,2,84,42
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,post_go,delay,torus_geometry_15,ok,0.5365853658536586,0.5340909090909092,2,82,41
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,1,post_go,condition,torus_geometry_15,ok,0.3,0.29823224387177877,4,80,20
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,pre_go,direction,torus_geometry_15,ok,0.375,0.3742727860374919,2,88,44
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,pre_go,delay,torus_geometry_15,ok,0.6428571428571429,0.6426545660805445,2,84,42
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,pre_go,condition,torus_geometry_15,ok,0.3,0.29668378262729994,4,80,20
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,peri_go,direction,torus_geometry_15,ok,0.5795454545454546,0.5790562378797672,2,88,44
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,peri_go,delay,torus_geometry_15,ok,0.6190476190476191,0.6181818181818182,2,84,42
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,peri_go,condition,torus_geometry_15,ok,0.2875,0.29223962312197604,4,80,20
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,torus_geometry_15,ok,0.48863636363636365,0.48804137039431156,2,88,44
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,delay,torus_geometry_15,ok,0.6309523809523809,0.6304810557684121,2,84,42
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,condition,torus_geometry_15,ok,0.25,0.24088917618329383,4,80,20
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,post_go,direction,torus_geometry_15,ok,0.45454545454545453,0.4542635658914729,2,88,44
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,post_go,delay,torus_geometry_15,ok,0.5357142857142857,0.5324675324675324,2,84,42
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,post_go,condition,torus_geometry_15,ok,0.225,0.21314225073623572,4,80,20
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,pre_go,direction,torus_geometry_15,ok,0.5431034482758621,0.5430694908955779,2,116,58
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,pre_go,delay,torus_geometry_15,ok,0.7413793103448276,0.7413024085637823,2,116,58
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,pre_go,condition,torus_geometry_15,ok,0.41964285714285715,0.41821833996756597,4,112,28
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,peri_go,direction,torus_geometry_15,ok,0.5689655172413793,0.5684523809523809,2,116,58
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,peri_go,delay,torus_geometry_15,ok,0.6637931034482759,0.663768115942029,2,116,58
