lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_fit_success_fraction,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,average_psd,ok,0.4318181818181818,0.43064182194616973,2,88,44,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,all_band_power,ok,0.3409090909090909,0.3405684754521964,2,88,44,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,1,movement,direction,torus_nonlinear_15,ok,0.42045454545454547,0.42037969779155365,2,88,44,1.0,15,15.0,9,pertrace_unsupervised_movement_signal,pertrace_tau15_embed9
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,delta,ok,0.5948275862068966,0.5947974730583426,2,116,58,1.0,11,11.0,3,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,theta,ok,0.43103448275862066,0.43103448275862066,2,116,58,1.0,11,11.0,3,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,alpha,ok,0.5689655172413793,0.5684523809523809,2,116,58,1.0,11,11.0,3,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,beta,ok,0.5948275862068966,0.5945564066334499,2,116,58,1.0,11,11.0,3,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,low_gamma,ok,0.49137931034482757,0.4910388934334796,2,116,58,1.0,11,11.0,3,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,average_psd,ok,0.47413793103448276,0.4693663292088489,2,116,58,1.0,11,11.0,3,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,all_band_power,ok,0.5517241379310345,0.550521609538003,2,116,58,1.0,11,11.0,3,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,1,movement,direction,torus_nonlinear_15,ok,0.5344827586206896,0.532258064516129,2,116,58,1.0,11,11.0,3,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,direction,delta,ok,0.5517241379310345,0.551590841510556,2,116,58,1.0,11,11.0,3,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2,movement,direction,theta,ok,0.5172413793103449,0.5172413793103449,2,116,58,1.0,11,11.0,3,pertrace_unsupervised_movement_signal,pertrace_tau11_embed3
