lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,peri_go,direction,torus_geometry_15,ok,0.7,0.6992481203007519,2,80,40,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,peri_go,delay,torus_geometry_15,ok,0.5125,0.5124238162212846,2,80,40,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,peri_go,condition,torus_geometry_15,ok,0.3625,0.3489693446088795,4,80,20,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,direction,torus_geometry_15,ok,0.5,0.4949494949494949,2,80,40,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,delay,torus_geometry_15,ok,0.55,0.5488721804511278,2,80,40,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,movement,condition,torus_geometry_15,ok,0.325,0.32399749373433584,4,80,20,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,post_go,direction,torus_geometry_15,ok,0.625,0.6247654784240151,2,80,40,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,post_go,delay,torus_geometry_15,ok,0.5625,0.5624316299421784,2,80,40,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,1,post_go,condition,torus_geometry_15,ok,0.4375,0.44019348630140315,4,80,20,17,17.0,7,pertrace_unsupervised_movement_signal,pertrace_tau17_embed7
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,pre_go,direction,torus_geometry_15,ok,0.55,0.55,2,80,40,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,pre_go,delay,torus_geometry_15,ok,0.6875,0.6870599280237835,2,80,40,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2,pre_go,condition,torus_geometry_15,ok,0.375,0.3748889778112544,4,80,20,14,14.0,9,pertrace_unsupervised_movement_signal,pertrace_tau14_embed9
