lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_fit_success_fraction
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2,movement,direction,beta,ok,0.5166666666666667,0.5161290322580645,2,120,60,0.9916666666666667
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2,movement,direction,low_gamma,ok,0.6083333333333333,0.6076521739130435,2,120,60,0.9916666666666667
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2,movement,direction,average_psd,ok,0.48333333333333334,0.48203842940685043,2,120,60,0.9916666666666667
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2,movement,direction,all_band_power,ok,0.6083333333333333,0.6080883885761934,2,120,60,0.9916666666666667
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2,movement,direction,torus_nonlinear_15,ok,0.6083333333333333,0.6080883885761934,2,120,60,0.9916666666666667
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,1,movement,direction,delta,ok,0.4479166666666667,0.4430213464696223,2,96,48,0.9693877551020408
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,1,movement,direction,theta,ok,0.6145833333333334,0.6135349798716135,2,96,48,0.9693877551020408
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,1,movement,direction,alpha,ok,0.53125,0.530791788856305,2,96,48,0.9693877551020408
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,1,movement,direction,beta,ok,0.59375,0.5933528836754643,2,96,48,0.9693877551020408
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,1,movement,direction,low_gamma,ok,0.53125,0.530791788856305,2,96,48,0.9693877551020408
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,1,movement,direction,average_psd,ok,0.4583333333333333,0.4583333333333333,2,96,48,0.9693877551020408
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,1,movement,direction,all_band_power,ok,0.5,0.5,2,96,48,0.9693877551020408
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,1,movement,direction,torus_nonlinear_15,ok,0.4895833333333333,0.48279274326553046,2,96,48,0.9693877551020408
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2,movement,direction,delta,ok,0.5520833333333334,0.5520347259902334,2,96,48,0.9795918367346939
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2,movement,direction,theta,ok,0.6145833333333334,0.6145415084102008,2,96,48,0.9795918367346939
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2,movement,direction,alpha,ok,0.4583333333333333,0.44285714285714284,2,96,48,0.9795918367346939
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2,movement,direction,beta,ok,0.4791666666666667,0.4791666666666667,2,96,48,0.9795918367346939
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2,movement,direction,low_gamma,ok,0.5520833333333334,0.5516454871293581,2,96,48,0.9795918367346939
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2,movement,direction,average_psd,ok,0.4270833333333333,0.4240209446929203,2,96,48,0.9795918367346939
