lfp_uid,epoch,n_trials,n_samples_per_epoch
monkeyM_session-o080925002-6_lfp-6,movement,222,1000
monkeyM_session-o080925002-6_lfp-7,movement,222,1000
monkeyM_session-o080925007-12_lfp-6,movement,284,1000
monkeyM_session-o080925007-12_lfp-7,movement,284,1000
monkeyM_session-o080926001-6_lfp-5,movement,219,1000
monkeyM_session-o080926007-11_lfp-5,movement,232,1000
monkeyM_session-o080926007-11_lfp-6,movement,232,1000
monkeyM_session-o080930001-5_lfp-1,movement,226,1000
monkeyM_session-o081001001-12_lfp-1,movement,239,1000
monkeyM_session-o081001001-12_lfp-3,movement,239,1000
monkeyM_session-o081001013-26_lfp-1,movement,280,1000
monkeyM_session-o081001013-26_lfp-3,movement,280,1000
monkeyM_session-o081002010-22_lfp-2,movement,227,1000
monkeyM_session-o081002023-28_lfp-3,movement,84,1000
monkeyM_session-o081003003-14_lfp-1,movement,238,1000
monkeyM_session-o081003003-14_lfp-2,movement,238,1000
monkeyM_session-o081003015-26_lfp-1,movement,236,1000
monkeyM_session-o081003015-26_lfp-2,movement,236,1000
monkeyM_session-o081008001-15_lfp-1,movement,224,1000
monkeyM_session-o081008001-15_lfp-2,movement,224,1000
monkeyM_session-o081028001-12_lfp-4,movement,203,1000
monkeyM_session-o081028013-20_lfp-1,movement,135,1000
monkeyM_session-o081028021-26_lfp-1,movement,106,1000
monkeyM_session-o081029001-11_lfp-3,movement,183,1000
monkeyM_session-o081029012-25_lfp-3,movement,192,1000
monkeyM_session-o081029012-25_lfp-4,movement,192,1000
monkeyM_session-o081031013-23_lfp-1,movement,393,1000
monkeyM_session-o081031013-23_lfp-3,movement,393,1000
monkeyM_session-o081031024-27_lfp-1,movement,84,1000
monkeyM_session-o081106010-15_lfp-3,movement,189,1000
monkeyM_session-o081106010-15_lfp-5,movement,189,1000
monkeyM_session-o081106016-19_lfp-3,movement,115,1000
monkeyM_session-o081106016-19_lfp-5,movement,115,1000
monkeyM_session-o081107007-13_lfp-1,movement,249,1000
monkeyM_session-o081107007-13_lfp-2,movement,249,1000
monkeyM_session-o081113002-9_lfp-1,movement,248,1000
monkeyM_session-o081113002-9_lfp-2,movement,248,1000
monkeyM_session-o081113011-13_lfp-1,movement,121,1000
monkeyM_session-o081113011-13_lfp-2,movement,121,1000
