lfp_uid,monkey,session_id,lfp_id,epoch_for_selection,status,n_trials_used,n_samples_per_epoch,torus_tau,torus_tau_ms,tau_method,robust_peak_count,selected_mode_count_K,torus_embedding_dim,embedding_dim_method,included_peak_frequencies_hz,dominant_peak_hz,embedding_adjustment,torus_param_source,torus_param_id
monkeyM_session-o080520001-6_lfp-2,M,o080520001-6,2,movement,ok,101,1000,23,23.0,ami_first_local_minimum,3,3,7,psd_peak_count,"5.0, 17.0, 31.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau23_embed7
monkeyM_session-o080520001-6_lfp-4,M,o080520001-6,4,movement,ok,101,1000,16,16.0,ami_first_local_minimum,2,2,5,psd_peak_count,"17.0, 31.0",17.0,,pertrace_unsupervised_movement_signal,pertrace_tau16_embed5
monkeyM_session-o080520007-14_lfp-2,M,o080520007-14,2,movement,ok,53,1000,16,16.0,ami_first_local_minimum,2,2,5,psd_peak_count,"18.0, 31.0",18.0,,pertrace_unsupervised_movement_signal,pertrace_tau16_embed5
monkeyM_session-o080520007-14_lfp-4,M,o080520007-14,4,movement,ok,53,1000,22,22.0,ami_first_local_minimum,2,2,5,psd_peak_count,"18.0, 30.0",18.0,,pertrace_unsupervised_movement_signal,pertrace_tau22_embed5
monkeyM_session-o080521001-5_lfp-1,M,o080521001-5,1,movement,ok,66,1000,16,16.0,ami_first_local_minimum,3,3,7,psd_peak_count,"16.0, 30.0, 53.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080521006-9_lfp-1,M,o080521006-9,1,movement,ok,86,1000,16,16.0,ami_first_local_minimum,3,3,7,psd_peak_count,"16.0, 32.0, 47.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080521010-13_lfp-2,M,o080521010-13,2,movement,ok,122,1000,24,24.0,ami_first_local_minimum,4,4,9,psd_peak_count,"6.0, 16.0, 31.0, 47.0",6.0,,pertrace_unsupervised_movement_signal,pertrace_tau24_embed9
monkeyM_session-o080521010-13_lfp-5,M,o080521010-13,5,movement,ok,122,1000,28,28.0,ami_first_local_minimum,3,3,7,psd_peak_count,"16.0, 30.0, 47.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau28_embed7
monkeyM_session-o080521014-17_lfp-1,M,o080521014-17,1,movement,ok,115,1000,14,14.0,ami_first_local_minimum,3,3,7,psd_peak_count,"16.0, 30.0, 47.0",16.0,,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080521014-17_lfp-2,M,o080521014-17,2,movement,ok,115,1000,24,24.0,ami_first_local_minimum,4,4,9,psd_peak_count,"5.0, 16.0, 30.0, 47.0",5.0,,pertrace_unsupervised_movement_signal,pertrace_tau24_embed9
