analysis_level,analysis_label,monkey,session_id,lfp_uid,lfp_id,feature_role,feature_label,feature_set,selected_band,selected_band_label,f1
full_6_direction_lfps,Full 6-direction LFPs,M,o080528006-15,monkeyM_session-o080528006-15_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.1674224288325443
full_6_direction_lfps,Full 6-direction LFPs,M,o080528006-15,monkeyM_session-o080528006-15_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.2100279975279975
full_6_direction_lfps,Full 6-direction LFPs,M,o080528006-15,monkeyM_session-o080528006-15_lfp-4,4,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.14556356996134437
full_6_direction_lfps,Full 6-direction LFPs,M,o080528006-15,monkeyM_session-o080528006-15_lfp-4,4,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.23043362072591544
full_6_direction_lfps,Full 6-direction LFPs,M,o080528016-25,monkeyM_session-o080528016-25_lfp-2,2,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.1886013580944804
full_6_direction_lfps,Full 6-direction LFPs,M,o080528016-25,monkeyM_session-o080528016-25_lfp-2,2,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.15900163666121114
full_6_direction_lfps,Full 6-direction LFPs,M,o080528016-25,monkeyM_session-o080528016-25_lfp-2,2,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.10951399612720375
full_6_direction_lfps,Full 6-direction LFPs,M,o080528016-25,monkeyM_session-o080528016-25_lfp-4,4,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.168891935184433
full_6_direction_lfps,Full 6-direction LFPs,M,o080528016-25,monkeyM_session-o080528016-25_lfp-4,4,average_psd,Average PSD,average_psd,delta,Delta (2-4 Hz),0.11756371467202527
full_6_direction_lfps,Full 6-direction LFPs,M,o080528016-25,monkeyM_session-o080528016-25_lfp-4,4,best_single_band,Best single band,delta,delta,Delta (2-4 Hz),0.15269542302283554
full_6_direction_lfps,Full 6-direction LFPs,M,o080710006-11,monkeyM_session-o080710006-11_lfp-5,5,torus_features,Torus features,torus_nonlinear_15,delta,Delta (2-4 Hz),0.16947837924819845
