row_index,original_trial_number,direction,h1_interval_count,longest_h1,second_longest_h1,lifetime_gap
164,693,5,152,0.41450050473213196,0.3955318033695221,0.018968701362609863
165,258,6,181,0.48191602528095245,0.30066224932670593,0.18125377595424652
166,550,6,171,0.4108825922012329,0.33945508301258087,0.07142750918865204
167,100,6,171,0.7759021818637848,0.660457193851471,0.11544498801231384
168,129,6,160,0.5832902491092682,0.5757717788219452,0.007518470287322998
169,186,6,140,1.9180466532707214,0.750042736530304,1.1680039167404175
170,650,6,155,0.6634837687015533,0.5299667119979858,0.1335170567035675
171,438,6,145,0.4753605127334595,0.4164762645959854,0.05888424813747406
172,290,6,142,1.0737048387527466,0.27838820219039917,0.7953166365623474
173,289,6,166,0.6642343103885651,0.43165093660354614,0.23258337378501892
174,67,6,172,0.3432227224111557,0.3390769958496094,0.004145726561546326
175,458,6,144,1.6638802289962769,0.4685506373643875,1.1953295916318893
176,90,6,175,0.3689170777797699,0.2908829152584076,0.0780341625213623
177,77,6,143,0.5920490324497223,0.4818485528230667,0.11020047962665558
178,292,6,152,1.8604794144630432,0.3848382532596588,1.4756411612033844
179,649,6,178,0.418644055724144,0.39194460213184357,0.026699453592300415
180,524,6,151,0.6773949861526489,0.46798020601272583,0.2094147801399231
181,105,6,149,0.506546139717102,0.46334245800971985,0.0432036817073822
182,372,6,160,1.2535225749015808,1.1073158383369446,0.14620673656463623
183,617,6,144,0.6354512572288513,0.5124136656522751,0.12303759157657623
184,527,6,125,0.7453275620937347,0.6323994994163513,0.11292806267738342
