recording,monkey,day,outer_fold,family,status,p,m,tau,mean_nmse,se_nmse,best_mean_nmse,one_se_threshold,boundary,rank,condition,condition_original,fit_status
monkeyT_session-y070416003-7_lfp-5,T,2007-04-16,0,ar,ok,14,0,1,0.0025710716534526,7.385270131489826e-05,0.0025200383028386,0.0025912369438115,False,15,129709710.46857512,129826232.9541864,ok
monkeyT_session-y070416003-7_lfp-5,T,2007-04-16,0,embedding,ok,0,9,1,0.0032012154632599,9.815086993052744e-05,0.0032012154632599,0.0032993663331904,True,10,28004801.94338776,28018650.703625567,ok
monkeyT_session-y070416003-7_lfp-5,T,2007-04-16,1,ar,ok,16,0,1,0.0026454246825983,5.3003098503361806e-05,0.0026008657854823,0.0026485128868182,False,17,134416517.6147348,134584696.58403486,ok
monkeyT_session-y070416003-7_lfp-5,T,2007-04-16,1,embedding,ok,0,9,1,0.0033149571364149,5.192540068498676e-05,0.0033149571364149,0.0033668825370999,True,10,27678356.98544737,27693108.88228524,ok
monkeyT_session-y070416003-7_lfp-5,T,2007-04-16,2,ar,ok,14,0,1,0.0025888653654228,0.0001589326335679,0.0025419586998475,0.0026990190301848,False,15,128305797.79808196,128453943.84232004,ok
monkeyT_session-y070416003-7_lfp-5,T,2007-04-16,2,embedding,ok,0,9,1,0.00324178416932,0.0001959510431798,0.00324178416932,0.0034377352124998,True,10,27985722.78030614,28005300.33937822,ok
monkeyT_session-y070416003-7_lfp-5,T,2007-04-16,3,ar,ok,14,0,1,0.0026367164277036,5.538428065001204e-05,0.0025884291351414,0.0026445053128963,False,15,129629511.81589922,129719542.95238853,ok
monkeyT_session-y070416003-7_lfp-5,T,2007-04-16,3,embedding,ok,0,9,1,0.0032916173020136,7.485467611334414e-05,0.0032916173020136,0.0033664719781269,True,10,27718986.13873847,27731435.303552423,ok
monkeyT_session-y070416003-7_lfp-5,T,2007-04-16,4,ar,ok,14,0,1,0.002650255231337,8.676642835355943e-05,0.0026014001786731,0.0026846714769796,False,15,128520009.23201872,128625070.33436348,ok
monkeyT_session-y070416003-7_lfp-5,T,2007-04-16,4,embedding,ok,0,9,1,0.0033297056306904,0.0001184591036386,0.0033297056306904,0.0034481647343291,True,10,27567193.86106561,27581012.865280643,ok
monkeyT_session-y070416003-7_lfp-6,T,2007-04-16,0,ar,ok,16,0,1,0.0029250890562163,7.220735834031133e-05,0.0028667927023338,0.0029310182652429,False,17,134436648.29427814,134753148.03630182,ok
monkeyT_session-y070416003-7_lfp-6,T,2007-04-16,0,embedding,ok,0,9,1,0.0037893702038576,0.0001058763172492,0.0037893702038576,0.0038952465211069,True,10,25580138.854523312,25601123.447831266,ok
