recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyM_session-o080507012-23_lfp-1,M,2,ok,2,5,17.0,10.847150335968914,36,86,"[20.0, 32.0]",2.388888888888889,[],True
monkeyM_session-o080507012-23_lfp-1,M,3,ok,2,5,17.0,41.7175582542869,36,87,"[20.0, 30.0]",2.4166666666666665,[],True
monkeyM_session-o080507012-23_lfp-1,M,4,ok,2,5,17.0,23.4753565764656,36,87,"[18.0, 30.0]",2.4166666666666665,[],True
monkeyM_session-o080507012-23_lfp-2,M,0,ok,2,5,13.0,2.015287367881673,36,86,"[20.0, 32.0]",2.388888888888889,[],True
monkeyM_session-o080507012-23_lfp-2,M,1,ok,2,5,13.0,2.015287367881673,36,86,"[20.0, 32.0]",2.388888888888889,[],True
monkeyM_session-o080507012-23_lfp-2,M,2,ok,2,5,13.0,2.015287367881673,36,86,"[20.0, 32.0]",2.388888888888889,[],True
monkeyM_session-o080507012-23_lfp-2,M,3,ok,2,5,14.0,3.535080473491418,36,87,"[20.0, 32.0]",2.4166666666666665,[],True
monkeyM_session-o080507012-23_lfp-2,M,4,ok,2,5,13.0,2.015287367881673,36,87,"[20.0, 32.0]",2.4166666666666665,[],True
monkeyM_session-o080509001-9_lfp-1,M,0,ok,2,5,22.0,2.323154003156095,36,76,"[20.0, 34.0]",2.111111111111111,[],True
monkeyM_session-o080509001-9_lfp-1,M,1,ok,2,5,18.0,23.6285835175847,36,77,"[20.0, 34.0]",2.138888888888889,[],True
monkeyM_session-o080509001-9_lfp-1,M,2,ok,2,5,20.0,9.96705924614949,36,77,"[18.0, 34.0]",2.138888888888889,"[{""lower_hz"": 18.0, ""upper_hz"": 34.0, ""multiple"": 2}]",True
monkeyM_session-o080509001-9_lfp-1,M,3,ok,2,5,20.0,18.01449368205721,36,77,"[20.0, 32.0]",2.138888888888889,[],True
monkeyM_session-o080509001-9_lfp-1,M,4,ok,2,5,17.0,5.884150991350735,36,77,"[18.0, 32.0]",2.138888888888889,[],True
monkeyM_session-o080509010-19_lfp-1,M,0,ok,2,5,29.0,1.3980619897346702,36,91,"[6.0, 20.0]",2.5277777777777777,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}]",True
monkeyM_session-o080509010-19_lfp-1,M,1,ok,2,5,17.0,1.3657863505908887,36,91,"[6.0, 20.0]",2.5277777777777777,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}]",True
monkeyM_session-o080509010-19_lfp-1,M,2,ok,2,5,22.0,3.9831175673286494,36,91,"[20.0, 32.0]",2.5277777777777777,[],True
monkeyM_session-o080509010-19_lfp-1,M,3,ok,1,3,17.0,1.050767566697384,10,91,[20.0],9.1,[],True
monkeyM_session-o080509010-19_lfp-1,M,4,ok,2,5,21.0,1.6630081005530857,36,92,"[6.0, 20.0]",2.555555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}]",True
monkeyM_session-o080513001-9_lfp-1,M,0,ok,2,5,12.0,1.2906413856112602,36,81,"[18.0, 32.0]",2.25,[],True
monkeyM_session-o080513001-9_lfp-1,M,1,ok,2,5,12.0,1.2906413856112602,36,81,"[18.0, 32.0]",2.25,[],True
monkeyM_session-o080513001-9_lfp-1,M,2,ok,2,5,12.0,1.2906413856112602,36,82,"[18.0, 32.0]",2.2777777777777777,[],True
monkeyM_session-o080513001-9_lfp-1,M,3,ok,2,5,12.0,1.2906413856112602,36,82,"[18.0, 32.0]",2.2777777777777777,[],True
monkeyM_session-o080513001-9_lfp-1,M,4,ok,1,3,13.0,2.2167497145517805,10,82,[32.0],8.2,[],True
