time_ms,observed_lag_0,fitted_lag_0,observed_lag_1,fitted_lag_1,observed_lag_2,fitted_lag_2,observed_lag_3,fitted_lag_3,observed_lag_4,fitted_lag_4
-208.0,-1.671584129333496,-0.5376669320249027,-0.11768689751625061,-0.1489005093146133,0.14893943071365356,-0.9253013407523747,-0.5826254487037659,-0.23030280148637758,0.3763977289199829,-0.1936431714507859
-207.0,-1.721296787261963,-0.5435485994866356,-0.21946142613887787,-0.26917243949478026,0.1694149672985077,-0.8549142834347939,-0.5087947249412537,-0.26735317166974376,0.5058230757713318,-0.12096894804154766
-206.0,-1.7703477144241333,-0.5302733699237897,-0.32321158051490784,-0.3922753997276112,0.19761760532855988,-0.7622052809594876,-0.4160669147968292,-0.30323331887843963,0.6219774484634399,-0.042511388107131315
-205.0,-1.8259881734848022,-0.4999999891482038,-0.42139342427253723,-0.514222955971861,0.2318960428237915,-0.6512137798485992,-0.3058602511882782,-0.3347787091902699,0.7213417887687683,0.039203611892506166
-204.0,-1.8933583498001099,-0.45558034086181637,-0.5076525211334229,-0.6308252251559473,0.269868940114975,-0.5265061646356384,-0.18124975264072418,-0.35886453981635663,0.8020806312561035,0.12145191970795766
-203.0,-1.9747531414031982,-0.4004098982167853,-0.5775535106658936,-0.737854778447213,0.30862897634506226,-0.39297972597024,-0.04666408151388168,-0.37257072771378275,0.8641735315322876,0.20141734576218637
-202.0,-2.0693345069885254,-0.33825548791994,-0.6289975643157959,-0.8312185027746626,0.3450445234775543,-0.255656363374566,0.09261316806077957,-0.3733398347076508,0.9093499779701233,0.2763029572719314
-201.0,-2.173323392868042,-0.2730683101986286,-0.6622698903083801,-0.9071280775182722,0.37613701820373535,-0.11947496012906016,0.23105980455875397,-0.35912051156763286,0.9407909512519836,0.3434428261799261
-200.0,-2.2806198596954346,-0.20879078188618092,-0.6797217130661011,-0.9622617128171566,0.39949002861976624,0.010908639360806724,0.3635438084602356,-0.32848965773816385,0.9626129865646362,0.4004094697275176
-199.0,-2.383732795715332,-0.14916601127524753,-0.6851614117622375,-0.9939101069080521,0.41362929344177246,0.13130551642012755,0.48585599660873413,-0.2807474149602303,0.9791979193687439,0.4451124091361776
-198.0,-2.474853515625,-0.09755856207832755,-0.6830800175666809,-1.0001001997554602,0.41830646991729736,0.23815366440244234,0.595058023929596,-0.21598030151072606,0.9944650530815125,0.475883637490987
-197.0,-2.54689621925354,-0.05679462704888242,-0.6778532862663269,-0.9796912028617658,0.41462162137031555,0.32864741486845644,0.6895983815193176,-0.13508919700643265,1.0111910104751587,0.4915463368295286
-196.0,-2.594338893890381,-0.02902883381863424,-0.6730446815490723,-0.9324385319843317,0.40493789315223694,0.40083103650113017,0.7691975235939026,-0.039780443872743425,1.0304797887802124,0.49146389289730896
