recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyT_session-y070215011-16_lfp-2,T,0,ok,2,5,16.0,1.6200011800047174,36,91,"[8.0, 26.0]",2.5277777777777777,"[{""lower_hz"": 8.0, ""upper_hz"": 26.0, ""multiple"": 3}]",True
monkeyT_session-y070215011-16_lfp-2,T,1,ok,2,5,16.0,1.6200011800047174,36,91,"[8.0, 26.0]",2.5277777777777777,"[{""lower_hz"": 8.0, ""upper_hz"": 26.0, ""multiple"": 3}]",True
monkeyT_session-y070215011-16_lfp-2,T,2,ok,2,5,16.0,1.6200011800047174,36,91,"[8.0, 26.0]",2.5277777777777777,"[{""lower_hz"": 8.0, ""upper_hz"": 26.0, ""multiple"": 3}]",True
monkeyT_session-y070215011-16_lfp-2,T,3,ok,2,5,16.0,1.6200011800047174,36,91,"[8.0, 26.0]",2.5277777777777777,"[{""lower_hz"": 8.0, ""upper_hz"": 26.0, ""multiple"": 3}]",True
monkeyT_session-y070215011-16_lfp-2,T,4,ok,2,5,16.0,1.6200011800047174,36,92,"[8.0, 26.0]",2.555555555555556,"[{""lower_hz"": 8.0, ""upper_hz"": 26.0, ""multiple"": 3}]",True
monkeyT_session-y070228001-5_lfp-8,T,0,ok,2,5,13.0,1.3961411532519297,36,76,"[6.0, 24.0]",2.111111111111111,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070228001-5_lfp-8,T,1,ok,3,7,13.0,2.1672895282137112,92,77,"[6.0, 24.0, 46.0]",0.8369565217391305,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}, {""lower_hz"": 24.0, ""upper_hz"": 46.0, ""multiple"": 2}]",True
monkeyT_session-y070228001-5_lfp-8,T,2,ok,3,7,13.0,1.6546422318776337,92,77,"[6.0, 22.0, 46.0]",0.8369565217391305,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}, {""lower_hz"": 22.0, ""upper_hz"": 46.0, ""multiple"": 2}]",True
monkeyT_session-y070228001-5_lfp-8,T,3,ok,3,7,13.0,1.6546422318776337,92,77,"[6.0, 22.0, 46.0]",0.8369565217391305,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}, {""lower_hz"": 22.0, ""upper_hz"": 46.0, ""multiple"": 2}]",True
monkeyT_session-y070228001-5_lfp-8,T,4,ok,3,7,13.0,2.1672895282137112,92,77,"[6.0, 24.0, 46.0]",0.8369565217391305,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}, {""lower_hz"": 24.0, ""upper_hz"": 46.0, ""multiple"": 2}]",True
monkeyT_session-y070301002-6_lfp-8,T,0,ok,2,5,15.0,1.5195818596268869,36,105,"[6.0, 24.0]",2.9166666666666665,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070301002-6_lfp-8,T,1,ok,2,5,14.0,1.412720184980373,36,105,"[6.0, 24.0]",2.9166666666666665,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070301002-6_lfp-8,T,2,ok,2,5,15.0,1.5195818596268869,36,106,"[6.0, 24.0]",2.9444444444444446,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070301002-6_lfp-8,T,3,ok,2,5,14.0,1.412720184980373,36,106,"[6.0, 24.0]",2.9444444444444446,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070301002-6_lfp-8,T,4,ok,2,5,15.0,1.5195818596268869,36,106,"[6.0, 24.0]",2.9444444444444446,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070301012-19_lfp-7,T,0,ok,2,5,13.0,1.3937959010976129,36,139,"[6.0, 22.0]",3.861111111111111,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}]",True
monkeyT_session-y070301012-19_lfp-7,T,1,ok,1,3,13.0,1.1525420501870804,10,139,[24.0],13.9,[],True
monkeyT_session-y070301012-19_lfp-7,T,2,ok,2,5,13.0,1.3937959010976129,36,139,"[6.0, 22.0]",3.861111111111111,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}]",True
monkeyT_session-y070301012-19_lfp-7,T,3,ok,1,3,13.0,1.3136966701741513,10,139,[22.0],13.9,[],True
monkeyT_session-y070301012-19_lfp-7,T,4,ok,1,3,13.0,1.3136966701741513,10,140,[22.0],14.0,[],True
monkeyT_session-y070306001-5_lfp-5,T,0,ok,1,3,13.0,1.1525420501870804,10,81,[24.0],8.1,[],True
monkeyT_session-y070306001-5_lfp-5,T,1,ok,1,3,13.0,1.1525420501870804,10,81,[24.0],8.1,[],True
monkeyT_session-y070306001-5_lfp-5,T,2,ok,1,3,13.0,1.1525420501870804,10,82,[24.0],8.2,[],True
monkeyT_session-y070306001-5_lfp-5,T,3,ok,1,3,13.0,1.1525420501870804,10,82,[24.0],8.2,[],True
monkeyT_session-y070306001-5_lfp-5,T,4,ok,1,3,13.0,1.1525420501870804,10,82,[24.0],8.2,[],True
monkeyT_session-y070306001-5_lfp-7,T,0,ok,1,3,16.0,1.543256175354837,10,81,[24.0],8.1,[],True
monkeyT_session-y070306001-5_lfp-7,T,1,ok,1,3,16.0,1.543256175354837,10,81,[24.0],8.1,[],True
monkeyT_session-y070306001-5_lfp-7,T,2,ok,1,3,15.0,1.235543730059616,10,82,[24.0],8.2,[],True
monkeyT_session-y070306001-5_lfp-7,T,3,ok,1,3,15.0,1.235543730059616,10,82,[24.0],8.2,[],True
monkeyT_session-y070306001-5_lfp-7,T,4,ok,1,3,15.0,1.235543730059616,10,82,[24.0],8.2,[],True
monkeyT_session-y070306006-11_lfp-5,T,0,ok,1,3,12.0,1.303139596506898,10,81,[24.0],8.1,[],True
monkeyT_session-y070306006-11_lfp-5,T,1,ok,1,3,12.0,1.303139596506898,10,81,[24.0],8.1,[],True
monkeyT_session-y070306006-11_lfp-5,T,2,ok,1,3,12.0,1.303139596506898,10,82,[24.0],8.2,[],True
monkeyT_session-y070306006-11_lfp-5,T,3,ok,1,3,12.0,1.303139596506898,10,82,[24.0],8.2,[],True
monkeyT_session-y070306006-11_lfp-5,T,4,ok,1,3,12.0,1.303139596506898,10,82,[24.0],8.2,[],True
monkeyT_session-y070306006-11_lfp-7,T,0,ok,1,3,17.0,2.006075320936564,10,81,[24.0],8.1,[],True
