row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,R1,R2,mse,mean_error,frac_inside,normal_x,normal_y,normal_z,u_x,u_y,u_z,v_x,v_y,v_z,target_event_code,target_position,reach_side
53,63,254,2,0,short,4.966253601619344,1.1966487056366897,0.0054893013094121,0.0068863826915194,0.8987854251012146,-0.4203280095905486,0.8020898979510274,-0.4242359720233047,0.5696756292362419,0.5971875703880545,0.5646562522706219,0.7062535251649646,-0.0043360556872557,-0.7079457301327112,102,right,Rightward
54,62,220,2,0,short,3.223342668346199,1.106177557511889,0.0090211637895202,0.0105871611341325,0.8927125506072875,-0.4296306620056895,0.7913556532006422,-0.4349410585492453,0.560207801212395,0.6113459478661335,0.5589484336577325,0.7082264565273786,-0.0035159884874494,-0.7059765747527531,102,right,Rightward
55,64,589,2,2,short,4.422726184650805,1.2480261843894132,0.0080621314605382,0.0077549132264589,0.9068825910931174,-0.4270407536263959,0.7970630908343351,-0.4269972177565285,0.5637061849300242,0.6038960388864189,0.5635112343946039,0.7070159346251237,-5.871038445523502e-05,-0.707197613640808,102,right,Rightward
56,53,530,2,3,short,3.795551159563795,1.4490234055087885,0.0111821482264416,0.0089095507466412,0.9068825910931174,-0.4348035856142946,0.7871921801111257,-0.4373491894457401,0.5582552116402177,0.6167012555545647,0.5550051171601568,0.7066094823970936,-0.0028342493391915,-0.707598054277423,102,right,Rightward
57,56,531,2,0,short,4.407099287508726,1.4504806960723342,0.0069662546860577,0.0081622984352115,0.8805668016194332,-0.4351991925959168,0.7906619971269929,-0.430645177684619,0.5589148678886761,0.6122469671375155,0.5592564900686428,0.7058440572937098,0.0026939803394054,-0.7083621314363756,102,right,Rightward
58,67,91,2,1,short,3.8343091391806494,1.4036593913111126,0.0083281933767988,0.0084106626564687,0.9048582995951416,-0.4291794870516428,0.7942180773963031,-0.4301425501284529,0.5633137597351409,0.6076294742699812,0.5598785851338184,0.7060329850560445,-0.0020168131559883,-0.7081760773123765,102,right,Rightward
59,37,96,2,2,short,3.704352422675682,1.5338580145640364,0.0052136285422971,0.010458556307444,0.868421052631579,-0.4395568306462071,0.7841128448571008,-0.4381287928935576,0.55361547315519,0.620616401723373,0.5552883843509498,0.707318669706531,0.0015259233392772,-0.706893182201205,102,right,Rightward
60,47,197,2,1,short,6.3025330743285535,1.6758187913836886,0.015481624714489,0.00776325445416,0.951417004048583,-0.4320439561871111,0.7952980763554189,-0.4252516780302693,0.5638820105267977,0.6062133608567619,0.5608408324319885,0.7038288841234395,0.0025161208475862,-0.7103650969814286,102,right,Rightward
61,57,281,2,2,short,3.839100964346448,1.4024418109359515,0.0106608358333316,0.0110140864607226,0.8927125506072875,-0.4346793659846627,0.7901024924901479,-0.4321942851866826,0.5584732369333154,0.612972733821555,0.5589025596833084,0.7065136179978393,0.0015744688580585,-0.7076976957934924,102,right,Rightward
62,48,401,2,4,short,4.062541078006026,1.380910937590955,0.0099180224012235,0.0095695882218617,0.9109311740890688,-0.4314630966267562,0.7925789722847564,-0.4308806899146093,0.5603346842214034,0.6097691366662236,0.5605413826184722,0.7070110592542033,0.0004155254116063,-0.707202368089136,102,right,Rightward
