row_index,original_trial_number,direction,heldout_fold_zero_based,R1,R2
58,91,2,1,3.8343091391806494,1.4036593913111126
59,96,2,2,3.704352422675682,1.5338580145640364
60,197,2,1,6.3025330743285535,1.6758187913836886
61,281,2,2,3.839100964346448,1.4024418109359515
62,401,2,4,4.062541078006026,1.380910937590955
63,34,2,2,4.29577240666284,1.5637612694914875
64,479,2,0,4.240828762551521,1.479258123578659
65,117,2,1,3.829074079443158,1.5921526777357813
66,663,3,4,6.47569419934022,1.735489363922348
67,14,3,4,3.7117412040180255,1.2379847786117524
68,540,3,0,4.038996615458417,1.1424432523265309
70,420,3,2,3.351100002620685,1.1505067842288408
71,503,3,3,4.064116532888532,1.39942298092939
72,636,3,2,4.477049340562913,1.3780837621610194
73,307,3,3,3.887727743599786,1.4631702471025778
74,612,3,3,4.0163195416600965,1.0253196822691286
75,609,3,2,5.084321778904226,1.4588984905083795
76,46,3,4,3.4202310114227763,1.089063914842
77,615,3,0,4.021045152621225,1.3182717181026848
78,510,3,4,4.381450340967027,1.2555360512824791
79,43,3,0,3.7663494654357033,1.3699758474029191
80,147,3,3,3.661839604240635,1.463562641221524
81,406,3,4,5.517447598965513,1.5957467755917456
82,200,3,1,3.596435616882279,1.2964215442791212
83,48,3,0,5.695187966212552,1.4101069209067292
84,177,3,2,3.596533520163289,1.2759905291379128
85,319,3,3,3.027842546586254,1.210756971403956
86,137,3,3,4.136065565816736,1.3160983877889372
87,309,3,2,3.1229186849480235,1.1626743907860362
88,416,3,0,3.973404971203653,1.5358426392814233
89,669,3,1,5.303393309817403,1.256116051144287
90,572,3,1,4.128325601907313,1.1323574442269144
91,477,3,0,3.935958748826618,1.2796452682627826
92,323,3,1,4.140320987312797,1.3299741450480995
93,196,3,2,5.130775216777794,1.40620741131849
94,494,3,3,4.502402442731473,1.2589436093596524
95,51,3,4,4.55131999060241,1.5748944086645649
96,432,3,1,3.383625036767784,1.2739263971327104
97,144,3,2,3.426222929712408,1.1418478215676455
98,216,3,1,2.887669071911387,1.1390123988038852
99,312,4,2,3.8997679209836313,1.3288668123138678
100,400,4,2,4.250989698351498,1.6093895137749097
101,333,4,2,3.392998060113353,1.2270318188278015
102,459,4,4,3.744871751938514,1.2835529428397678
103,606,4,1,3.230595323705892,1.1832041264738773
104,86,4,0,4.561988877382166,1.252521331450308
105,242,4,0,4.014899553189594,1.3110078402267138
106,248,4,1,4.031594431074743,1.518104613180496
107,89,4,4,3.580415995195004,1.3688537627163595
108,691,4,4,5.028933889290265,1.3707300268193046
109,94,4,3,3.6389072641817664,1.171668483883855
110,17,4,0,3.9055577623408575,1.517812526349492
111,109,4,4,4.484342052569348,1.5326821246610929
112,695,4,3,3.31136927096114,1.061751021638547
113,116,4,2,3.3771648115247754,1.2499375825244277
114,361,4,1,4.014403932263308,1.2607029519404704
115,283,4,3,4.448450663072848,1.4655677297002574
116,511,4,2,4.480659414861992,1.4420171201197796
117,206,4,4,5.758215452789354,2.0465845923372914
118,520,4,2,4.522581738112112,1.4181649629632378
119,119,4,0,4.78600351339852,1.5733430410568694
120,85,4,0,4.776232395642039,1.3259245394462882
121,199,4,3,3.881717667670232,1.0524066838337198
122,536,4,0,3.728864693443359,1.422932694698654
123,339,4,1,3.80505637442287,1.2494938102746194
124,701,4,0,3.767563026906073,1.255785732382655
125,704,4,4,4.011820497292743,1.0737799056215012
126,592,4,3,3.846071511088664,1.2614246195027268
127,440,4,1,3.0908569917067177,1.1787983620285536
