recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,n_trials,status,short_delay_ms
monkeyM_session-o080918006-11_lfp-5,M,o080918006-11,2008-09-18,5,210,210,5000,4500,4500,5000,477,be46e0e2a880a19218a62c6ba0476ca76015f1f4bb0501df53690315c2775956,102,ok,1000
monkeyM_session-o080919001-6_lfp-5,M,o080919001-6,2008-09-19,5,274,274,5000,4500,4500,5000,485,a3f8c578f82fbccf1e9c8fdae4de4fa9134a889835102507e8f1de52647d9d23,126,ok,1000
monkeyM_session-o080919001-6_lfp-7,M,o080919001-6,2008-09-19,7,274,274,5000,4500,4500,5000,484,9c6aff814edf452e8020a9e171c1353af46efe36055be57cf71c23281f1f88aa,126,ok,1000
monkeyM_session-o080919007-12_lfp-5,M,o080919007-12,2008-09-19,5,268,268,5000,4500,4500,5000,492,b781232e8ae37c0cf2d7d2cf16550d38cebf56704c6ca74b75fb3a7019e1c022,126,ok,1000
monkeyM_session-o080919007-12_lfp-7,M,o080919007-12,2008-09-19,7,268,268,5000,4500,4500,5000,490,5045e7f2e1b6a9985c0dfd00abb88f749c83a238f83ed751559195e67052f591,126,ok,1000
monkeyM_session-o080925002-6_lfp-6,M,o080925002-6,2008-09-25,6,222,222,5000,4500,4500,5000,496,80718acbbb52bcc4e848e77ccd92ea26cf09e97409467eefe9284ef3d180bf62,96,ok,1000
monkeyM_session-o080925002-6_lfp-7,M,o080925002-6,2008-09-25,7,222,222,5000,4500,4500,5000,495,3535953e277c0a9392608554f8290c0284ae827c49a0ca726f5148fdd2da1932,96,ok,1000
monkeyM_session-o080925007-12_lfp-6,M,o080925007-12,2008-09-25,6,284,284,5000,4500,4500,5000,502,e646b14f903704e9db9fdba9daae5fc61fb1cc11f98330a678f647a261743265,132,ok,1000
monkeyM_session-o080925007-12_lfp-7,M,o080925007-12,2008-09-25,7,284,284,5000,4500,4500,5000,501,f40a6ab12c8349ede39d4cd8b6ac7acff1656c25a2ce522791ece4cbae064f4f,132,ok,1000
monkeyM_session-o080926001-6_lfp-5,M,o080926001-6,2008-09-26,5,219,219,5000,4500,4500,5000,505,1e728702caa1ede99a64de7a656accfb905438b9ddc1272eb0f047e963d83034,108,ok,1000
monkeyM_session-o080926007-11_lfp-5,M,o080926007-11,2008-09-26,5,232,232,5000,4500,4500,5000,509,8023adb09b0532ed7717abbc7c7772b08abce4b91d6b8923948435e75e3f5d2c,114,ok,1000
monkeyM_session-o080926007-11_lfp-6,M,o080926007-11,2008-09-26,6,232,232,5000,4500,4500,5000,508,826726d3b609ec3f93123053ed37f9ba3f21650711125e1683f4a212a4a100c4,114,ok,1000
monkeyM_session-o080930001-5_lfp-1,M,o080930001-5,2008-09-30,1,226,226,5000,4500,4500,5000,511,7f2f80977ccc69fa5d92225a28e71ae6ce44c43615c6623b16b5a8be270ad86c,108,ok,1000
monkeyM_session-o081001001-12_lfp-1,M,o081001001-12,2008-10-01,1,239,239,5000,4500,4500,5000,517,461063401a89be2e026d8e9afa7561558bf09fba77b66cafcdf74d77add02f69,114,ok,1000
monkeyM_session-o081001001-12_lfp-3,M,o081001001-12,2008-10-01,3,239,239,5000,4500,4500,5000,513,c68693566cfc018d600051ebddba2f8ded3326be5d9329de37693058b2b45fb8,114,ok,1000
monkeyM_session-o081001013-26_lfp-1,M,o081001013-26,2008-10-01,1,280,280,5000,4500,4500,5000,524,181fa2aa763022416415aafec1f6b7074f6ccd751ad460e6b6bf3a05dbf68c5a,120,ok,1000
monkeyM_session-o081001013-26_lfp-3,M,o081001013-26,2008-10-01,3,280,280,5000,4500,4500,5000,522,78382284b116c82eb384aa3289f2429ab14e5b62095e2c930cf90927aee720df,120,ok,1000
monkeyM_session-o081002010-22_lfp-2,M,o081002010-22,2008-10-02,2,227,227,5000,4500,4500,5000,527,22a731c2a2355a74b9f41a9c4869ed86eb43f2643d42bef6ac7f2f88e6ed73f2,114,ok,1000
monkeyM_session-o081003003-14_lfp-1,M,o081003003-14,2008-10-03,1,238,238,5000,4500,4500,5000,540,7978344c0bc75649dead3163bb08837d5b182f26d4448f09075dd963604878f5,108,ok,1000
