recording,monkey,day,outer_fold,family,status,p,m,tau,mean_nmse,se_nmse,best_mean_nmse,one_se_threshold,boundary,rank,condition,condition_original,fit_status
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,0,embedding,ok,0,9,1,0.0020571672689333105,1.3745516401626692e-05,0.0020571672689333105,0.002070912785334937,True,10,38222687.79631815,38246559.704584844,ok
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,1,ar,ok,17,0,1,0.0015667789959352514,3.1352760782295316e-05,0.001545394956747958,0.0015768880315126018,False,18,116465511.58773503,116855284.18282638,ok
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,1,embedding,ok,0,9,1,0.002036141580276854,4.563180653517467e-05,0.002036141580276854,0.0020817733868120285,True,10,38350225.2594582,38370047.3618529,ok
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,2,ar,ok,16,0,1,0.001582292933055381,4.045247448482565e-05,0.0015486693437754212,0.0015839215843919162,False,17,117196520.64662458,117412610.80650383,ok
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,2,embedding,ok,0,9,1,0.002040897980004406,6.454498781677575e-05,0.002040897980004406,0.0021054429678211816,True,10,38297066.940898485,38317533.94042149,ok
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,3,ar,ok,16,0,1,0.0016077177152186211,4.6324805995551285e-05,0.001575127503194501,0.0016116191632571132,False,17,117971072.1709831,118205021.85798228,ok
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,3,embedding,ok,0,9,1,0.0020657660855127394,5.308782817209241e-05,0.0020657660855127394,0.0021188539136848318,True,10,38134353.21466721,38150033.267473884,ok
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,4,ar,ok,20,0,1,0.0015684050673810477,8.913070406539886e-06,0.0015684050673810477,0.0015773181377875876,True,21,118179052.03942658,118353879.40173623,ok
monkeyT_session-y070424001-6_lfp-5,T,2007-04-24,4,embedding,ok,0,9,1,0.0020548085622165133,1.6316096061035307e-05,0.0020548085622165133,0.0020711246582775485,True,10,38106263.14611507,38132171.64257559,ok
monkeyT_session-y070424001-6_lfp-6,T,2007-04-24,0,ar,ok,19,0,1,0.0017927962065792731,1.2264686485219025e-05,0.001779319181239136,0.0017946685249781754,False,20,127375665.05631873,127679490.44258578,ok
monkeyT_session-y070424001-6_lfp-6,T,2007-04-24,0,embedding,ok,0,9,1,0.0024411333792745122,2.5314326117961695e-05,0.0024411333792745122,0.002466447705392474,True,10,33294746.120910656,33330625.366342098,ok
monkeyT_session-y070424001-6_lfp-6,T,2007-04-24,1,ar,ok,16,0,1,0.0017545596901802855,4.272789977930043e-05,0.001721001167274185,0.0017653706436763542,False,17,124626136.71871361,124945644.11231455,ok
monkeyT_session-y070424001-6_lfp-6,T,2007-04-24,1,embedding,ok,0,9,1,0.0023631478426473567,5.853438649392947e-05,0.0023631478426473567,0.0024216822291412863,True,10,34271142.31455169,34306732.5001819,ok
monkeyT_session-y070424001-6_lfp-6,T,2007-04-24,2,ar,ok,19,0,1,0.0017661534662113641,2.3028700437273683e-05,0.0017529646465861434,0.0017779245441994765,False,20,127899190.11376323,128091061.3564096,ok
