recording,monkey,day,family,horizon_ms,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,n_trials
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,ar,1,2.213870400830564e-11,3.170345590246005e-11,0.9999999999682966,0.9999999999842045,0.03801412271245912,0.9619858772875408,0.9810193241045772,0.038014122680755665,0.9999999991411173,126
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,ar,10,0.002198038811333302,0.0031815608527727738,0.9968184391472271,0.9984280447509438,1.9516835867022218,-0.951683586702222,0.030149198111847842,1.9485020258494492,0.9983271835749086,126
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,embedding,1,3.821447654137268e-11,5.499331577228521e-11,0.9999999999450067,0.9999999999726052,0.03801412271245912,0.9619858772875408,0.9810193241045772,0.03801412265746581,0.9999999985124306,126
monkeyT_session-y070420002-5_lfp-5,T,2007-04-20,embedding,10,0.0028953706268347655,0.0042031384653824855,0.9957968615346172,0.9979255786620377,1.9516835867022218,-0.951683586702222,0.030149198111847842,1.9474804482368393,0.9977926897599342,126
monkeyT_session-y070420002-5_lfp-8,T,2007-04-20,ar,1,2.054301711816581e-11,3.541429408589057e-11,0.9999999999645858,0.9999999999823443,0.049219977727650334,0.9507800222723497,0.9753912640635322,0.04921997769223604,0.9999999992618541,126
monkeyT_session-y070420002-5_lfp-8,T,2007-04-20,ar,10,0.002034349663475617,0.003498370633709096,0.9965016293662909,0.9982712015417722,2.296569858156791,-1.29656985815679,-0.15078059216237394,2.293071487523081,0.9984447294665106,126
monkeyT_session-y070420002-5_lfp-8,T,2007-04-20,embedding,1,3.453649465125845e-11,5.996578722335223e-11,0.9999999999400343,0.9999999999701175,0.049219977727650334,0.9507800222723497,0.9753912640635322,0.04921997766768454,0.9999999987573658,126
monkeyT_session-y070420002-5_lfp-8,T,2007-04-20,embedding,10,0.0026484977940827896,0.004564365162800541,0.9954356348371994,0.997744968227269,2.296569858156791,-1.29656985815679,-0.15078059216237394,2.2920054929939893,0.9979721674233175,126
monkeyT_session-y070420006-10_lfp-5,T,2007-04-20,ar,1,2.303800341291117e-11,3.6206749682636857e-11,0.9999999999637931,0.9999999999819539,0.04074240720590339,0.9592575927940964,0.979650317420482,0.04074240716969665,0.999999999087291,126
monkeyT_session-y070420006-10_lfp-5,T,2007-04-20,ar,10,0.002280216914569768,0.0036103446317684073,0.9963896553682318,0.9982171996222227,2.0495949144683676,-1.0495949144683674,-0.020189037259123185,2.045984569836599,0.9981992235063858,126
