recording,monkey,day,method,geometry_evaluable,macro_f1,n_trials
monkeyT_session-y070301002-6_lfp-8,T,2007-03-01,peak_frequency,True,0.11521281327638654,132
monkeyT_session-y070301002-6_lfp-8,T,2007-03-01,peak_power,True,0.18299975001240146,132
monkeyT_session-y070301002-6_lfp-8,T,2007-03-01,power_frequency,True,0.19122273798997938,132
monkeyT_session-y070301012-19_lfp-7,T,2007-03-01,all_bands,True,0.21701794115778575,174
monkeyT_session-y070301012-19_lfp-7,T,2007-03-01,ktorus,True,0.20811524749669333,174
monkeyT_session-y070301012-19_lfp-7,T,2007-03-01,ktorus_all_bands,True,0.22723855972443543,174
monkeyT_session-y070301012-19_lfp-7,T,2007-03-01,ktorus_power_frequency,True,0.219747681529905,174
monkeyT_session-y070301012-19_lfp-7,T,2007-03-01,peak_frequency,True,0.17687225687225686,174
monkeyT_session-y070301012-19_lfp-7,T,2007-03-01,peak_power,True,0.17995373078957622,174
monkeyT_session-y070301012-19_lfp-7,T,2007-03-01,power_frequency,True,0.22656983781166787,174
monkeyT_session-y070306001-5_lfp-5,T,2007-03-06,all_bands,True,0.22229990262485522,102
monkeyT_session-y070306001-5_lfp-5,T,2007-03-06,ktorus,True,0.14045102184637068,102
monkeyT_session-y070306001-5_lfp-5,T,2007-03-06,ktorus_all_bands,True,0.20296689262206502,102
monkeyT_session-y070306001-5_lfp-5,T,2007-03-06,ktorus_power_frequency,True,0.22620883696152513,102
monkeyT_session-y070306001-5_lfp-5,T,2007-03-06,peak_frequency,True,0.09197235513024986,102
monkeyT_session-y070306001-5_lfp-5,T,2007-03-06,peak_power,True,0.11356919964376104,102
monkeyT_session-y070306001-5_lfp-5,T,2007-03-06,power_frequency,True,0.0763030472332798,102
monkeyT_session-y070306001-5_lfp-7,T,2007-03-06,all_bands,True,0.10449735449735449,102
monkeyT_session-y070306001-5_lfp-7,T,2007-03-06,ktorus,True,0.22488773215509494,102
monkeyT_session-y070306001-5_lfp-7,T,2007-03-06,ktorus_all_bands,True,0.21043217260322522,102
monkeyT_session-y070306001-5_lfp-7,T,2007-03-06,ktorus_power_frequency,True,0.2318974519632414,102
monkeyT_session-y070306001-5_lfp-7,T,2007-03-06,peak_frequency,True,0.1401329267278135,102
monkeyT_session-y070306001-5_lfp-7,T,2007-03-06,peak_power,True,0.12560624382378946,102
monkeyT_session-y070306001-5_lfp-7,T,2007-03-06,power_frequency,True,0.1479514441388574,102
monkeyT_session-y070306006-11_lfp-5,T,2007-03-06,all_bands,True,0.19625403342508604,102
monkeyT_session-y070306006-11_lfp-5,T,2007-03-06,ktorus,True,0.2168938141925291,102
monkeyT_session-y070306006-11_lfp-5,T,2007-03-06,ktorus_all_bands,True,0.21407829843294776,102
monkeyT_session-y070306006-11_lfp-5,T,2007-03-06,ktorus_power_frequency,True,0.23808011733708323,102
monkeyT_session-y070306006-11_lfp-5,T,2007-03-06,peak_frequency,True,0.10838450954730024,102
monkeyT_session-y070306006-11_lfp-5,T,2007-03-06,peak_power,True,0.11870229362489426,102
