day,difference,monkey,enhanced,baseline
2007-02-06,0.030422135549,T,ktorus_power_frequency,power_frequency
2007-02-07,0.015425065502,T,ktorus_power_frequency,power_frequency
2007-02-08,-0.048785529396,T,ktorus_power_frequency,power_frequency
2007-02-09,0.03073983414,T,ktorus_power_frequency,power_frequency
2007-02-13,0.027117682875,T,ktorus_power_frequency,power_frequency
2007-02-14,0.024045481535,T,ktorus_power_frequency,power_frequency
2007-02-15,0.034925658765,T,ktorus_power_frequency,power_frequency
2007-02-28,-0.00467272688,T,ktorus_power_frequency,power_frequency
2007-03-01,-0.005556066408,T,ktorus_power_frequency,power_frequency
2007-03-06,0.067916183762,T,ktorus_power_frequency,power_frequency
2007-03-07,-0.044427347179,T,ktorus_power_frequency,power_frequency
2007-03-08,0.033249195086,T,ktorus_power_frequency,power_frequency
2007-03-12,0.052547693945,T,ktorus_power_frequency,power_frequency
2007-03-14,0.073503137757,T,ktorus_power_frequency,power_frequency
2007-03-15,-0.042894088714,T,ktorus_power_frequency,power_frequency
2007-03-16,-0.00796980454,T,ktorus_power_frequency,power_frequency
2007-04-12,0.015077971362,T,ktorus_power_frequency,power_frequency
2007-04-13,-0.051374681001,T,ktorus_power_frequency,power_frequency
2007-04-16,0.016059950633,T,ktorus_power_frequency,power_frequency
2007-04-19,-0.005459486551,T,ktorus_power_frequency,power_frequency
2007-04-20,-0.010290340084,T,ktorus_power_frequency,power_frequency
2007-04-23,0.010743315411,T,ktorus_power_frequency,power_frequency
2007-04-24,-0.025244216893,T,ktorus_power_frequency,power_frequency
2007-04-25,0.014366659387,T,ktorus_power_frequency,power_frequency
2007-04-26,0.005298533612,T,ktorus_power_frequency,power_frequency
2007-05-02,0.00358823802,T,ktorus_power_frequency,power_frequency
2007-05-03,-0.003106621557,T,ktorus_power_frequency,power_frequency
2007-01-30,-0.039801193533,T,ktorus_all_bands,all_bands
2007-02-01,-0.058072763231,T,ktorus_all_bands,all_bands
2007-02-02,-0.013115877548,T,ktorus_all_bands,all_bands
2007-02-06,-0.06361164316,T,ktorus_all_bands,all_bands
2007-02-07,0.021215619389,T,ktorus_all_bands,all_bands
2007-02-08,-0.017006673069,T,ktorus_all_bands,all_bands
2007-02-09,0.023185759116,T,ktorus_all_bands,all_bands
2007-02-13,0.044609434049,T,ktorus_all_bands,all_bands
2007-02-14,0.0291207652,T,ktorus_all_bands,all_bands
2007-02-15,0.062455235397,T,ktorus_all_bands,all_bands
2007-02-28,0.063142859689,T,ktorus_all_bands,all_bands
2007-03-01,-0.029284531117,T,ktorus_all_bands,all_bands
2007-03-06,0.027623801931,T,ktorus_all_bands,all_bands
2007-03-07,-0.012979497035,T,ktorus_all_bands,all_bands
2007-03-08,-0.108688856354,T,ktorus_all_bands,all_bands
2007-03-12,0.006365470294,T,ktorus_all_bands,all_bands
2007-03-14,0.092589804523,T,ktorus_all_bands,all_bands
2007-03-15,-0.014539257492,T,ktorus_all_bands,all_bands
2007-03-16,0.012904237933,T,ktorus_all_bands,all_bands
2007-04-12,0.019500182526,T,ktorus_all_bands,all_bands
2007-04-13,-0.007874650793,T,ktorus_all_bands,all_bands
2007-04-16,0.041925152104,T,ktorus_all_bands,all_bands
2007-04-19,-0.003799317138,T,ktorus_all_bands,all_bands
2007-04-20,0.005608681852,T,ktorus_all_bands,all_bands
2007-04-23,0.034869558262,T,ktorus_all_bands,all_bands
2007-04-24,-0.012042075044,T,ktorus_all_bands,all_bands
2007-04-25,0.029051917068,T,ktorus_all_bands,all_bands
2007-04-26,0.007482111434,T,ktorus_all_bands,all_bands
2007-05-02,-0.005979137671,T,ktorus_all_bands,all_bands
2007-05-03,0.005213048709,T,ktorus_all_bands,all_bands
