recording,monkey,day,method,geometry_evaluable,direction,f1
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_frequency,True,5,0.05405405405405406
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_frequency,True,6,0.2857142857142857
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_power,True,1,0.06896551724137931
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_power,True,2,0.26666666666666666
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_power,True,3,0.09523809523809523
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_power,True,4,0.32558139534883723
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_power,True,5,0.25806451612903225
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,peak_power,True,6,0.0
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,power_frequency,True,1,0.11428571428571428
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,power_frequency,True,2,0.2702702702702703
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,power_frequency,True,3,0.10526315789473684
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,power_frequency,True,4,0.15
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,power_frequency,True,5,0.18181818181818182
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,power_frequency,True,6,0.2413793103448276
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,all_bands,True,1,0.09090909090909091
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,all_bands,True,2,0.0
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,all_bands,True,3,0.0
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,all_bands,True,4,0.20833333333333334
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,all_bands,True,5,0.13333333333333333
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,all_bands,True,6,0.20408163265306123
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus,True,1,0.17142857142857143
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus,True,2,0.21818181818181817
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus,True,3,0.0
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus,True,4,0.18604651162790697
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus,True,5,0.15
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus,True,6,0.2857142857142857
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_all_bands,True,1,0.18604651162790697
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_all_bands,True,2,0.09302325581395349
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_all_bands,True,3,0.05714285714285714
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_all_bands,True,4,0.23809523809523808
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_all_bands,True,5,0.24489795918367346
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_all_bands,True,6,0.3
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_power_frequency,True,1,0.1111111111111111
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_power_frequency,True,2,0.20408163265306123
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_power_frequency,True,3,0.10256410256410256
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_power_frequency,True,4,0.13636363636363635
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_power_frequency,True,5,0.17391304347826086
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus_power_frequency,True,6,0.3157894736842105
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_frequency,True,1,0.18604651162790697
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_frequency,True,2,0.10256410256410256
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_frequency,True,3,0.0975609756097561
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_frequency,True,4,0.1276595744680851
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_frequency,True,5,0.10526315789473684
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_frequency,True,6,0.09090909090909091
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,peak_power,True,1,0.15789473684210525
