monkey,method,true_direction,predicted_direction,fraction
T,ktorus_all_bands,1,3,0.12950229165320498
T,ktorus_all_bands,1,4,0.1457958158520149
T,ktorus_all_bands,1,5,0.15200867035408555
T,ktorus_all_bands,1,6,0.17960902918707547
T,ktorus_all_bands,2,1,0.17189557682595033
T,ktorus_all_bands,2,2,0.24099183425636023
T,ktorus_all_bands,2,3,0.17555605846251693
T,ktorus_all_bands,2,4,0.14778497829875642
T,ktorus_all_bands,2,5,0.12443105597326587
T,ktorus_all_bands,2,6,0.1393404961831502
T,ktorus_all_bands,3,1,0.14551889220054862
T,ktorus_all_bands,3,2,0.17567703416553773
T,ktorus_all_bands,3,3,0.20824167875389404
T,ktorus_all_bands,3,4,0.16447921233448173
T,ktorus_all_bands,3,5,0.16653202927115657
T,ktorus_all_bands,3,6,0.1395511532743813
T,ktorus_all_bands,4,1,0.13497547860932058
T,ktorus_all_bands,4,2,0.1572881687593896
T,ktorus_all_bands,4,3,0.16894511408413723
T,ktorus_all_bands,4,4,0.19774234611513877
T,ktorus_all_bands,4,5,0.1779027266830952
T,ktorus_all_bands,4,6,0.1631461657489186
T,ktorus_all_bands,5,1,0.14723228090002408
T,ktorus_all_bands,5,2,0.11643321355602998
T,ktorus_all_bands,5,3,0.1677999932735306
T,ktorus_all_bands,5,4,0.16060112240620533
T,ktorus_all_bands,5,5,0.20767928687936837
T,ktorus_all_bands,5,6,0.20025410298484161
T,ktorus_all_bands,6,1,0.19443192946364385
T,ktorus_all_bands,6,2,0.14239369486614148
T,ktorus_all_bands,6,3,0.1332630307562113
T,ktorus_all_bands,6,4,0.15272949345637235
T,ktorus_all_bands,6,5,0.1901876648004081
T,ktorus_all_bands,6,6,0.18699418665722292
T,ktorus_power_frequency,1,1,0.2225448181508025
T,ktorus_power_frequency,1,2,0.18989510920045602
T,ktorus_power_frequency,1,3,0.1386871084579637
T,ktorus_power_frequency,1,4,0.1358739587349003
T,ktorus_power_frequency,1,5,0.14628410609882037
T,ktorus_power_frequency,1,6,0.16671489935705713
T,ktorus_power_frequency,2,1,0.17463545199620684
T,ktorus_power_frequency,2,2,0.297076804166979
T,ktorus_power_frequency,2,3,0.17319589687846562
T,ktorus_power_frequency,2,4,0.14125631293952767
