recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyM_session-o080808001-5_lfp-6,M,4,ok,1,3,30.0,1.828015532346449,10,77,[30.0],7.7,[],True
monkeyM_session-o080808006-12_lfp-5,M,0,ok,3,7,17.0,5.124200298999579,92,105,"[20.0, 34.0, 46.0]",1.141304347826087,[],True
monkeyM_session-o080808006-12_lfp-5,M,1,ok,2,5,15.0,21.51925233214149,36,105,"[20.0, 34.0]",2.9166666666666665,[],True
monkeyM_session-o080808006-12_lfp-5,M,2,ok,3,7,21.0,2.8935153506365987,92,106,"[20.0, 34.0, 46.0]",1.1521739130434783,[],True
monkeyM_session-o080808006-12_lfp-5,M,3,ok,3,7,18.0,7.759273860179384,92,106,"[20.0, 34.0, 46.0]",1.1521739130434783,[],True
monkeyM_session-o080808006-12_lfp-5,M,4,ok,3,7,17.0,5.124200298999579,92,106,"[20.0, 34.0, 46.0]",1.1521739130434783,[],True
monkeyM_session-o080808006-12_lfp-6,M,0,ok,2,5,29.0,2.0165984859705586,36,105,"[20.0, 32.0]",2.9166666666666665,[],True
monkeyM_session-o080808006-12_lfp-6,M,1,ok,2,5,29.0,2.0165984859705586,36,105,"[20.0, 32.0]",2.9166666666666665,[],True
monkeyM_session-o080808006-12_lfp-6,M,2,ok,2,5,29.0,2.0165984859705586,36,106,"[20.0, 32.0]",2.9444444444444446,[],True
monkeyM_session-o080808006-12_lfp-6,M,3,ok,2,5,29.0,2.0165984859705586,36,106,"[20.0, 32.0]",2.9444444444444446,[],True
monkeyM_session-o080808006-12_lfp-6,M,4,ok,2,5,30.0,3.3120140546563928,36,106,"[20.0, 32.0]",2.9444444444444446,[],True
monkeyM_session-o080828001-6_lfp-5,M,0,ok,1,3,18.0,1.2355437300596157,10,91,[20.0],9.1,[],True
monkeyM_session-o080828001-6_lfp-5,M,1,ok,1,3,21.0,2.3373285285729897,10,91,[20.0],9.1,[],True
monkeyM_session-o080828001-6_lfp-5,M,2,ok,1,3,20.0,1.8280155323464495,10,91,[20.0],9.1,[],True
monkeyM_session-o080828001-6_lfp-5,M,3,ok,1,3,19.0,1.483574045130705,10,91,[20.0],9.1,[],True
monkeyM_session-o080828001-6_lfp-5,M,4,ok,1,3,20.0,1.8280155323464495,10,92,[20.0],9.2,[],True
monkeyM_session-o080828001-6_lfp-6,M,0,ok,1,3,20.0,1.8280155323464495,10,91,[20.0],9.1,[],True
monkeyM_session-o080828001-6_lfp-6,M,1,ok,1,3,18.0,1.2355437300596157,10,91,[20.0],9.1,[],True
monkeyM_session-o080828001-6_lfp-6,M,2,ok,1,3,20.0,1.8280155323464495,10,91,[20.0],9.1,[],True
monkeyM_session-o080828001-6_lfp-6,M,3,ok,1,3,20.0,1.8280155323464495,10,91,[20.0],9.1,[],True
monkeyM_session-o080828001-6_lfp-6,M,4,ok,2,5,20.0,1.7174498510863383,36,92,"[20.0, 46.0]",2.5555555555555554,[],True
monkeyM_session-o080828007-12_lfp-5,M,0,ok,1,3,21.0,2.3373285285729897,10,76,[20.0],7.6,[],True
monkeyM_session-o080828007-12_lfp-5,M,1,ok,1,3,19.0,1.483574045130705,10,77,[20.0],7.7,[],True
monkeyM_session-o080828007-12_lfp-5,M,2,ok,1,3,19.0,1.483574045130705,10,77,[20.0],7.7,[],True
monkeyM_session-o080828007-12_lfp-5,M,3,ok,1,3,21.0,2.3373285285729897,10,77,[20.0],7.7,[],True
monkeyM_session-o080828007-12_lfp-5,M,4,ok,1,3,20.0,1.8280155323464495,10,77,[20.0],7.7,[],True
monkeyM_session-o080829001-5_lfp-5,M,0,ok,1,3,12.0,1.2355437300596157,10,91,[30.0],9.1,[],True
monkeyM_session-o080829001-5_lfp-5,M,1,ok,1,3,12.0,1.2355437300596157,10,91,[30.0],9.1,[],True
monkeyM_session-o080829001-5_lfp-5,M,2,ok,1,3,13.0,1.6406609703449349,10,91,[30.0],9.1,[],True
monkeyM_session-o080829001-5_lfp-5,M,3,ok,1,3,12.0,1.2355437300596157,10,91,[30.0],9.1,[],True
monkeyM_session-o080829001-5_lfp-5,M,4,ok,1,3,12.0,1.543256175354837,10,92,[32.0],9.2,[],True
monkeyM_session-o080904001-7_lfp-5,M,0,ok,2,5,44.0,37.45031950263069,36,76,"[22.0, 34.0]",2.111111111111111,[],True
monkeyM_session-o080904001-7_lfp-5,M,1,ok,2,5,18.0,23.6285835175847,36,77,"[20.0, 34.0]",2.138888888888889,[],True
monkeyM_session-o080904001-7_lfp-5,M,2,ok,2,5,19.0,22.962779195574246,36,77,"[20.0, 34.0]",2.138888888888889,[],True
monkeyM_session-o080904001-7_lfp-5,M,3,ok,3,7,18.0,46.27384243545518,92,77,"[4.0, 22.0, 34.0]",0.8369565217391305,"[{""lower_hz"": 4.0, ""upper_hz"": 22.0, ""multiple"": 6}, {""lower_hz"": 4.0, ""upper_hz"": 34.0, ""multiple"": 8}]",True
monkeyM_session-o080904001-7_lfp-5,M,4,ok,3,7,19.0,4.251288152170635,92,77,"[6.0, 22.0, 34.0]",0.8369565217391305,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}]",True
monkeyM_session-o080904001-7_lfp-6,M,0,ok,1,3,49.0,1.5129233476040906,10,76,[18.0],7.6,[],False
monkeyM_session-o080904001-7_lfp-6,M,1,unresolved_embedding,3,7,,,92,77,"[8.0, 18.0, 34.0]",0.8369565217391305,"[{""lower_hz"": 8.0, ""upper_hz"": 18.0, ""multiple"": 2}, {""lower_hz"": 8.0, ""upper_hz"": 34.0, ""multiple"": 4}, {""lower_hz"": 18.0, ""upper_hz"": 34.0, ""multiple"": 2}]",False
monkeyM_session-o080904001-7_lfp-6,M,2,unresolved_embedding,3,7,,,92,77,"[8.0, 18.0, 34.0]",0.8369565217391305,"[{""lower_hz"": 8.0, ""upper_hz"": 18.0, ""multiple"": 2}, {""lower_hz"": 8.0, ""upper_hz"": 34.0, ""multiple"": 4}, {""lower_hz"": 18.0, ""upper_hz"": 34.0, ""multiple"": 2}]",False
monkeyM_session-o080904001-7_lfp-6,M,3,unresolved_embedding,3,7,,,92,77,"[8.0, 20.0, 34.0]",0.8369565217391305,"[{""lower_hz"": 8.0, ""upper_hz"": 34.0, ""multiple"": 4}]",False
monkeyM_session-o080904001-7_lfp-6,M,4,unresolved_embedding,3,7,,,92,77,"[6.0, 20.0, 34.0]",0.8369565217391305,"[{""lower_hz"": 6.0, ""upper_hz"": 20.0, ""multiple"": 3}, {""lower_hz"": 6.0, ""upper_hz"": 34.0, ""multiple"": 6}]",False
monkeyM_session-o080904008-14_lfp-5,M,0,ok,2,5,19.0,22.962779195574246,36,72,"[20.0, 34.0]",2.0,[],True
monkeyM_session-o080904008-14_lfp-5,M,1,ok,2,5,21.0,3.0823314101432646,36,72,"[20.0, 34.0]",2.0,[],True
