recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,minimum_short,minimum_long,status,geometry_evaluable,n_trials,selection_hash,predecessor_features_sha256,fit_seconds,decode_seconds
monkeyM_session-o080515012-24_lfp-2,M,o080515012-24,2008-05-15,2,292,292,5000,4500,4500,5000,202,3d7113ec969ba4b4129d8152b7929421f03baf241249c9ae7e4ee3258750a166,21,23,eligible,True,126.0,afcaf20c66566638d41a8645a5bb32aaffa17a52d76196d0655b5d4fb6e079ef,b7520445b1d7a14057cfaa717b7ed60dbc926088529f77d49e62c44c441b614e,3.695957627031021,30.327420985035133
monkeyM_session-o080516002-14_lfp-1,M,o080516002-14,2008-05-16,1,167,167,5000,4500,4500,5000,206,b665336a46276ab9b4a4dda49ca69fee55c7d1eeffd3b5592805fce8fedec64f,9,10,insufficient_short_trials,False,,,,,
monkeyM_session-o080516002-14_lfp-4,M,o080516002-14,2008-05-16,4,167,167,5000,4500,4500,5000,204,1036b3f9fd9819290b7905cd4ec9a24e2921c1141e9a47ef17ac5379a9678ae8,9,10,insufficient_short_trials,False,,,,,
monkeyM_session-o080516015-26_lfp-5,M,o080516015-26,2008-05-16,5,155,155,5000,4500,4500,5000,210,2b3946947aaa843f8787e39de88fd263912747cb4be2e88ad939a599ae96ad49,11,12,insufficient_short_trials,False,,,,,
monkeyM_session-o080520001-6_lfp-2,M,o080520001-6,2008-05-20,2,101,101,5000,4500,4500,5000,216,20d940d2fb33cac353cc55876257b97d018f058035978aa7dae81d5fae058ee1,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080520001-6_lfp-4,M,o080520001-6,2008-05-20,4,101,101,5000,4500,4500,5000,215,d54aabaaa028a4c0a41c6b87300881a87f729e81ef12587cedf39ddcbf3efa9a,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080520007-14_lfp-2,M,o080520007-14,2008-05-20,2,53,53,5000,4500,4500,5000,219,9743355bc9b719f82c09267df246fedd2e43f2998c64b79ba72be5a363fe895e,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080520007-14_lfp-4,M,o080520007-14,2008-05-20,4,53,53,5000,4500,4500,5000,218,f2e05482ae9ea03a1f41254f6f9eb7563bdbc4f31f15b270e7a4cf6adbc1f186,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080521001-5_lfp-1,M,o080521001-5,2008-05-21,1,66,66,5000,4500,4500,5000,223,7c035b08a6d18231824a3858a8169d0785bd97279d62bb39f50802f1c996f6af,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080521006-9_lfp-1,M,o080521006-9,2008-05-21,1,86,86,5000,4500,4500,5000,226,36d7fcb8b97f1cd8db34dd175fb4c6a082d2ee89fafbda6a30bfd51eeea6de08,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080521010-13_lfp-2,M,o080521010-13,2008-05-21,2,122,122,5000,4500,4500,5000,229,a288054155ebc2325208193a5dff7c27ef2e31aea3e74c1b82cd3c6788c72bcf,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080521010-13_lfp-5,M,o080521010-13,2008-05-21,5,122,122,5000,4500,4500,5000,228,876cc2d5b0ff9c9be5f9d7f0c73f75fbf2cabfe452d594a418d3cac91553c3fc,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080521014-17_lfp-1,M,o080521014-17,2008-05-21,1,115,115,5000,4500,4500,5000,232,f82c0d563c2cf2b407db0495523245fcbb8feea4839d5e5088dbf062b6d49aab,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080521014-17_lfp-2,M,o080521014-17,2008-05-21,2,115,115,5000,4500,4500,5000,231,345602af42d300e88fcc88ab43135cfa14efac5ca5c3014ba536687173343cd4,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080522001-4_lfp-1,M,o080522001-4,2008-05-22,1,97,97,5000,4500,4500,5000,235,48a4bac3df0ea98ace0c335a5b15ddd9580549d5652255835328ebc0081e6bc0,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080522001-4_lfp-2,M,o080522001-4,2008-05-22,2,97,97,5000,4500,4500,5000,233,676a751661fc1d07cb0c68e3d34867ff14e96e7e35f4c138e4c137665047b217,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080522005-11_lfp-1,M,o080522005-11,2008-05-22,1,236,236,5000,4500,4500,5000,239,ce1c5552193f8777ad57bc52dcb763b2776ddfdeb78963507d3c692a7f948625,18,19,eligible,True,108.0,5e9614c02b130c37541de083c651918d25134b870cacababb0875a2b92376228,e221105dca230aad532c81c7a9ab7357f1cbf0ce0614a59f23b6affa04e48c2f,3.095411443966441,30.568720842013136
monkeyM_session-o080522005-11_lfp-2,M,o080522005-11,2008-05-22,2,236,236,5000,4500,4500,5000,238,2de4ccee319414854d571f0fa96d153f18a48395f81b90b9bb55825af7d833ec,18,19,eligible,True,108.0,8ef435f2ba5a3c9872927e14689f23fa6861f02443ad2e9b9c363d05df46b53d,0fe1b0cc4573a5beef8c782cb35bdb9640789da79a0876e91de23f3c450813dd,2.005894859030377,30.522396569955163
monkeyM_session-o080522012-21_lfp-1,M,o080522012-21,2008-05-22,1,282,282,5000,4500,4500,5000,248,44ffc67092ed881141968058164840fe66c1c537b1bfa30fafe967cad480acd6,24,22,eligible,True,144.0,5fb8d4ddd843833156eb974b79fc866137edd161ccaece74297260dd026dd156,8644ccada03808eee20c4dd52a90101bcb5316258f2bc84c3418ca9ebfcf9003,2.6820435100235045,30.539014909008984
monkeyM_session-o080522012-21_lfp-2,M,o080522012-21,2008-05-22,2,282,282,5000,4500,4500,5000,246,0b119eb40c43f7609f2d99362d8ee67118f017c52d8f6ec93e950eb00b12adb6,24,22,eligible,True,144.0,6335197f83d4853dfa7aa6fad5ecdd01630f0d8862247ec89e2da911eb8e9e8c,ad39552f64a7bc3d9ede1e18a346e8944e1b19cecb38577279439417e140682b,4.568553723976947,30.959345378971193
monkeyM_session-o080523010-18_lfp-4,M,o080523010-18,2008-05-23,4,187,187,5000,4500,4500,5000,255,9d924d4b64fc0c8e60ca90ca7524ce86ebd541421464c32450b1fbcd90bc024b,15,12,eligible,True,90.0,f55b4cfaaa36b7a6d18101755e78a243ff029b1de2e46f48345b7834144caa46,a407281f50961132114ae1c1ebad6d7d9075d418d85835176d456edc46cd2f56,1.756915339967236,30.708454081963282
monkeyM_session-o080523010-18_lfp-8,M,o080523010-18,2008-05-23,8,187,187,5000,4500,4500,5000,258,e3a18bfdd5c4e4a1963cf381b0a0d05f3d185cb4caa016bf17e035476aa98761,15,12,eligible,True,90.0,72433016139d426f7f0a1d1b87b779ba9169bb777649ab8fa2a75b2fa9ce80c5,8b8e983a3cd37f49dbba1b0bc9cae691bf6feee3300121fa482c2197c27b9bc6,4.418654343986418,30.652757484989706
monkeyM_session-o080527001-5_lfp-1,M,o080527001-5,2008-05-27,1,119,119,5000,4500,4500,5000,261,1c6efca6b07ad2899272575a77555ac5faedae38bc524db8a1300432bd23bbc0,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080527001-5_lfp-2,M,o080527001-5,2008-05-27,2,119,119,5000,4500,4500,5000,260,15c9531679701fe1f4dcb1bb3f9ff6bbfcb46a5635c94fdd20694ef02059c3e9,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080527006-16_lfp-1,M,o080527006-16,2008-05-27,1,290,290,5000,4500,4500,5000,269,46dfeb23fa9b96b457dc32153cfb0154571312ddfb0f42b76f46cee03eabc483,24,24,eligible,True,144.0,09a6971a776695aaeef60a9f6d089c12d542a5a7b82a855e8f810d8cb9149898,11ea006da7221b640309b141127b61195522deefac2540da1940daace2792473,2.6260006820084527,30.853581962990575
