row_index,original_trial_number,direction,tau_ms,n_points,status,reason,model,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z
110,17,4,11,478,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,19,120.68921257938362,0.0020599684197599257,active_optimizer_bound;near_optimizer_bound,1386.2615625406488,0.18265936196915314,0.7278294269686971,0.5712428592350486,1,1,0.529735674761582,0.008357420891393061,0.9016736401673641,0.9996260649915795,0.129295345508733,0.06276150627615062,2.7980280168353824,2.513505892789561,1.1561943243995974,0.3617719991799751,0.32498461284657887,0.17582128514268874,0.40992102308558065,-0.0336090309731135,0.6644876627523638,-0.3922687933942023,0.6360670874823209,-0.698614048420161,-0.023883767393379284,0.7150999769284655,-0.26531972674203397,-0.9195405153566389,-0.2899149585950667
110,17,4,12,476,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,35,129.078705317058,0.009364044041174958,near_optimizer_bound,1385.122503911495,0.19404732232128558,0.7514402319598953,0.5900001181055474,0,1,0.5646624222079412,0.008978429971309276,0.9096638655462185,0.9995545698647303,0.12143694878391874,0.052521008403361345,2.8950251026616796,2.414254426660426,1.1661342057600215,0.35156301512020693,0.29317969116181253,0.24156925017645656,0.22218260335697457,-0.33641182846896117,-0.7095395131306431,0.1352519913728763,-0.691563864104618,-0.7001107632399297,-0.02390118412922394,0.7136341167508908,0.07999124014912724,0.990522908480625,0.1116502094601188
110,17,4,13,474,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,31,128.95592824944316,0.0038705994665586742,,1383.3309320982326,0.1943124960089251,0.7530507379793373,0.6073111900183731,0,0,0.5670854139712246,0.009064054258065186,0.9135021097046413,0.999525384290221,0.13888550498259,0.04852320675105485,2.8553527087152655,2.4508681538642008,1.1423159246326762,0.39656710285346475,0.34039006119529686,0.25211317410695433,0.0019612324109653887,-0.4143566174754161,-0.6712440676938584,-0.2075373979451989,-0.7115895095061749,0.7214314660687329,0.03751366280039937,-0.691468990531908,0.17020000396676147,-0.977507520971317,0.12454318565150267
110,17,4,14,472,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,66,126.42214465732668,0.0041346905309184515,,1380.6339759054108,0.19268662701680742,0.7507477966380037,0.5940329820128832,0,0,0.5636222541568173,0.00904392864091134,0.9194915254237288,0.9994906065640128,0.149425805934908,0.048728813559322036,2.710960959180755,2.540665020859757,1.1167243838759922,0.40508752618380495,0.3796409183527391,0.23877837787011544,-0.06920590547526904,-0.3685514367550846,-0.6001513321623166,-0.42118527656301036,-0.6800156919583542,0.725092450789307,0.07248036987744182,-0.6848266450633933,0.3377266887744749,-0.9040738679926498,0.26189907388197803
110,17,4,15,470,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,76,125.29687622063605,0.0006952230752112722,nearly_circular_orientation,1377.6101411726765,0.1930064844070148,0.7521425994142301,0.591221405101501,0,0,0.565718489853595,0.008448993903645854,0.9042553191489362,0.9996372265863203,0.17600273969146982,0.0574468085106383,2.60026043785171,2.6000197285257447,1.0712541524828647,0.4576529609734179,0.45761059547257865,0.2760807738604995,-0.12689632716383792,-0.34689015413719354,-0.5481812827626884,-0.5469415042350111,-0.6327339663500194,0.6780178210584319,0.15232861933384245,-0.7190881907367266,0.4896826682190912,-0.8231955919921766,0.2873323890000592
110,17,4,16,468,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,38,126.70831067548579,0.001859611939158343,,1374.9483366743793,0.1967316439317247,0.7602516545162832,0.5974262761221164,0,0,0.577982578194746,0.009216136617213993,0.8995726495726496,0.9995996077309025,0.18732336453362003,0.05555555555555555,2.726965023970531,2.425571653928316,1.0468365428778998,0.5108242632558511,0.4543662431313963,0.24485115887553502,-0.1389849317425516,-0.28886494478918956,-0.49790180815872576,-0.637603401704763,-0.587839851971651,-0.3033010704217953,0.7630530788667925,-0.5707525378926505,0.8124667686198465,-0.10588626428837972,-0.5733113019307018
110,17,4,17,466,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,42,128.99208230143682,0.002441238181785276,,1372.8820763908461,0.20102685437789203,0.7695745511670392,0.616406471510082,0,0,0.5922449898039499,0.00859012852761253,0.9227467811158798,0.9995109723728962,0.16611274272621834,0.03862660944206009,2.7648121536887014,2.44461203636107,1.0860181124539954,0.45927052997217904,0.40608121026161004,0.22839225421372422,-0.13416969936839504,-0.26013995493435493,-0.44891294705795154,-0.7064323574623349,-0.5472024216807062,-0.4586408679990061,0.7077137161423503,-0.537391710192019,0.7668935520416873,0.009727297303988879,-0.6417005995961386
110,17,4,18,464,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,52,130.29625292967827,0.011246745983114462,,1371.2857179547627,0.2028654111265274,0.7742995178970332,0.6276332999225782,0,0,0.5995397434155781,0.008319076636905098,0.9116379310344828,0.999525395456304,0.162328113697764,0.04525862068965517,2.85898265370627,2.390598125207719,1.0993565583421363,0.4640932612709288,0.38806128427451586,0.2083827010118962,-0.12052891598498568,-0.24469466768599493,-0.4133978436354684,-0.7548478494364751,-0.5092219035724735,-0.511913720575365,0.6551673880181471,-0.5556078080464364,0.7530249435194363,0.030990609502839488,-0.6572617565005532
110,17,4,19,462,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,111,129.79432004277712,0.0019319271709405087,,1370.0179049645035,0.2010760942754629,0.7721867658390973,0.6287532153040215,0,0,0.5962724013370448,0.00817117592962857,0.9047619047619048,0.9995949074947661,0.1505322978754277,0.045454545454545456,2.9640211581662816,2.3159242683382217,1.1212857771989142,0.44618091589030745,0.3486214018185388,0.14005692586358034,-0.1018765559108003,-0.2101013574323672,-0.3978267789841601,-0.7848264535665033,-0.4751644891031302,-0.5401027984378612,0.6189988799381255,-0.570201152009479,0.7416352344925936,0.029796382605918863,-0.670141294460144
110,17,4,20,460,returned,,one_torus,True,2,`ftol` termination condition is satisfied.,66,127.06510167108846,0.001233706624973561,,1369.0072328843369,0.19527613751617773,0.7623397118330825,0.6221644484380281,0,0,0.5811618362377472,0.008148571713405028,0.9043478260869565,0.9996822969747418,0.13919680499565631,0.05,3.053528721535555,2.2511051416808368,1.1415614444461655,0.42504144200035954,0.3133466434313693,0.040177971626199675,-0.0953026029200003,-0.13567027677505733,-0.4059898145602877,-0.7972927346185669,-0.4466503843019681,-0.5520166830857233,0.6034541140182768,-0.5754308940849914,0.7283198830641352,0.012939381659514047,-0.6851151146586345
