,normalized_3d_set_error,normalized_3d_set_error,rms_3d_set_distance,rms_3d_set_distance,mean_3d_set_distance,mean_3d_set_distance,native_mse,native_mse,native_mean_error,native_mean_error,native_frac_inside,native_frac_inside,native_r_squared,native_r_squared,native_hole_quality,native_hole_quality,native_frac_in_hole,native_frac_in_hole
model,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus
original_trial_number,,,,,,,,,,,,,,,,,,
91,0.293576500972017,0.0019631884636748,0.899431143149249,0.0735509476699623,0.7298661125683863,0.0144846311553543,0.8089763812667649,0.0054097419031495,0.0107738291097113,0.0144846311553543,0.905982905982906,0.9316239316239316,0.9993505770726616,0.9980368115363252,0.1696789595997462,-0.0304081894801357,0.0512820512820512,0.0448717948717948
94,0.2861434611293834,0.0011343627004781,0.9578855027145958,0.0603111564913849,0.7951263183857268,0.0153773789742715,0.917544636310794,0.0036374355973283,0.0099811503697129,0.0153773789742715,0.905982905982906,0.8910256410256411,0.9994722805679184,0.9988656372995218,0.1698744276654091,-0.1134935977337476,0.0619658119658119,0.1025641025641025
96,0.1300777371619867,0.0063379230276705,0.5555235267764403,0.1226237095117883,0.451098140759595,0.0364706577891055,0.3086063888021344,0.0150365741344314,0.0112074385577396,0.0364706577891055,0.9102564102564102,0.8269230769230769,0.9991531569107835,0.9936620769723294,0.1222523570893517,0.0031094927746079,0.0512820512820512,0.126068376068376
98,0.2975570183410876,0.0044804593227022,0.9471859864344648,0.1162281792088022,0.6708345878061074,0.042827918082481,0.8971612928978304,0.0135089896421934,0.0084617900639044,0.042827918082481,0.9209401709401708,0.7927350427350427,0.9995642325884164,0.9955195406772978,0.1434772950798608,0.0558359142945985,0.0491452991452991,0.0256410256410256
100,0.2891316227098562,0.0011735290146967,0.9517388281066612,0.0606340959459777,0.7407906501856616,0.0146878684177906,0.9058067969258408,0.003676493591186,0.0115503027413161,0.0146878684177906,0.8675213675213675,0.9188034188034188,0.9994999285567316,0.9988264709853032,0.1822684638067103,-0.102015046247019,0.0747863247863247,0.0726495726495726
105,0.2025301390362761,0.0012269801026869,0.6794254342599966,0.052882956889686,0.5494021244934433,0.0149419031500439,0.4616189207193849,0.0027966071293963,0.0105864536967538,0.0149419031500439,0.8995726495726496,0.8867521367521367,0.999251875417345,0.998773019897313,0.1666423498652658,0.1045058396325853,0.0555555555555555,0.0833333333333333
109,0.3152413173913377,0.0004768718080924,1.0181653482562982,0.0396002173592625,0.7238656363332703,0.0109246045465465,1.0366606763898691,0.0015681772149008,0.0090876586521652,0.0109246045465465,0.938034188034188,0.8931623931623932,0.9994037072404088,0.9995231281919076,0.1575645589723312,0.0209279615562175,0.0256410256410256,0.0833333333333333
113,0.255323964329969,0.0013126190769968,0.8830477416156811,0.0633151661081993,0.6927961800980856,0.016375139829709,0.7797733139725547,0.0040088102593088,0.00957270720685,0.016375139829709,0.8995726495726496,0.8995726495726496,0.9995901049523516,0.9986873809230032,0.1513020473242996,-0.0222394976931532,0.0726495726495726,0.0811965811965812
116,0.1981228628536448,0.0024285826475715,0.6189416159169953,0.0685265441922536,0.4801100920530095,0.0174116429103739,0.3830887239139412,0.0046958872589328,0.0109513256272329,0.0174116429103739,0.8888888888888888,0.8803418803418803,0.9991956056271524,0.9975714173524284,0.150857497650985,0.0561808335370309,0.0576923076923076,0.0876068376068376
117,0.1712837346327398,0.0018463185497392,0.6962473615573281,0.0722867695942081,0.601146207659099,0.0210282344914623,0.4847603884755407,0.0052253770583661,0.0099581312659824,0.0210282344914623,0.9230769230769232,0.8589743589743589,0.999332864844792,0.9981536814502608,0.1460428813778848,0.0074998266511235,0.0427350427350427,0.0854700854700854
119,0.2387471706873412,0.0008606272913321,0.9651103251474364,0.0579449245940952,0.7391638065617612,0.0148355040085707,0.9314379397061904,0.0033576142862153,0.0106836392443328,0.0148355040085707,0.9166666666666666,0.9102564102564102,0.9994451734594912,0.9991393727086678,0.1731047476631535,0.0431301954497288,0.0384615384615384,0.0683760683760683
121,0.3022517930454051,0.001630034576584,0.9428494086203546,0.0692398787157669,0.7681891683601623,0.0174411731569293,0.8889650073357525,0.0047941608045741,0.0107098324244205,0.0174411731569293,0.9123931623931624,0.8952991452991453,0.9992978926109072,0.998369965423416,0.1360928156518251,-0.1157150079476529,0.0576923076923076,0.0854700854700854
124,0.2653040404752048,0.0019164548339945,0.7621636626687848,0.0647777115686906,0.6129436472209513,0.0187771897289913,0.5808934486926972,0.0041961519160764,0.0124139320979767,0.0187771897289913,0.8525641025641025,0.8782051282051282,0.9991967929852802,0.9980835451660056,0.2020883717292124,-0.0368166719943401,0.0811965811965812,0.0854700854700854
128,0.2236831825724143,0.0016958697426393,0.733787879449761,0.0638925340511367,0.5964459078008342,0.0169888626700131,0.5384446520273769,0.0040822559074756,0.0102108469610234,0.0169888626700131,0.8952991452991453,0.8717948717948718,0.9992981581309368,0.9983041302573606,0.1855230103369524,-0.0440243608516399,0.0576923076923076,0.1004273504273504
129,0.1526384430174039,0.0007210890303672,0.6715545884594392,0.0461576618871639,0.5168254830149636,0.0135393772132344,0.4509855652809267,0.0021305297508897,0.0082386109086388,0.0135393772132344,0.8974358974358975,0.8504273504273504,0.9996430975526784,0.9992789109696328,0.1346230696564446,0.1077651782244928,0.0534188034188034,0.0918803418803418
