row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,model,status,reason,elapsed_seconds,cloud_sha256,warnings,n_points,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z
42,55,150,2,3,short,one_torus,returned,,0.12251231400296092,d378076a375b1d24f75654ed1e18d557d9b1831e6157865000a3c4cd71a0b4ba,,468,True,2,`ftol` termination condition is satisfied.,64,123.75722188712683,0.007801620039345501,,1383.4873626949272,0.18292622852933982,0.7353645027272783,0.6136019992986937,0,0,0.5407609518713373,0.007363468950938969,0.8888888888888888,0.9997508115288661,0.09715228568702258,0.0811965811965812,3.094842475680705,2.7113978669579866,1.31053770552574,0.30067102035376125,0.2634185001819711,0.005303913100707207,0.05819281152135281,-0.09694585872692701,-0.4783207839820654,-0.7125920536707239,-0.5132463274641879,0.4621079729931099,-0.7012174321941235,0.5429091398026715,-0.7467700107163361,0.022509505350816136,0.664701341401975
42,55,150,2,3,short,two_torus,returned,,0.04174898494966328,d378076a375b1d24f75654ed1e18d557d9b1831e6157865000a3c4cd71a0b4ba,,468,True,2,`ftol` termination condition is satisfied.,35,2.285607779162568,0.1438044523834873,near_optimizer_bound,1383.4873626949272,0.0009173206132047627,0.052074516708294646,0.01470606966667296,0,1,0.0027117552904024583,0.01470606966667296,0.8782051282051282,0.9990826793867953,0.04367582509694101,0.07692307692307693,1.7524404610346953,1.581840193896743,1.512752018257754,,,-0.053449090373012424,0.08881417095710405,-0.1826533150136996,-0.6400106132134596,-0.4725719683384952,-0.6058565421893788,0.2894693226520347,-0.8786977211605947,0.37960219449903976,-0.711754119212497,0.06757255038668276,0.6991709549289659
43,38,521,2,4,short,one_torus,returned,,0.13855930895078927,a9a9a5c072dabed5bf9c4123d1ecb852389ad60154f02abf97e856e33d25715a,,468,True,2,`ftol` termination condition is satisfied.,78,103.29086706277104,0.002216439966098749,near_optimizer_bound,1357.2420164165114,0.1503028508524406,0.6602209944115589,0.5508766764819466,0,1,0.4358917614617877,0.008422875431251933,0.9145299145299145,0.9995390449556445,0.11356079973706376,0.04700854700854701,3.4875666596136483,3.1139127778551314,1.462952538275457,0.3960508590021595,0.35361842536479193,0.1157983568601807,-0.10346587802539799,-0.10397762852488428,0.5614057337628899,0.6203291711043143,0.5477365439466424,0.3807901175360619,-0.7812945234581726,0.49454803002250297,0.7347261316187601,-0.06906943672755657,-0.6748384432030162
43,38,521,2,4,short,two_torus,returned,,0.03274781396612525,a9a9a5c072dabed5bf9c4123d1ecb852389ad60154f02abf97e856e33d25715a,,468,True,2,`ftol` termination condition is satisfied.,27,2.8386484763020223,0.04982728383428985,near_optimizer_bound,1357.2420164165114,0.0019207377869395134,0.07463452299977683,0.026277364465085475,0,2,0.005570312023404216,0.026277364465085475,0.811965811965812,0.9980792622130605,0.149361056683476,0.12393162393162394,1.9044593116499102,1.7004233752687221,1.4464463431301537,,,0.17512357242145848,0.004112616791927185,0.030300147411747094,0.6000993572573544,0.5638987728751481,0.5673613798701511,0.34076651371091027,-0.8219030942075304,0.4564575411398055,0.7237119209678559,-0.0805821176207493,-0.6853813374806551
44,65,131,2,0,short,one_torus,returned,,0.16257307410705835,01203cdca969d63f1e2b72a8016325389ada8deef2a8f96baf6dbaef24f3b56a,,468,True,2,`ftol` termination condition is satisfied.,91,149.1771724702533,0.000834361862567113,nearly_circular_orientation,1335.9952830402979,0.245444521638814,0.8370592642549755,0.6427393230532484,0,0,0.7006682118750808,0.009301797416509699,0.8931623931623932,0.9994970728939898,0.19956327814391298,0.07051282051282051,2.4851356619162064,2.4421011831931665,0.9859853270268699,0.4959418193245408,0.487353717677353,-0.11037013778802172,0.05189594370261316,0.1818915176375552,0.4952990150880269,0.6409182046879935,0.5864322130916285,-0.5107697101951655,0.7608934996188086,-0.40019418459416306,-0.702704197225442,-0.1013160260565165,0.704231406615654
44,65,131,2,0,short,two_torus,returned,,0.08079226792324334,01203cdca969d63f1e2b72a8016325389ada8deef2a8f96baf6dbaef24f3b56a,,468,True,2,`ftol` termination condition is satisfied.,59,4.179359713181199,0.001625218609199975,active_optimizer_bound;near_optimizer_bound;nearly_circular_orientation,1335.9952830402979,0.001180318330171478,0.058046910766742524,0.014332764971875968,1,1,0.0033694438495621695,0.014332764971875968,0.9081196581196581,0.9988196816698285,0.005469727557255832,0.057692307692307696,1.726544317377448,1.6973961484565578,1.6881118539687596,,,-0.07511843773124183,-0.15860008130955006,0.03136034218501323,0.4830863954392465,0.39296964770700527,0.7824336333015022,-0.39251151786400457,0.8959970454031095,-0.20766319599520472,-0.7826635566345855,-0.20679494821642838,0.5870890958843177
45,41,579,2,2,short,one_torus,returned,,0.17862203007098287,4b4054aac35e6f8dc9e7ea1b09ed87ba8558d7c2404e076dac2650ed0db47421,,468,True,2,`ftol` termination condition is satisfied.,102,166.87114948301758,0.029836258345979874,active_optimizer_bound;near_optimizer_bound;nearly_circular_orientation,1246.5562299393673,0.29541112462378055,0.887046595140985,0.7287300016578577,1,1,0.7868516619512147,0.01137892305856824,0.8995726495726496,0.9991408434813526,0.20596000831306924,0.05982905982905983,2.2467304605465546,2.246730460546553,0.8919969181074768,0.46273662433160023,0.46273662433159984,-0.24327616219308487,0.08544277087850749,-0.2206790141694385,0.6848355517406237,0.2762406286248387,-0.6743080766001394,0.4492973728425378,0.56846110357816,0.6891907170540621,0.573700390297455,-0.7749471522715277,0.2651881847986402
45,41,579,2,2,short,two_torus,returned,,8.563693962059915,4b4054aac35e6f8dc9e7ea1b09ed87ba8558d7c2404e076dac2650ed0db47421,,468,True,2,`ftol` termination condition is satisfied.,5404,4.889642399590935,0.383132955974677,collapsed_hole;active_optimizer_bound;near_optimizer_bound;nearly_circular_orientation,1246.5562299393673,0.0013743478064079395,0.06050361683370744,0.018504069498361028,1,1,0.0036606876499600863,0.018504069498361028,0.8568376068376068,0.9986256521935921,-0.04768107556254231,0.10897435897435898,1.4479146746370934,1.4479146746368874,1.5169528036474105,,,-0.09907195221145998,0.08752243052575374,-0.12736583138673793,0.9879484326851433,0.11466740926941042,-0.1039676853884373,0.015440943467726719,0.5953344798356415,0.8033295926214765,0.15401127107592336,-0.7952535711131904,0.5863891932934102
46,66,419,2,1,short,one_torus,returned,,0.050090137985534966,a70fcdc620358361482e8f6ec26818867a3ceb7ccb757928385f36d24e52ad88,,468,True,2,`ftol` termination condition is satisfied.,29,149.98931261036168,0.006768478987283637,,1652.154160541846,0.19685119999375664,0.8336262678435468,0.6593550429031653,0,0,0.6949327544387608,0.007721617402128967,0.9017094017094017,0.9996996287540014,0.11512869516595947,0.06623931623931624,3.4169263421589093,3.2423919889320847,1.4731599252343772,0.3933862712510651,0.3732923589024203,-0.029521376061474425,0.34051484590145836,-0.21737833877817894,-0.43358181831168974,-0.74334766268191,-0.509353569943595,-0.6192911395057399,0.6564174840879472,-0.4308068837789518,0.6545878790181419,0.12864812073165258,-0.7449593073938635
46,66,419,2,1,short,two_torus,returned,,0.04829844005871564,a70fcdc620358361482e8f6ec26818867a3ceb7ccb757928385f36d24e52ad88,,468,True,2,`ftol` termination condition is satisfied.,28,3.032705298758668,0.0008170979096507946,active_optimizer_bound;near_optimizer_bound;nearly_circular_orientation,1652.154160541846,0.0009612466529108603,0.058253198747753775,0.01480836226494529,2,2,0.0033934351643453023,0.01480836226494529,0.8824786324786325,0.9990387533470891,0.012831379583401747,0.0811965811965812,1.887851101650324,1.887851101650324,1.8636273675690929,,,0.0241745275517248,0.11233814465714691,0.05331044725328654,-0.5463507020406353,-0.6178886950424372,-0.5654329941888779,-0.531518388963386,0.777523250485679,-0.33607409472603933,0.647293683401778,0.11692371654683678,-0.7532195775038205
47,58,580,2,3,short,one_torus,returned,,0.02958124002907425,9b8875bcfd162115212837cc9ccd6b2f7060e6354df5984960d297cc94a3f8ae,,468,True,2,`ftol` termination condition is satisfied.,18,95.57805171169589,0.002402634513683501,active_optimizer_bound;near_optimizer_bound,1193.0922567738116,0.1608490510280445,0.6403587357495817,0.5113357141647131,1,1,0.41005931045080257,0.010308518156164136,0.9230769230769231,0.9992684562878186,0.17067551371802778,0.04700854700854701,2.7139334120259546,2.3119789866178637,1.0420280545257907,0.4632019792942204,0.3945982012464346,0.05194040663063696,0.06497310081554511,-0.09010080509474307,0.5128444394396704,0.6522803688402967,0.558140574909798,0.48725093905446987,-0.7564444472918758,0.43632364197900825,0.7068076848228815,0.048188365664218545,-0.705762550783144
47,58,580,2,3,short,two_torus,returned,,0.02884177991654724,9b8875bcfd162115212837cc9ccd6b2f7060e6354df5984960d297cc94a3f8ae,,468,True,2,`ftol` termination condition is satisfied.,24,2.659488709642984,0.03672399796482151,near_optimizer_bound,1193.0922567738116,0.00133994619400889,0.05844640010273614,0.016404442232568362,0,1,0.0034159816849691155,0.016404442232568362,0.8824786324786325,0.9986600538059911,0.0521617769787569,0.06196581196581197,1.5625153598447448,1.331094760079289,1.2616624920673891,,,0.15233319694360328,0.05634737045420691,-0.11942351665106633,0.5629763305671776,0.6595697952639326,0.49802142162293594,0.4911036445975978,-0.7516360965994732,0.4402957966522779,0.6647366858255225,-0.003295976716752968,-0.7470704619064946
48,44,428,2,2,short,one_torus,returned,,0.14179857599083334,cb95c0fc002dc05e55370386acda3843046d81df4395b8cd1f137adf364cb8b0,,468,True,2,`ftol` termination condition is satisfied.,81,133.6199650927411,0.0008240926283106792,,1466.032905182622,0.1841265138459957,0.759463834735352,0.6469188390767874,0,0,0.576785316270926,0.009554212727154886,0.9273504273504274,0.9994338093406958,0.20071048966872207,0.042735042735042736,2.7045003827948975,2.324714289345036,1.0049496331613081,0.5428215961402109,0.46659454335448997,-0.052046782934379435,-0.021303920257547886,-0.02761497697745277,0.38539736210025427,0.7055833334724335,0.5946604348797344,0.5629642009123914,-0.6904027868918584,0.45432950635087266,0.7311225490814973,0.15967514326440685,-0.6632975703604415
48,44,428,2,2,short,two_torus,returned,,0.040692538022994995,cb95c0fc002dc05e55370386acda3843046d81df4395b8cd1f137adf364cb8b0,,468,True,2,`ftol` termination condition is satisfied.,40,2.823098378553759,0.12881802482504912,,1466.032905182622,0.000999317914501042,0.05595008736802222,0.017102636520929373,0,0,0.0031304122764893192,0.017102636520929373,0.8653846153846154,0.999000682085499,0.049220063323043406,0.07905982905982906,1.7515196864803682,1.5054421059822856,1.4313441501976125,,,0.02635110161433628,-0.030716755574030093,-0.11500672373641574,0.4055731151064235,0.7195373170897075,0.5637166820461104,0.5679141858421556,-0.6815974203219869,0.46140918296849526,0.7162289618692126,0.13300754085469163,-0.6850730386269318
49,36,543,2,4,short,one_torus,returned,,0.10209523793309927,47509bdbf326a0a0030f81848cbd6a0a1cf68f777535c6d25b8280900757d980,,468,True,2,`ftol` termination condition is satisfied.,64,203.01641958842507,0.015320349303682547,,1486.9259439087114,0.31541349582853834,1.0010640813082152,0.7982757505204834,0,0,1.002129294885461,0.011479005390529816,0.8846153846153846,0.999365531850808,0.22690220420120763,0.06837606837606838,2.5769298022453597,2.323044203569098,0.9470397758415262,0.5847110522014811,0.5271038502468718,0.17624589263951573,0.6486197694425265,0.5363735876373686,0.9383173631330051,-0.12899877940025664,-0.320811223238203,-0.3189512913805433,-0.6812011378995502,-0.6589651610282762,-0.13353126888092245,0.7206416062340517,-0.6803271827536049
