row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,mode_1_G_0_0,mode_1_G_0_1,mode_1_G_0_2,mode_1_G_1_1,mode_1_G_1_2,mode_1_G_2_2,residual_rmse_lag_0,residual_rmse_lag_1,residual_rmse_lag_2,normalized_error,held_out_in_this_feature_fit
100,101,400,4,2,short,0.3798006596838537,-0.07848167682027915,-0.29112923214946074,0.4535210245190512,-0.13821672482592046,0.3131494341265485,0.8720236566992661,0.9741418440927372,1.0184104108079217,0.8271027525112219,False
101,106,333,4,2,short,0.324776232880968,-0.2046874602699156,-0.11075727581201048,0.3917857129447647,-0.21645339506880928,0.3495993327463346,0.8158194609719004,0.8078626648594918,0.823124852327493,0.7893391079842011,False
102,109,459,4,4,short,0.7072845298272922,-0.24786894007980448,-0.44050365440365785,0.677096667130602,-0.30172869489323373,0.6268066497619141,0.7534566116023608,0.6907916904935854,0.6780913711921189,0.5997132089527765,True
103,121,606,4,1,short,0.3916218664711574,-0.2308438666937847,-0.2176878161796786,0.4975056722403671,-0.22847734766885563,0.4732200910087121,0.77395294633675,0.7856002508352109,0.7870219478414064,0.7295472244621327,False
104,125,86,4,0,short,0.3461900910718373,-0.18864387388097636,-0.12405160104415636,0.3751645118821264,-0.1705618382635465,0.2526976410060908,0.9836306869157962,0.9335395803024173,0.8727553645990664,0.8421809550945288,False
105,110,242,4,0,short,0.38972120968908197,-0.0787391668071451,-0.38175050742579536,0.45554581612764755,-0.1472644527743125,0.4884743006021749,0.8762975302766154,0.875358493200857,0.8610917448652887,0.7735576488219134,False
106,115,248,4,1,short,0.5482847013023496,-0.13975342237701244,-0.40132492902724876,0.5468757383787245,-0.19528724141818238,0.4669668946913352,0.8526710386358006,0.8693841140773594,0.8723643859617234,0.7417032769343673,False
107,103,89,4,4,short,0.31216546772435827,-0.12733826351983413,-0.11434747373472776,0.25413864319969764,-0.1351660164204183,0.20536715050105273,0.9030121969900127,0.9020386878765129,0.9003278330369454,0.8634833698528142,True
108,133,691,4,4,short,0.15427810671189773,-0.06894137628333832,-0.10335096081781697,0.17186750150983782,-0.06547135462330067,0.157614826920349,1.1559180433892693,1.2050988326401237,1.1849688647983678,0.9454372222883499,True
109,102,94,4,3,short,0.5329654938156028,-0.23579594057542946,-0.37925598658792953,0.5557748760516873,-0.16865239945435867,0.5206102835621492,0.8742468299420061,0.9004309529728047,0.9084098726330045,0.74897413041214,False
110,119,17,4,0,short,0.7182760427751452,-0.39470906689177987,-0.2281564714591876,0.6770954702410023,-0.4173222319443361,0.7124696212671413,0.7811590093403322,0.7994323391747553,0.7924155698313705,0.6404534967762676,False
111,105,109,4,4,short,0.6638437070603498,-0.32174938465293845,-0.3620050489486698,0.7571861974611056,-0.3577840593079516,0.6703355783453272,0.8617218176182666,0.8511820409415681,0.8844905882164587,0.682857736364837,True
112,127,695,4,3,short,0.4687508286396481,-0.18401444073824988,-0.38968446478147367,0.5201645091564674,-0.14906756622752823,0.5276266326275294,0.617785186681926,0.6326614072738874,0.6364351794506475,0.6101113495517291,False
113,134,116,4,2,short,0.3591888618340253,-0.2415655496294844,-0.13387961731374687,0.4001332807565995,-0.19630524759963697,0.3948810796353849,0.6922228552433174,0.6745700306850895,0.6591352332547243,0.7033613290447442,False
114,116,361,4,1,short,0.6580265947815481,-0.3396576803614492,-0.3422828138865503,0.6912892100813461,-0.2919756691300076,0.6037239302528473,0.745707269119006,0.7493189032747275,0.745642476132647,0.6314846668899899,False
115,111,283,4,3,short,0.6427427773953623,-0.34613111902355254,-0.3152520644716095,0.6491957522606411,-0.296915292396216,0.6252316980728603,0.9307143873485287,0.9299291826245502,0.9290825678562968,0.730389717549001,False
116,123,511,4,2,short,0.0722296795726522,-0.036475429028139814,-0.012321843155138547,0.07247335474764725,-0.025689485444339025,0.02094204936607869,0.98295038462882,0.9846238067587672,0.9890967006148099,0.972278002136918,False
117,120,206,4,4,short,0.8999304759275535,-0.3776958724988895,-0.6381853013904084,0.9551146420676547,-0.3279408905662683,0.8981616923399557,0.9353085341062191,0.9227966716318385,0.9240092611038269,0.6521266946409023,True
118,117,520,4,2,short,0.7785758823065343,-0.4323317719677219,-0.4193978559826079,0.7659252987813747,-0.31435657903210995,0.7954142426653557,0.8442569589573655,0.8628828131379082,0.8132690552554053,0.644473051900772,False
119,124,119,4,0,short,0.23799388662445092,-0.10868734882613902,-0.1229018715438232,0.19449535420176003,-0.10179720832165765,0.23563418899924846,1.1172796217498657,1.0933741098899423,1.0588300786095395,0.9143855404126017,False
120,112,85,4,0,short,0.2188164786877669,-0.04098532331125458,-0.11784581158719626,0.16246860584417458,-0.07452776255777896,0.12375263063408265,1.0991559189875078,1.0466669341809054,1.010166867159984,0.9293367850571858,False
121,132,199,4,3,short,0.061513394120741735,-0.05801955102469,-0.026712032776060504,0.08661289755532535,-0.03943597479102165,0.14259074250795914,1.0209028931638529,0.9886039270387379,0.9371575181946155,0.9522280784892159,False
122,107,536,4,0,short,0.5194391150476083,-0.17468605014965358,-0.4186795492160581,0.5286326305957385,-0.1891360867916064,0.5691347997441437,0.8333803884987789,0.8301822789212802,0.8097850595468811,0.7164864468514166,False
123,118,339,4,1,short,0.4411188408373731,-0.13713704387009168,-0.27911008061320075,0.3451575555956869,-0.09370088716322422,0.28426325048017803,0.7818846301762116,0.7943012584289609,0.7974269678666688,0.7778368895440128,False
124,104,701,4,0,short,0.32138013896350454,-0.18414623691409454,-0.17581902005523298,0.43171950836347656,-0.22433400470465265,0.420135349690311,0.7337446230444685,0.7886879594435657,0.7929279129518312,0.752908815233176,False
125,131,704,4,4,short,0.7785074675434199,-0.13525034928613155,-0.5813625468288612,0.7209432022508291,-0.21307558158261852,0.5755770415796722,0.7178682424585523,0.758645967013208,0.8123357334182727,0.627710371198605,True
126,108,592,4,3,short,0.61704647766337,-0.18887079972079712,-0.42020323083717676,0.6145960849800576,-0.22158156133587548,0.5064205223321859,0.6974302886953703,0.7172538134795109,0.7471150407208483,0.6418233550812412,False
127,122,440,4,1,short,0.1231737505481833,-0.06860062437058762,-0.05870691061533857,0.13269442071561546,-0.07919147377000496,0.16047278326598835,0.8141950740765277,0.8134166285497196,0.8066137181504434,0.9046319932127053,False
128,130,388,4,3,short,0.7025104652475105,-0.4294938878965704,-0.15184494529387577,0.6366515555627855,-0.3705897717909204,0.6069379405924625,0.5667186303596632,0.6234308241126153,0.6345274519748108,0.5333999004805094,False
129,126,121,4,1,short,0.3051839014850041,-0.23769196757682257,-0.051355737542676735,0.34546917187244497,-0.20437503999890166,0.3810828430390967,0.8986152208067677,0.9136693977426801,0.8879772811946027,0.8248123403534242,False
130,129,291,4,1,short,0.46787071036320504,-0.2425497137328403,-0.26597729957492766,0.4576256218836337,-0.18118020653357117,0.4579461268767716,0.7404670529727627,0.7572343886348479,0.7389210330195145,0.7068371400181952,False
131,128,573,4,4,short,0.8756673370328005,-0.2071654766522073,-0.7323335767788104,0.828752746680147,-0.21335690414713893,0.8041521283591893,0.7107432913541522,0.6789053364887986,0.6743261345363937,0.5316460819899889,True
132,164,705,5,2,short,0.09202383040321045,-0.047944386308138714,-0.09288704222526525,0.14066416631185247,-0.02112638802680098,0.13553640734678754,0.9333986979944285,0.9369104307792642,0.9113695346420019,0.9334211619716689,False
133,158,45,5,4,short,0.46185461841421793,-0.2493468217515138,-0.21748479546469734,0.48369579720969885,-0.24941088259158645,0.4878906606574212,0.6563878975147737,0.6645750357014115,0.6616783289784822,0.6465361372615036,True
134,136,410,5,0,short,0.3786176976998698,-0.14599411963834152,-0.30606588480577235,0.4367630337705125,-0.16063417637254326,0.45150004854000614,0.5799164251668092,0.5645443398689578,0.5665552825283519,0.6066252678103401,False
135,169,142,5,3,short,0.41504998785957037,-0.12075178934222648,-0.27990293562785273,0.38396855373971245,-0.14839379019065657,0.34018008144561984,0.8033477059481153,0.8072953340955145,0.7996570545924734,0.7724231323233631,False
136,166,706,5,3,short,0.12625186280219167,-0.07122510768684795,-0.04863040939378592,0.11751514194386067,-0.07328187264978418,0.14990226131350398,0.7314660354224792,0.7435617925492302,0.7763053485956184,0.895696993711976,False
