recording,monkey,day,analysis,method,true_direction,predicted_direction,fraction
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,4,4,0.4193548387096774
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,4,5,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,4,6,0.064516129032258
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,5,1,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,5,2,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,5,3,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,5,4,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,5,5,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,5,6,0.0967741935483871
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,6,1,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,6,2,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,6,3,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,6,4,0.2580645161290322
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,6,5,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus,6,6,0.064516129032258
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,1,1,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,1,2,0.1612903225806451
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,1,3,0.1935483870967742
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,1,4,0.2258064516129032
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,1,5,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,1,6,0.1290322580645161
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,matched_long,torus_all_bands,2,1,0.2258064516129032
