permutation_index,peak_power,peak_frequency,power_frequency,all_bands,geometry
158,0.12723864199895987,0.12394738480799421,0.13792469139639305,0.15820573697932191,0.17003536568901592
159,0.11392719237169512,0.1269077517075727,0.1115962707808586,0.17133304310506448,0.13645142343836372
160,0.07391168730379526,0.15610549529627663,0.09748515234857673,0.18228384771577777,0.10413041120513555
161,0.12175674790382075,0.11782643508253264,0.12264562320760442,0.17151245070214263,0.1427526164448281
162,0.1704902760192836,0.18518582285719995,0.18711382093828852,0.15387886966834335,0.13522044894995713
163,0.1437846535219577,0.1516101191732069,0.13559387304983547,0.14133032442293725,0.08874458874458874
164,0.14206591510414687,0.16356572826637902,0.16358312053133153,0.153164220603245,0.16134654818865343
165,0.13424112947085076,0.10562748068403714,0.08047548220227109,0.12137071094918261,0.13830970781197738
166,0.128808604824865,0.16377586029524224,0.13426305776366976,0.18089007830310236,0.1596948517350316
167,0.13108787404562053,0.12634743190354483,0.14397047176585717,0.16228864734299517,0.18107010379569774
168,0.14781891618744655,0.10840875463736462,0.10352516139632122,0.15011488786809166,0.12764764543315796
169,0.13812572735006803,0.09284573671067536,0.14508137246967082,0.16109167055346305,0.12127704586181721
170,0.13502475616521445,0.14950114896923408,0.1461129195797169,0.15039295583458595,0.1159158559684469
171,0.13613594607098856,0.17794673833031638,0.18516679764401464,0.1948372724392539,0.15483688801832962
172,0.1581784188034188,0.18373175057610291,0.22419853061810424,0.11333269109310544,0.1151026687733744
173,0.11573193625492272,0.10775014486205368,0.1262822076292859,0.10210283241059333,0.19820880075529101
174,0.11934021166080555,0.14704460407905853,0.13540653589336948,0.16566281728204565,0.14258245197549102
175,0.1074416121224318,0.10108074296304231,0.1444442451729809,0.1402216115471336,0.1883865471945174
176,0.13661184868495901,0.1484011320339409,0.16624237882966988,0.12093384307814958,0.18153478335144602
177,0.14957518908845133,0.1479896359946521,0.16167977211366255,0.17020809545962456,0.1511968939008844
178,0.13311981212921356,0.15691278460702018,0.15329164034736653,0.19149906526910865,0.1882802824908659
179,0.13964827445455152,0.12751211512921115,0.1689039718451483,0.1627578868708425,0.20546455008505596
180,0.1600045019562197,0.11616490428271821,0.15584692505843944,0.1632674695854555,0.1913670908005527
181,0.1412109601764774,0.11912655971479502,0.1417118412043261,0.149779573155562,0.13079675054907253
182,0.15257408163179442,0.16581715604981626,0.173165401426271,0.15267593956599898,0.21471160168903403
183,0.14641522162708606,0.14557660579165957,0.17093483529743556,0.17543075249005313,0.17100773825639773
