resample_index,peak_power,peak_frequency,power_frequency,all_bands,geometry
136,0.16592855851167873,0.15070731737398405,0.1891878524390692,0.21860747351256885,0.24442134442134442
137,0.13975330149555265,0.16200058775364412,0.19012826602943575,0.2372655438148128,0.1777046104657518
138,0.18148192803365218,0.1595450570853617,0.19551106381588745,0.24773555108382792,0.21972802833459903
139,0.1273066154660029,0.19133390236555836,0.15336788815380528,0.1877951511930073,0.24332501953728505
140,0.1558298079714653,0.17968142190618222,0.1855322667953179,0.2844850606406301,0.2032885793755359
141,0.18263096623553177,0.17636443356728296,0.22053497942386832,0.2226984208160883,0.2226214315015421
142,0.12855709847877728,0.14748157065572798,0.18071257004482086,0.22320385993659653,0.2429842495835227
143,0.12177789725515502,0.19464775565379047,0.18699562226735025,0.2052274286582162,0.1871496168709791
144,0.18348021026592456,0.17395999468367893,0.12793965890740086,0.1978120755191506,0.21519454632718368
145,0.15324788032772732,0.19394448122051278,0.17957202424278806,0.21859223419038853,0.2151754939050021
146,0.1635267477596705,0.17346806735525452,0.18321245165093394,0.2051108623150214,0.2702959932085131
147,0.14646135311527125,0.1732814251334609,0.21116460534583406,0.20038201033963746,0.17385541497026336
148,0.1716683442559973,0.17525311060645876,0.19229806505615862,0.27436887209129845,0.2823965168304791
149,0.16022996424927297,0.16111973806451213,0.19909120251545395,0.24604587216847337,0.28599342076408746
150,0.11607385803306249,0.1555355499036091,0.15764776766288777,0.1807288427947562,0.19482672327499917
151,0.17963706708406535,0.19058501009720522,0.23668968666645315,0.24547262580920548,0.22411097274110972
152,0.1671453512966099,0.18653972780053038,0.19576243662667836,0.23039588849594805,0.2413467242986694
153,0.2040283497478751,0.24921981311486643,0.20873806439222256,0.27234675364283417,0.27698538786548205
154,0.12378937451033328,0.13044613103676306,0.15409587030591596,0.24207752381418912,0.22130863121692004
155,0.13532410644151835,0.14483977905915701,0.15066590252348766,0.16869493953804027,0.2559584456761876
156,0.12948771703488685,0.17492663837631597,0.16768606242885498,0.1835377359430201,0.2159227476643207
