row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,status,failure_reason,elapsed_seconds,centered_rms,geometry_usable,R1,R2,longest_H1_lifetime,normalized_H1_lifetime,H0_intervals,H0_infinite,H1_intervals,H1_infinite,H2_intervals,H2_infinite,plot_x
39,50,10,2,0,short,success,,9.790449611027723,1.7571462624713825,True,4.401213194497237,1.7049894578310676,1.2277025282382965,0.6986911416876382,494,1,158,0,8,0,1.8772847199737506
40,52,412,2,0,short,success,,10.02508282091003,1.737014127484477,True,4.326778372066697,1.514949914462191,0.7875369489192963,0.4533854598291597,494,1,169,0,12,0,2.1514344094173055
41,49,670,2,4,short,success,,10.98136806092225,1.674765541949961,True,4.100922656180374,1.3297200689680546,0.7562614679336548,0.4515625912944956,494,1,157,0,10,0,2.1633316153189117
42,55,150,2,3,short,success,,11.5247238650918,1.6950758283795906,True,4.235753721224731,1.390710593067653,0.6892837584018707,0.4066388929991363,494,1,146,0,7,0,2.0748154205641907
43,38,521,2,4,short,success,,16.026992384926416,1.7390054897724136,True,4.850625147200376,1.523765335183271,1.290241003036499,0.7419418803590752,494,1,151,0,5,0,1.8920598189954916
44,65,131,2,0,short,success,,9.693346948944964,1.6695867216575924,True,3.647399802539301,1.2453672139209748,0.6727443635463715,0.4029406528092533,494,1,147,0,2,0,1.9327831777713145
45,41,579,2,2,short,success,,8.107727997936308,1.6449721302932905,True,3.2477030996423544,1.1642241068254493,0.4754820168018341,0.289051715859197,494,1,156,0,8,0,1.9864159183662697
46,66,419,2,1,short,success,,17.216590099968016,1.9004806362836963,True,4.765094959601797,1.8249960421529872,0.6656970083713531,0.3502782378636035,494,1,159,0,8,0,2.0198432979792056
47,58,580,2,3,short,success,,9.514573774999008,1.5750176203276574,True,3.5258161940954347,1.358781891702879,0.4979546964168548,0.3161581749880762,494,1,146,0,3,0,1.9383399765025133
48,44,428,2,2,short,success,,13.939747266005725,1.8024642389987096,True,4.261298963767636,1.3005205503706354,0.8778026700019836,0.4870014344859422,494,1,148,0,5,0,1.8560572639764503
49,36,543,2,4,short,success,,11.702049001934938,1.8447992824772532,True,4.05118711841986,1.1783444287427065,0.5408686399459839,0.2931856300484293,494,1,144,0,4,0,1.8201904401690716
50,61,387,2,4,short,success,,9.3212823580252,1.593667805618259,True,3.659670035887765,1.652100482287081,1.0735624134540558,0.6736425305633693,494,1,158,0,8,0,2.150389167433354
51,45,158,2,1,short,success,,14.20693474903237,1.8197187463303404,True,3.983030294324811,1.4769268715231838,0.8055690377950668,0.4426887613372033,494,1,141,0,4,0,1.8619917774039765
52,51,275,2,4,short,success,,11.661909629940055,1.5396144270679493,True,3.636135189372142,1.4263014432797738,0.3346298635005951,0.217346536650651,494,1,198,0,11,0,1.8880488482556423
53,63,254,2,0,short,success,,15.855603136005811,2.0479539281831984,True,4.966253601619344,1.1966487056366897,1.0250362753868103,0.5005172534795013,494,1,117,0,5,0,2.122779798430713
54,62,220,2,0,short,success,,10.250558790983632,1.4933297953817302,True,3.223342668346199,1.106177557511889,0.8663782179355621,0.5801653597316027,494,1,172,0,6,0,1.9403171933947356
55,64,589,2,2,short,success,,10.415574222919531,1.979524436180056,True,4.422726184650805,1.2480261843894132,0.8089728951454163,0.408670325235547,494,1,147,0,4,0,1.9937406895619276
56,53,530,2,3,short,success,,11.892289572046138,1.640099018112373,True,3.795551159563795,1.4490234055087885,0.4386211335659027,0.2674357637691422,494,1,189,0,6,0,2.058623294912031
57,56,531,2,0,short,success,,10.828745704959148,1.6793152246031828,True,4.407099287508726,1.4504806960723342,0.4588744938373565,0.2732509579586448,494,1,159,0,4,0,2.146525581384242
58,67,91,2,1,short,success,,13.76717948098667,1.6960092493807717,True,3.8343091391806494,1.4036593913111126,0.4285942167043686,0.2527074760122046,494,1,172,0,7,0,1.9325902583282666
59,37,96,2,2,short,success,,11.57207123201806,1.5066246068504523,True,3.704352422675682,1.5338580145640364,0.4553259313106537,0.3022159131347902,494,1,145,0,3,0,2.1528942716244197
60,47,197,2,1,short,success,,16.519371613045223,2.027657740456482,True,6.3025330743285535,1.6758187913836886,1.4517582058906555,0.7159779369687038,494,1,155,0,10,0,1.8236134063111127
61,57,281,2,2,short,success,,10.078062121989204,1.7092346540550527,True,3.839100964346448,1.4024418109359515,0.6853950023651123,0.4009952645993078,494,1,155,0,1,0,2.045261630305167
62,48,401,2,4,short,success,,9.846650484018028,1.5610906774433415,True,4.062541078006026,1.380910937590955,0.961264967918396,0.6157649788112863,494,1,161,0,14,0,2.029795743220327
63,42,34,2,2,short,success,,11.701701206970029,1.838698090673291,True,4.29577240666284,1.5637612694914875,0.6052885353565216,0.3291940848945343,494,1,147,0,5,0,2.041516763666297
64,34,479,2,0,short,success,,10.394479610957204,1.7422935654628355,True,4.240828762551521,1.479258123578659,0.765449196100235,0.4393342266042838,494,1,145,0,4,0,2.015569825488566
65,40,117,2,1,short,success,,10.698578136973085,1.6684447684607644,True,3.829074079443158,1.5921526777357813,0.6702609062194824,0.401727955812308,494,1,160,0,5,0,1.9066696074093323
66,87,663,3,4,short,success,,10.056995833059773,2.445066602249091,True,6.47569419934022,1.735489363922348,0.8910265564918518,0.3644181126486462,494,1,157,0,12,0,2.842487629151932
67,77,14,3,4,short,success,,12.19413431896828,1.664332542638876,True,3.7117412040180255,1.2379847786117524,0.4998546540737152,0.3003334016897684,494,1,162,0,9,0,2.9912228015890547
68,76,540,3,0,short,success,,13.861839312012307,1.824828022551699,True,4.038996615458417,1.1424432523265309,0.6607582569122314,0.3620934404483102,494,1,139,0,4,0,2.8403001443787974
70,68,420,3,2,short,success,,12.434938961989246,1.506503017305348,True,3.351100002620685,1.1505067842288408,0.8962308466434479,0.5949080993189899,494,1,147,0,4,0,3.0356172699104205
71,83,503,3,3,short,success,,11.337321590050124,1.630031645033346,True,4.064116532888532,1.39942298092939,0.8043522238731384,0.4934580419490467,494,1,176,0,7,0,3.108613590844584
72,84,636,3,2,short,success,,10.66429236298427,1.86198773525395,True,4.477049340562913,1.3780837621610194,1.012841284275055,0.5439570116915496,494,1,148,0,3,0,2.8231303910214143
73,72,307,3,3,short,success,,10.287997065926902,1.6043463930464326,True,3.887727743599786,1.4631702471025778,0.8926550149917603,0.5563979318061927,494,1,167,0,7,0,2.8662003692445124
74,69,612,3,3,short,success,,13.46609330899082,1.716209589042823,True,4.0163195416600965,1.0253196822691286,0.9095153212547302,0.5299558556609579,494,1,132,0,7,0,2.944937661250795
