latest_sample_index,x_t,x_t_minus3ms,x_t_minus6ms
310,0.6569216251373291,-0.25464195013046265,-1.1326006650924683
311,0.9126725196838379,0.06278928369283676,-0.8659985661506653
312,1.1307995319366455,0.37048065662384033,-0.5688179135322571
313,1.307141661643982,0.6569216251373291,-0.25464195013046265
314,1.4403754472732544,0.9126725196838379,0.06278928369283676
315,1.5318621397018433,1.1307995319366455,0.37048065662384033
316,1.5852911472320557,1.307141661643982,0.6569216251373291
317,1.6061714887619019,1.4403754472732544,0.9126725196838379
318,1.6012266874313354,1.5318621397018433,1.1307995319366455
319,1.577744960784912,1.5852911472320557,1.307141661643982
320,1.5429251194000244,1.6061714887619019,1.4403754472732544
321,1.5032620429992676,1.6012266874313354,1.5318621397018433
322,1.464020013809204,1.577744960784912,1.5852911472320557
323,1.4288463592529297,1.5429251194000244,1.6061714887619019
324,1.399558424949646,1.5032620429992676,1.6012266874313354
325,1.3761180639266968,1.464020013809204,1.577744960784912
326,1.3567826747894287,1.4288463592529297,1.5429251194000244
327,1.3384062051773071,1.399558424949646,1.5032620429992676
328,1.3168562650680542,1.3761180639266968,1.464020013809204
329,1.2875152826309204,1.3567826747894287,1.4288463592529297
330,1.2458343505859375,1.3384062051773071,1.399558424949646
331,1.187900424003601,1.3168562650680542,1.3761180639266968
332,1.110972285270691,1.2875152826309204,1.3567826747894287
333,1.0139312744140625,1.2458343505859375,1.3384062051773071
334,0.8975894451141357,1.187900424003601,1.3168562650680542
335,0.7648056149482727,1.110972285270691,1.2875152826309204
336,0.6203749775886536,1.0139312744140625,1.2458343505859375
337,0.47067755460739136,0.8975894451141357,1.187900424003601
338,0.32309380173683167,0.7648056149482727,1.110972285270691
339,0.18521781265735626,0.6203749775886536,1.0139312744140625
340,0.06393230706453323,0.47067755460739136,0.8975894451141357
341,-0.03553992509841919,0.32309380173683167,0.7648056149482727
342,-0.11043188720941544,0.18521781265735626,0.6203749775886536
343,-0.16087719798088074,0.06393230706453323,0.47067755460739136
344,-0.1898646205663681,-0.03553992509841919,0.32309380173683167
345,-0.20269562304019928,-0.11043188720941544,0.18521781265735626
346,-0.20607294142246246,-0.16087719798088074,0.06393230706453323
347,-0.20701538026332855,-0.1898646205663681,-0.03553992509841919
348,-0.21178856492042542,-0.20269562304019928,-0.11043188720941544
349,-0.22500374913215637,-0.20607294142246246,-0.16087719798088074
350,-0.24899692833423615,-0.20701538026332855,-0.1898646205663681
351,-0.2835594415664673,-0.21178856492042542,-0.20269562304019928
352,-0.32603612542152405,-0.22500374913215637,-0.20607294142246246
353,-0.37174317240715027,-0.24899692833423615,-0.20701538026332855
354,-0.41460558772087097,-0.2835594415664673,-0.21178856492042542
355,-0.4478926956653595,-0.32603612542152405,-0.22500374913215637
356,-0.4649488031864166,-0.37174317240715027,-0.24899692833423615
357,-0.45985254645347595,-0.41460558772087097,-0.2835594415664673
358,-0.4279809594154358,-0.4478926956653595,-0.32603612542152405
359,-0.3664836883544922,-0.4649488031864166,-0.37174317240715027
360,-0.2746829688549042,-0.45985254645347595,-0.41460558772087097
361,-0.154397651553154,-0.4279809594154358,-0.4478926956653595
362,-0.010153992101550102,-0.3664836883544922,-0.4649488031864166
363,0.15079088509082794,-0.2746829688549042,-0.45985254645347595
364,0.3187020719051361,-0.154397651553154,-0.4279809594154358
365,0.4819673001766205,-0.010153992101550102,-0.3664836883544922
366,0.6280526518821716,0.15079088509082794,-0.2746829688549042
367,0.7447234392166138,0.3187020719051361,-0.154397651553154
368,0.8213465809822083,0.4819673001766205,-0.010153992101550102
369,0.8500596880912781,0.6280526518821716,0.15079088509082794
370,0.8266269564628601,0.7447234392166138,0.3187020719051361
371,0.750873327255249,0.8213465809822083,0.4819673001766205
372,0.6266670227050781,0.8500596880912781,0.6280526518821716
