row_index,original_trial_number,direction,homology_dimension,interval,birth,death,lifetime
39,10,2,0,334,0.0,0.1749932318925857,0.1749932318925857
39,10,2,0,335,0.0,0.1750141084194183,0.1750141084194183
39,10,2,0,336,0.0,0.1751338243484497,0.1751338243484497
39,10,2,0,337,0.0,0.1756212711334228,0.1756212711334228
39,10,2,0,338,0.0,0.176112487912178,0.176112487912178
39,10,2,0,339,0.0,0.1782252639532089,0.1782252639532089
39,10,2,0,340,0.0,0.1794881969690323,0.1794881969690323
39,10,2,0,341,0.0,0.1800006479024887,0.1800006479024887
39,10,2,0,342,0.0,0.1804572492837906,0.1804572492837906
39,10,2,0,343,0.0,0.1805119961500167,0.1805119961500167
39,10,2,0,344,0.0,0.1812596321105957,0.1812596321105957
39,10,2,0,345,0.0,0.1856439262628555,0.1856439262628555
39,10,2,0,346,0.0,0.1861853450536728,0.1861853450536728
39,10,2,0,347,0.0,0.1869428008794784,0.1869428008794784
39,10,2,0,348,0.0,0.1872907727956771,0.1872907727956771
39,10,2,0,349,0.0,0.1878248900175094,0.1878248900175094
39,10,2,0,350,0.0,0.190090000629425,0.190090000629425
39,10,2,0,351,0.0,0.1906004250049591,0.1906004250049591
39,10,2,0,352,0.0,0.1918644458055496,0.1918644458055496
39,10,2,0,353,0.0,0.1928916871547699,0.1928916871547699
39,10,2,0,354,0.0,0.1969334781169891,0.1969334781169891
39,10,2,0,355,0.0,0.1974679827690124,0.1974679827690124
39,10,2,0,356,0.0,0.1985553652048111,0.1985553652048111
39,10,2,0,357,0.0,0.1988719850778579,0.1988719850778579
39,10,2,0,358,0.0,0.2001923322677612,0.2001923322677612
39,10,2,0,359,0.0,0.2013822048902511,0.2013822048902511
39,10,2,0,360,0.0,0.2036260813474655,0.2036260813474655
39,10,2,0,361,0.0,0.2044495046138763,0.2044495046138763
39,10,2,0,362,0.0,0.2046468406915664,0.2046468406915664
39,10,2,0,363,0.0,0.204958364367485,0.204958364367485
39,10,2,0,364,0.0,0.2050828337669372,0.2050828337669372
39,10,2,0,365,0.0,0.205644741654396,0.205644741654396
39,10,2,0,366,0.0,0.2059427052736282,0.2059427052736282
39,10,2,0,367,0.0,0.2099582701921463,0.2099582701921463
39,10,2,0,368,0.0,0.2113655507564544,0.2113655507564544
39,10,2,0,369,0.0,0.2120888978242874,0.2120888978242874
39,10,2,0,370,0.0,0.2123712003231048,0.2123712003231048
39,10,2,0,371,0.0,0.2151145786046981,0.2151145786046981
39,10,2,0,372,0.0,0.215687409043312,0.215687409043312
39,10,2,0,373,0.0,0.2157936692237854,0.2157936692237854
39,10,2,0,374,0.0,0.2163056582212448,0.2163056582212448
39,10,2,0,375,0.0,0.2174458354711532,0.2174458354711532
39,10,2,0,376,0.0,0.2186858803033828,0.2186858803033828
39,10,2,0,377,0.0,0.2207392901182174,0.2207392901182174
39,10,2,0,378,0.0,0.2213393002748489,0.2213393002748489
39,10,2,0,379,0.0,0.2218250036239624,0.2218250036239624
39,10,2,0,380,0.0,0.2233079075813293,0.2233079075813293
39,10,2,0,381,0.0,0.2234369069337844,0.2234369069337844
39,10,2,0,382,0.0,0.2252816557884216,0.2252816557884216
39,10,2,0,383,0.0,0.2256868183612823,0.2256868183612823
39,10,2,0,384,0.0,0.2260389328002929,0.2260389328002929
39,10,2,0,385,0.0,0.2276622205972671,0.2276622205972671
39,10,2,0,386,0.0,0.228864848613739,0.228864848613739
39,10,2,0,387,0.0,0.2289217114448547,0.2289217114448547
39,10,2,0,388,0.0,0.2290465980768203,0.2290465980768203
39,10,2,0,389,0.0,0.2298393100500106,0.2298393100500106
39,10,2,0,390,0.0,0.2315123379230499,0.2315123379230499
39,10,2,0,391,0.0,0.2323390841484069,0.2323390841484069
39,10,2,0,392,0.0,0.234563872218132,0.234563872218132
39,10,2,0,393,0.0,0.2388889044523239,0.2388889044523239
39,10,2,0,394,0.0,0.2405898869037628,0.2405898869037628
39,10,2,0,395,0.0,0.2413552105426788,0.2413552105426788
39,10,2,0,396,0.0,0.2416080683469772,0.2416080683469772
39,10,2,0,397,0.0,0.2445743978023529,0.2445743978023529
39,10,2,0,398,0.0,0.2460913211107254,0.2460913211107254
39,10,2,0,399,0.0,0.2478740662336349,0.2478740662336349
39,10,2,0,400,0.0,0.2478860169649124,0.2478860169649124
39,10,2,0,401,0.0,0.2523247897624969,0.2523247897624969
39,10,2,0,402,0.0,0.2529045343399048,0.2529045343399048
39,10,2,0,403,0.0,0.2543930113315582,0.2543930113315582
39,10,2,0,404,0.0,0.2564446926116943,0.2564446926116943
39,10,2,0,405,0.0,0.2565732598304748,0.2565732598304748
39,10,2,0,406,0.0,0.2575031518936157,0.2575031518936157
39,10,2,0,407,0.0,0.258671760559082,0.258671760559082
39,10,2,0,408,0.0,0.2619003355503082,0.2619003355503082
39,10,2,0,409,0.0,0.263214647769928,0.263214647769928
39,10,2,0,410,0.0,0.2653118968009949,0.2653118968009949
39,10,2,0,411,0.0,0.2656216621398926,0.2656216621398926
39,10,2,0,412,0.0,0.265851229429245,0.265851229429245
39,10,2,0,413,0.0,0.2672596275806427,0.2672596275806427
39,10,2,0,414,0.0,0.2686708569526672,0.2686708569526672
39,10,2,0,415,0.0,0.2709323763847351,0.2709323763847351
39,10,2,0,416,0.0,0.2756198644638061,0.2756198644638061
39,10,2,0,417,0.0,0.2771228551864624,0.2771228551864624
39,10,2,0,418,0.0,0.2774754762649536,0.2774754762649536
39,10,2,0,419,0.0,0.2780560255050659,0.2780560255050659
39,10,2,0,420,0.0,0.2784336507320404,0.2784336507320404
39,10,2,0,421,0.0,0.2817321419715881,0.2817321419715881
39,10,2,0,422,0.0,0.2818879187107086,0.2818879187107086
39,10,2,0,423,0.0,0.2862142026424408,0.2862142026424408
