row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,mode_1_G_0_0,mode_1_G_0_1,mode_1_G_0_2,mode_1_G_0_3,mode_1_G_0_4,mode_1_G_1_1,mode_1_G_1_2,mode_1_G_1_3,mode_1_G_1_4,mode_1_G_2_2,mode_1_G_2_3,mode_1_G_2_4,mode_1_G_3_3,mode_1_G_3_4,mode_1_G_4_4,mode_2_G_0_0,mode_2_G_0_1,mode_2_G_0_2,mode_2_G_0_3,mode_2_G_0_4,mode_2_G_1_1,mode_2_G_1_2,mode_2_G_1_3,mode_2_G_1_4,mode_2_G_2_2,mode_2_G_2_3,mode_2_G_2_4,mode_2_G_3_3,mode_2_G_3_4,mode_2_G_4_4,residual_rmse_lag_0,residual_rmse_lag_1,residual_rmse_lag_2,residual_rmse_lag_3,residual_rmse_lag_4,normalized_error,held_out_in_this_feature_fit
20,22,276,1,4,short,0.29966000735757314,-0.138476347464276,-0.22142417123467684,0.28629006972306215,0.021315199064357665,0.36337369582666895,-0.1011847282630017,-0.2568532647073794,0.31207658536689775,0.30195005732923064,-0.12687742425166224,-0.23458231545709685,0.325336803285378,-0.1135705435495202,0.3476848331768288,0.017410641820025673,-0.00848800323812085,-0.0026451396958588136,0.011727487849422196,-0.015695910555522143,0.017906428759510873,-0.011416190059459338,-0.0013645489280683931,0.012400559275761412,0.012126993549048696,-0.0057985852231499865,-0.001997406075348618,0.009275543869827695,-0.009071252095524068,0.01578775630859828,0.8611415227110358,0.8424067291456793,0.816809460780621,0.8236053382879305,0.8237519204695631,0.8029058087940487,False
21,28,263,1,2,short,0.4136246266384447,-0.06574823574352921,-0.34219907203483535,0.15820369230794526,0.2001995645065873,0.4321561289929674,-0.06142695536956565,-0.3126466374966252,0.1709058349968613,0.3149179454388561,-0.05192285902217021,-0.22130833362720898,0.25651371218140906,-0.06163862192028208,0.19435817900386643,0.04379000496924697,-0.035952464248021065,0.00602035850994273,0.01937559808953987,-0.02847296223361802,0.04215972486942213,-0.022686181464523513,0.005808877556009631,0.00697171496994181,0.025730830314152256,-0.02781590923567892,0.019110420521231148,0.04587810755766778,-0.0407792732664304,0.03980199896925327,1.2664118048201796,1.2596546767878956,1.2037520867514837,1.2175669439301855,1.23100669222824,0.894270050512394,False
22,7,382,1,0,short,0.49614121442530634,-0.09661255687728136,-0.4928737392474923,0.33119926428947716,0.4088783353766796,0.5420349613775134,-0.13907089215810017,-0.5608308982783153,0.352823035946926,0.5952181411286642,-0.10604828367969374,-0.600452163903637,0.6919261093307505,-0.1372760012991008,0.6943779375775019,0.036799276998188704,-0.019128297798176395,0.002093132131764876,0.021270017123796166,-0.02724027058238511,0.026276141958920664,-0.02928090861445408,0.010748022077394384,0.007935882521086483,0.04878298680536997,-0.036426523463401236,0.009193235547509159,0.04140179430865013,-0.024053198729429185,0.022535779622398635,0.746304876411176,0.7162227266227513,0.7173441790352275,0.7196392730118256,0.7025124675224835,0.6187206208695323,False
23,29,526,1,2,short,0.3760658370330386,-0.09530495088423024,-0.38521357222065855,0.28494794214897257,0.23897034473322784,0.48212397641376104,-0.123151027653529,-0.43140994840608915,0.3636554269324452,0.5010125068817184,-0.11872125430681282,-0.44928551271935413,0.49763288915723874,-0.15165270072275794,0.5448034742820498,0.03760190759984804,-0.030863167138377202,0.019920877829004556,0.004137496611355982,-0.02462170108466277,0.02739711288663872,-0.020393716083295613,0.003628787807715802,0.01217473548980717,0.018469012068487656,-0.011561230300050355,0.0026857374108574927,0.024352251268260107,-0.030040852187061914,0.04738218093606469,0.8031195231696325,0.808721028348545,0.805222773585875,0.7989136735166996,0.7852013811859739,0.7152957494881921,False
24,33,690,1,1,short,0.16061922785114452,-0.061857863239863156,-0.11645044233906635,0.13705779101233784,0.02619445085915518,0.1560320194693532,-0.05770968795883981,-0.1276621619627959,0.0831102739459035,0.16398323568367826,-0.04128365965105063,-0.09128691705557958,0.1593608457374112,-0.030432037083848548,0.0699702181052097,0.047456005567222403,-0.03955640368193397,0.0029175141283046026,0.0283906324655643,-0.036265580297438364,0.06289020259015207,-0.038732302721857695,0.008940558174611958,0.029594520914865554,0.04422320400746069,-0.03781499225702596,-0.0014600215302756868,0.052518093026479466,-0.022387133040664378,0.027727372811506973,0.9033426938729915,0.909160379641364,0.9169392482231876,0.9189057094698361,0.9962120321592359,0.9014156225757731,True
25,21,156,1,0,short,0.5462595783209553,-0.1051311367776257,-0.2756018742024608,0.39932033036415426,0.1234183174961889,0.3302469333852626,-0.18634215711829502,-0.2343067376976171,0.2926515196912445,0.32389304038897143,-0.07988517669935305,-0.30658564644488934,0.3718773921244653,-0.07048082696308414,0.3508106006999976,0.013678167728529887,-0.006504501522261998,-0.007092575832395604,0.01171570021883006,-0.0108353416383526,0.003692739703883924,0.005913589193208495,-0.006466870942588683,0.004794958332095571,0.014444366342953692,-0.00987008225141399,0.004102853572940449,0.011372527411772273,-0.008746507612784478,0.008796714465310999,1.2515670308176794,1.1456226549147215,0.9387128062888509,0.9354371788499019,0.9377011876565042,0.8480816693675178,False
26,19,689,1,3,short,0.41283704894490425,-0.10817720053219676,-0.3790567216405411,0.3257450286637982,0.1911475908314568,0.42000451143187595,-0.1288138536897922,-0.3895447461856984,0.3568000887213565,0.4809307907963688,-0.12190236209119759,-0.41251712407954916,0.49327946823110463,-0.16519313225928206,0.5112112755096834,0.1053271465294231,-0.0915797309642126,0.0620567886530196,-0.012374362256413234,-0.030947278846773334,0.09751669694283017,-0.08334236827033947,0.04391920739908274,-0.0003112322707056344,0.08482951426298838,-0.06175762278069975,0.02647538922308607,0.0629171720978387,-0.046816151180451224,0.050506288711757,0.8051776804606682,0.8101896958088443,0.8175660488454304,0.8120696209204633,0.813438668077183,0.707474479052545,False
27,2,684,1,0,short,1.1245817487276588,-0.20348786533358443,-0.9354410834352502,0.6892164698190762,0.6162512190717332,1.1839228111163842,-0.31969555750424794,-0.8727635176423549,0.7826290719290135,0.986533324271921,-0.2544368100377882,-0.8937365737016769,0.9102196507532117,-0.20540936332872917,1.0346515519889918,0.024008547509030864,-0.023296625089583047,0.00982968595041428,0.006267514895945958,-0.014814335449388512,0.0475841416515224,-0.032625444323740475,0.015293899052298922,0.010409293411723804,0.025363831986587104,-0.0171911615056747,-0.0023998409375487065,0.019928603279015623,-0.007261085270350874,0.009770734181233483,0.9206475798825554,0.8652330078258339,0.9044258826467244,0.9142421794441307,0.936310623294349,0.6063373300265451,False
28,32,80,1,2,short,0.13845785598945864,-0.02772027685291848,-0.11104415323537951,0.08407025556259494,0.055504522941519925,0.19147224578386604,-0.03520299247266602,-0.10984943260870067,0.07542895613484257,0.10680084978767938,-0.03868997587746396,-0.07124922171481196,0.0975839948617142,-0.009595286915744123,0.06253290099079992,0.02450898854252668,-0.01849945100938514,0.008854639624007198,0.007523279400446862,-0.017318328200142064,0.028948385692360423,-0.024945765881436398,0.013502396377886357,-0.006256774248704012,0.025455355585941503,-0.020657979713104943,0.01729922343987767,0.026861333461578173,-0.030057089536571838,0.03716890542139294,1.2044449103577461,1.1881472651315794,1.156645171454391,1.1385332178370198,1.1298685365004855,0.9482390470889428,False
29,8,349,1,4,short,0.32180246672942336,-0.11981479194986891,-0.20359438421659903,0.2723605636716513,-0.05685872004158154,0.3346352139691455,-0.13131774526065607,-0.14818642572185534,0.24485725146415138,0.27672263334159547,-0.13890618486468442,-0.1237730417254892,0.238060394718921,-0.08420289151301498,0.18256931310843116,0.009706989068130193,-0.006932173501693307,-0.0013703187010949344,0.012412697518096222,-0.016278797064799573,0.00827828774066482,-0.0025534884420345518,-0.0055034835965714025,0.011148207696940148,0.003942450475387762,-0.005319633770177088,0.0028045268881924292,0.019267096562998243,-0.021298256539833076,0.027368261850461373,0.9628139392881103,0.9611942929061734,0.948918887599621,0.8826552768311118,0.8610596816831468,0.8576070836816168,False
