row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_40Hz_log10_peak_psd,12_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
121,123,511,4,1,short,4.841103399725805,29.5,4.576758199570791,4.463597335289534,4.152242411351193,5.522850941401347,5.528794634964867
122,117,520,4,0,short,5.337133732098804,21.900000000000002,4.7195606670366494,5.383513461700896,4.578754139972023,6.167074793291198,5.460926921122129
123,122,440,4,3,short,5.0476593054562615,20.200000000000003,4.028644325983587,5.030056342924946,4.5425752568953826,5.9564177432442875,5.334836604547871
124,116,361,4,1,short,5.1778590483821665,22.0,3.7511488408177103,4.623755169534346,4.613437632967885,5.975361967676529,5.176825039002303
125,109,459,4,0,short,5.1319467100525165,21.700000000000003,4.075682243721735,4.47316592584651,4.307978190325187,5.923864734503683,5.519161173883249
126,134,116,4,3,short,4.740496451472636,25.6,4.524633857733469,4.669186340652731,4.563686933925561,5.730013512332392,5.486172926608978
127,114,312,4,2,short,5.211670935578629,19.900000000000002,2.9948021809274703,3.800478547150996,4.829190360612644,6.047384931510456,5.24453918721867
128,132,199,4,4,short,4.817350216505099,27.0,4.488021488943306,4.266080871546664,4.33650445725923,5.602920902169747,5.440636532133237
129,118,339,4,0,short,4.628891327882001,25.5,3.643283701583781,3.513522855494084,4.925667854658606,5.575706457997247,5.120710069654791
130,108,592,4,3,short,4.971076431822881,20.900000000000002,4.367278241346978,5.0438269929239254,4.8580296201250635,5.843037888372148,5.469117867236764
131,128,573,4,2,short,5.236142999389511,19.700000000000003,4.107844741243906,4.502310773729394,4.204655019808395,6.0288578071012475,5.359575760396143
132,160,247,5,1,short,5.148812814437756,20.700000000000003,4.2765534321554615,4.860702751712327,4.789739307379602,6.009854254514923,5.43851876659524
133,149,243,5,2,short,4.563655015557651,24.400000000000002,4.033825132386412,4.979613804695831,4.4270167430246525,5.428213232670411,5.205688726983215
134,139,164,5,0,short,5.159790084935929,20.900000000000002,4.131292861383639,4.469169493210504,4.403020065718794,5.948734729679616,5.3960667415037396
135,153,697,5,0,short,4.9205498069677,24.200000000000003,4.371090825108205,4.023452195778454,3.7564261609871483,5.6447845751686465,5.570044809512348
136,145,44,5,4,short,5.235660805834367,20.1,3.7724282737571673,5.0188193691068825,4.719287905338656,6.011466622481967,5.200051830959211
137,156,36,5,2,short,5.038593123428511,19.8,3.7341226424905867,4.83683167346496,4.777386688762592,5.825393789294922,5.314657923614766
138,150,457,5,0,short,4.873627641089227,20.900000000000002,4.027354275262691,4.444038322354195,3.655110358658285,5.708245546064677,5.317498190463916
