monkey,recording,curve,x,y
T,monkeyT_session-y070215011-16_lfp-1,ami,48.0,0.04294428236641845
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,48.0,0.04306080797434814
T,monkeyT_session-y070215011-16_lfp-1,ami,49.0,0.03759972730036225
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,49.0,0.03900150891701101
T,monkeyT_session-y070215011-16_lfp-1,ami,50.0,0.03624329226421158
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,50.0,0.03641647343704679
T,monkeyT_session-y070215011-16_lfp-1,ami,51.0,0.03468076984868757
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,51.0,0.03477602927605465
T,monkeyT_session-y070215011-16_lfp-1,ami,52.0,0.03289910109233051
T,monkeyT_session-y070215011-16_lfp-1,ami_smoothed,52.0,0.03383330899950575
T,monkeyT_session-y070215011-16_lfp-1,ami,53.0,0.033864440162722595
