row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_25Hz_log10_peak_psd,25_40Hz_log10_peak_psd,12_25Hz_peak_frequency_hz,25_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
70,83,94,3,3,short,5.424895163774311,6.508430853366718,15.9,31.200000000000003,5.140828272280908,5.118482603203737,5.0945505749985225,6.788005386970662,7.179751394556478
71,99,738,3,4,short,5.345625790707337,6.008456317692325,19.8,31.1,5.473733249119729,5.848833099554106,5.855846323858634,6.345869713705613,6.626603278633567
72,91,93,3,2,short,5.261927649415962,5.950802704561291,19.5,32.0,5.549862397856948,5.244342967351289,5.421426631497741,6.490847364134555,6.710257887358818
73,76,555,3,1,short,6.115154855685055,6.397035268698042,14.0,30.700000000000003,5.853300870072005,6.175521477434136,6.554867651348035,7.1099809395650775,7.026545825934392
74,98,329,3,0,short,5.581421910655358,5.46694538196386,17.7,36.800000000000004,5.398217282422376,5.738521257670859,5.680995540205664,6.473560466199945,6.402985984962444
75,75,57,3,1,short,5.283313735442184,5.449943318570867,19.0,32.2,5.741633048391517,6.187708133961973,5.370901813139932,6.209927993619266,6.268655894490175
76,95,291,3,1,short,5.236498450574047,5.999214156854746,25.0,31.700000000000003,5.636869418929759,5.960308916107088,5.395150411548686,6.205616372597934,6.79755975311595
77,101,23,3,2,short,5.071357714819347,5.6844216663307705,14.200000000000001,33.2,5.447969471541198,6.127330279796305,6.115438450856607,5.901666523266788,6.485717243282293
78,84,173,3,4,short,5.307392324352519,5.861887533118726,25.0,32.1,4.983021266043212,5.29889439561767,5.386440185330592,6.378500002507885,6.743900176846972
79,94,405,3,1,short,5.098283387500598,5.781100227716606,12.0,33.7,5.189122586521247,5.6165433109892104,5.829103340576887,6.058642739418106,6.592692671037572
80,92,695,3,0,short,5.730327002553476,6.40269831424195,25.0,29.5,5.925482293591785,6.260128009310752,6.124651858386696,6.7993301590706645,6.9176921838185335
81,81,560,3,3,short,5.35093649869969,5.867676424321205,12.0,30.1,6.462311042279342,6.2691463129655824,6.10936106980601,6.551290144503484,6.493076152688437
82,80,307,3,2,short,5.302315525806469,5.974997340833792,12.0,30.3,6.037777888001543,6.308878583851442,6.217262807825231,6.581336765905815,6.60986484892435
83,73,406,3,0,short,5.533975763755027,5.997740688913536,12.0,32.7,5.771762898288842,6.389719928983209,6.552535125314746,6.491717081679199,6.76670135393216
84,100,633,3,4,short,4.757045599221514,5.282400118192854,12.200000000000001,31.400000000000002,5.227459760607597,5.459378286701555,5.538033066941977,5.696525922055459,5.970448515721531
85,77,72,3,0,short,5.496524597308291,6.169080528893263,25.0,30.6,5.0166755827452985,5.904894246068912,5.648088845812971,6.855227028031528,6.824401322207375
86,74,473,3,1,short,5.666012696165723,6.20245176347927,25.0,29.8,5.531123885430356,6.187588905178665,5.916941451247811,6.8283149794487645,6.833439165811396
87,79,778,3,2,short,5.488505815716501,5.931818780449049,17.8,30.700000000000003,6.032963630025855,5.672749242299607,5.4358720315345455,6.565166815569979,6.489302632958317
88,87,41,3,2,short,5.351098260167394,5.867673730211151,25.0,29.6,6.0064741182853805,6.053863759082467,5.693082612648144,6.637114498439476,6.4304359031079565
89,93,293,3,1,short,5.559701491764358,6.116771623813326,12.0,32.7,5.611053262491698,5.845508505027731,6.509768268112024,6.243603603201265,6.913772653484653
90,96,496,3,3,short,5.288853039658142,5.696165685965169,13.8,33.9,5.844067979906566,5.703124450486919,5.373131521489924,6.4714801542434754,6.689881903979848
91,88,18,3,4,short,5.894945985673613,6.093976205504979,25.0,28.200000000000003,4.49701496931083,5.913778321829656,5.732594995358877,7.053256689834392,6.631067533849585
92,72,199,3,4,short,5.116487225783269,5.874885339060676,16.400000000000002,30.6,5.568703540642512,5.775890937010346,5.457415461959697,6.513431992129027,6.6538864889656235
93,82,263,3,0,short,5.257581016547177,6.003938035405828,18.2,33.0,5.682329130689779,5.487208206677337,5.88768613521032,6.289977570700644,6.755799422697686
94,85,470,3,3,short,5.020770719349321,5.620089190529943,18.3,30.1,5.187460831187251,5.306202800966525,5.042863380800077,6.109263126372298,6.315685973793903
95,89,211,3,3,short,5.494737955800259,4.912529361402007,15.200000000000001,32.300000000000004,5.878775016184609,6.796638193772897,5.848204341310854,6.4163890064305535,5.883383670916587
96,86,374,3,1,short,5.2741388944521095,6.33558529926295,24.200000000000003,31.3,6.084600143509531,6.462891659333966,5.758728103780248,6.165485355711875,7.04235916132011
97,78,577,3,2,short,4.84670304798208,5.916214746753528,19.0,33.300000000000004,5.138131713803029,5.879717393221713,5.217669588353863,5.988938049506444,6.755775975251711
98,70,97,3,3,short,5.885585017406791,5.999927506799769,25.0,31.0,4.692651604086576,5.861277593332865,6.2522654430158076,6.813609201484194,6.923059604415933
99,113,228,4,1,short,4.733036855671958,5.895428196444848,12.0,31.400000000000002,5.75777036072792,5.767316871293908,5.374352725369482,6.120637337030121,6.693875858188471
100,127,384,4,4,short,4.938140525849912,6.064613440153982,25.0,31.400000000000002,5.196696149331417,5.4429460586445755,5.28408681593817,6.4146732422909,6.872098142442546
101,129,203,4,0,short,5.504032497941671,6.431285301050395,25.0,30.900000000000002,5.120411391141392,5.628310751378812,5.396068927207154,6.914696108017891,7.0237035157033265
102,130,276,4,1,short,5.640792276782949,6.088866836555724,25.0,28.700000000000003,4.078298531807948,5.355749979099268,5.686439342255763,6.777666538115333,6.4554959969443235
103,135,21,4,1,short,4.89243121270658,5.6269237978287245,15.200000000000001,31.3,6.064656467095466,6.146788499210996,5.762432394661687,6.067999168775853,6.489712609189316
104,117,771,4,4,short,5.257223109890594,6.132175041396796,12.0,31.0,6.476153136515168,5.907296479758228,5.608400119607204,6.51789376310622,6.800485910002706
105,138,40,4,0,short,5.757598958121082,5.909244882010879,25.0,30.0,5.0628465969424985,4.8833084603146935,5.081276011220054,6.810895028719366,6.568047711316393
106,134,550,4,0,short,5.123436890728664,5.385538343607764,24.1,35.5,5.338535100009423,5.341396316174927,5.102968924702383,6.105419632874368,6.333248347716563
107,136,628,4,0,short,5.189506142642285,6.377976359596355,14.100000000000001,30.400000000000002,5.006859429300381,5.64250665277538,5.875652088351931,6.773092431256658,6.912150419748245
108,104,491,4,2,short,5.042365499904099,5.929128569662699,20.200000000000003,31.200000000000003,4.410895090627652,5.313727368977017,5.592598999473943,6.493028180795884,6.7702913948882175
109,107,768,4,4,short,5.148167091609753,5.217786292812295,17.7,29.1,5.84825257796411,5.8200746938082695,4.827797405564784,6.24664384102647,5.955498505436846
110,126,457,4,2,short,5.474467397006425,6.188206723586772,15.100000000000001,31.0,5.477046686906704,5.602138184157052,5.5376319197693,6.859274945301192,6.964465594323781
