window_index,stage_name,original_trial_number,fit_status,usable,unusable_reason,elapsed_seconds,model,n_points,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z
486,pre_TC,406,returned,True,,0.02583459101151675,one_torus,294,True,2,`ftol` termination condition is satisfied.,15,2.3357120817271326,0.00020404903249746087,,1064.7757568359375,0.002319111307793082,0.09164656856868952,0.07356024380802778,0,0,0.00839909353041551,0.00882312030094573,0.8877551020408163,0.9995749882916054,0.20482459336684164,0.05102040816326531,4.1729499933517085,1.3962147137997296,1.1071157026539766,0.854722785528633,0.2859791110068993,-0.124209988065364,-0.1534441533817492,-0.1360689780240885,0.4292373499751544,-0.7931616292814644,0.4320300073159278,-0.5611558995299956,-0.6090084451499601,-0.5605468492077266,0.7077141752199604,-0.0018285432884734213,-0.7064964986609442
487,post_TC,406,returned,False,nonconvergence,11.849662794033065,one_torus,294,False,0,The maximum number of function evaluations is exceeded.,6000,2.740820416943496,0.02618744660932609,nonconvergence,1326.7840576171875,0.0022266805607404354,0.10024331401520019,0.07869898097139709,0,0,0.010048722004750031,0.011456292346529276,0.8741496598639455,0.9995956719417955,0.21636393142391838,0.06462585034013606,4.705191803218278,1.4399335304055794,1.2038854643369996,1.0180337966481188,0.3115496796277397,0.8049173665322868,0.7859527452520744,0.6841418379440489,-0.4239805227382178,0.8031301364470045,-0.41859586747699573,0.5669774721125133,0.5957912768354032,0.5688315221238571,0.7062415043409832,0.003839059321198224,-0.7079605915357955
488,pre_SC,406,returned,True,,0.042754216003231704,one_torus,294,True,2,`ftol` termination condition is satisfied.,26,2.0709379815496898,0.00022879870081091706,near_optimizer_bound,1008.405517578125,0.0024057040631740322,0.09083747261925053,0.06671404762144242,0,1,0.00825144643185309,0.01004881974906272,0.891156462585034,0.9993059991848748,0.2517036015162554,0.034013605442176874,3.9486231813544426,1.2986577334950837,0.9816303526035136,0.9938826757777391,0.32687682865773277,0.10002072129865089,0.08838090657213665,0.028325405427539977,-0.4304874240138314,0.7929518903670635,-0.4311703576647284,0.5651271627354295,0.6092697445901892,0.5562568365994335,0.7037839638005514,-0.004204508204916534,-0.7104016148672094
489,post_SC,406,returned,True,,0.04007876699324697,one_torus,294,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,39,2.4192938890294418,2740752.73419541,,1101.304443359375,0.0014856376401973475,0.07459959635797667,0.055125096440143184,0,0,0.005565099776773046,0.0087336025170896,0.8877551020408163,0.999676953782406,0.11446161829387269,0.04081632653061224,4.475829406646618,1.2935848160532932,1.2772594335404615,0.5123106770921904,0.14806581144587466,0.1737075825359445,0.19406116943135185,0.21733857664794323,-0.42582413949280534,0.8006228972117294,-0.4215172341495204,-0.566152644229375,-0.599163692865037,-0.566104277127826,-0.7057938690974727,-0.002417769969150065,0.7084131342167479
490,pre_GO,406,returned,True,,0.06525257299654186,one_torus,294,True,2,`ftol` termination condition is satisfied.,41,2.324077886049373,0.00022987493505350384,near_optimizer_bound,1018.1278076171875,0.0016518600037328064,0.07563348348078898,0.059790068991054116,0,1,0.00572042382343878,0.008501516782989493,0.9013605442176871,0.999653398693391,0.1532867427670718,0.04081632653061224,4.771233747012389,1.6330483471749333,1.3556476380519153,0.7313668800600136,0.25032466191964825,-0.2914798552939348,-0.3735311956031787,-0.40638302415639616,-0.4300816435163357,0.7935444181660876,-0.43048465281274984,-0.5611433964516571,-0.6085122809186767,-0.5610979349345778,-0.7072113322955721,0.0002456981693736664,0.7070021719224994
491,post_GO,406,returned,True,,0.052154008066281676,one_torus,294,True,2,`ftol` termination condition is satisfied.,29,2.3996002937976333,7.219649168908188e-05,,1039.804443359375,0.0019557235359050134,0.083167931553164,0.06782275342528261,0,0,0.006916904838831773,0.011252390387674572,0.8707482993197279,0.9994826036482009,0.15930633030581265,0.05442176870748299,4.248335683978057,0.7863330563135421,1.058153534742542,0.6767867677219382,0.1252678335994938,-0.45479120851712673,-0.4781377122243985,-0.4803101274337563,0.41643597242929387,-0.8090367984346973,0.41477769906894985,0.5698332272355806,0.5877512685122072,0.5743157141316738,-0.7084286654303429,-0.0028116080500404056,0.7057768208539839
492,pre_TC,200,returned,True,,0.03397286299150437,one_torus,294,True,2,`ftol` termination condition is satisfied.,30,2.570777435652818,0.15453012227924154,,1042.86767578125,0.0028263506563281937,0.10012763521136264,0.08178991784737102,0,0,0.010025543333019707,0.011178906138596519,0.8741496598639455,0.9995662793593951,0.20781020373752224,0.06462585034013606,4.338094011753139,1.2632891604697372,1.1093396484977607,0.9015002004151528,0.26252437781668003,0.16871054946234976,0.19832125800996864,0.21370332028173253,0.4299089430862877,-0.7973340502027136,0.4235997085000252,-0.5659074312593659,-0.6035356883703547,-0.5616880380662813,0.7035105400050106,0.0017564878698204832,-0.7106826541081621
493,post_TC,200,returned,True,,0.03203628701157868,one_torus,294,True,2,`ftol` termination condition is satisfied.,29,2.4321056120910427,0.05068628411973383,,824.4365234375,0.0018704883822565587,0.0724239910967849,0.05526496813010602,0,0,0.005245234486387179,0.01082889376504526,0.8741496598639455,0.9993515011599573,0.11070042864788199,0.06462585034013606,4.1284409396453405,0.9872674495926961,1.1373493194279207,0.4570201816663146,0.10929092986003915,0.03819521930348257,0.09115825633333928,0.10537053621718218,-0.40928193796315,0.8012320335256933,-0.436480840024996,-0.5730618629495894,-0.5979926616620819,-0.5603613814575779,-0.7099918284657424,0.020784731163865543,0.7039031172400912
494,pre_SC,200,returned,True,,0.038357401033863425,one_torus,294,True,2,`ftol` termination condition is satisfied.,23,2.791118111906978,9.072689955330615e-05,,914.9786376953125,0.0035240686568444447,0.10472587376250761,0.08176446965577056,0,0,0.01096750863532068,0.012501429120373457,0.8503401360544217,0.999288230975077,0.19557311455982782,0.08163265306122448,3.8227556886901604,1.252518308063327,1.0206717134909107,0.7476282362386298,0.24495890655121488,-0.5645969769546842,-0.5001052021392703,-0.39860766689814975,0.4366259888760428,-0.7920705352465858,0.42659349858112194,0.5597494849137041,0.6104009028703878,0.5604384461400361,-0.7042998366996419,-0.005916499651729711,0.7098779719463965
495,post_SC,200,returned,True,,1.9159313790732995,one_torus,294,True,2,`ftol` termination condition is satisfied.,1038,2.108175458844124,0.0008235595846533827,,928.8209228515625,0.002397934388259133,0.08703841577846913,0.06375705114182582,0,0,0.007575685821225664,0.011291435277096827,0.8503401360544217,0.9991382978583742,0.22506627474822846,0.05442176870748299,3.574260241423329,0.9481626170014882,0.8761444982106559,0.8044454375180775,0.213399428064116,-0.026043807370667374,-0.03902627502959107,-0.04031758824251496,0.42205259786771465,-0.8021128836224507,0.4224766580054221,-0.5681803203948111,-0.5971714513874652,-0.5661778706041399,0.7064295634721267,-0.0010860817611620373,-0.7077825176401213
