window_index,stage_name,feature,value,plotted_x
798,pre_TC,R1,3.732930693006674,-0.08813342876893215
804,pre_TC,R1,4.256163275127121,-0.12633070915727979
810,pre_TC,R1,4.779769084160423,-0.21017255145561747
816,pre_TC,R1,3.517991512784424,0.18488688647949317
822,pre_TC,R1,4.243142354384516,0.21645275353041968
828,pre_TC,R1,2.920292049440273,-0.03053173038749188
834,pre_TC,R1,4.200071600950866,-0.03962523498039183
840,pre_TC,R1,3.353151491796375,0.023323149307700325
846,pre_TC,R1,3.309686685258846,0.16153685574417517
852,pre_TC,R1,3.954960456588864,0.2041843023560231
858,pre_TC,R1,4.1983897148457725,-0.0924814743813887
864,pre_TC,R1,5.441875187614749,-0.11535906990217104
870,pre_TC,R1,3.594346775779376,-0.15684252787591885
876,pre_TC,R1,4.382244864411659,-0.02147538310436356
882,pre_TC,R1,3.3095541132073687,0.14586111011896521
888,pre_TC,R1,3.259593671385631,0.15151437088732175
894,pre_TC,R1,4.084216968634927,0.06096135234487318
900,pre_TC,R1,2.704840606804044,-0.18997076070233038
906,pre_TC,R1,4.146966051175243,0.2018915438343485
912,pre_TC,R1,3.3365058086152666,-0.059971906078602116
918,pre_TC,R1,5.562286085551556,0.06660014803648376
924,pre_TC,R1,3.844585143952479,-0.05456055366396001
930,pre_TC,R1,4.185730861344593,0.00543649638315849
936,pre_TC,R1,3.6429146510302894,0.02853018910844682
942,pre_TC,R1,4.336792948070126,-0.10281172251010834
948,pre_TC,R1,5.929533456130117,0.051523507715926425
954,pre_TC,R1,5.000025280058607,0.04603721927057744
960,pre_TC,R1,3.399760395775095,0.014987519523036674
966,pre_TC,R1,4.305446717770399,-0.03806755570708001
972,pre_TC,R1,4.088759341143888,0.015676956410335147
978,pre_TC,R1,3.057759084219845,0.1869237926602785
984,pre_TC,R1,5.59746397928582,-0.06707403132389006
990,pre_TC,R1,3.6065081616642662,-0.17974892246475196
996,pre_TC,R1,5.528388655410119,-0.12410109521772453
1002,pre_TC,R1,4.949648433829023,0.15076373733144047
1008,pre_TC,R1,4.389969429962091,0.15303177413037075
1014,pre_TC,R1,4.9364703964099865,0.03087161022937554
1020,pre_TC,R1,4.5089285302303415,0.16942496014826844
1026,pre_TC,R1,5.28656225926085,0.19598255987255778
1032,pre_TC,R1,2.993066890932478,-0.21449367400436814
1038,pre_TC,R1,4.533135710495356,0.1627959005068845
1044,pre_TC,R1,3.9523053572475058,-0.0014390182626566883
1050,pre_TC,R1,4.017341927734562,0.16142469490024644
1056,pre_TC,R1,3.4023245638479813,0.19857025629683175
1062,pre_TC,R1,2.475984680491892,-0.14440991824016616
1068,pre_TC,R1,4.87679618495561,0.0488781454293927
1074,pre_TC,R1,4.642604523244209,0.12425632248884957
1080,pre_TC,R1,4.304623359628908,0.22085328070980123
1086,pre_TC,R1,2.728601391792508,-0.18751943192865161
1092,pre_TC,R1,2.909505022168816,-0.1830369216205326
1098,pre_TC,R1,3.450757792528872,-0.10190756536995713
1104,pre_TC,R1,3.747278588468885,-0.11059690636357046
1110,pre_TC,R1,3.722860068550013,0.158560594899432
1116,pre_TC,R1,4.325895398792989,0.2041718472201858
1122,pre_TC,R1,5.353273134766746,0.19987543328029375
1128,pre_TC,R1,2.4766842318953044,-0.12452528631254223
1134,pre_TC,R1,5.960751551484087,0.13994951014728998
1140,pre_TC,R1,3.7599026727677223,0.1667172008056971
1146,pre_TC,R1,4.714822632704207,-0.029191021575765225
1152,pre_TC,R1,3.4842992109537643,-0.08295321393834698
1158,pre_TC,R1,4.64221229188486,0.05372571344663632
1164,pre_TC,R1,3.829849753581608,0.10195521778915398
1170,pre_TC,R1,3.512813177157128,0.05878996720786442
1176,pre_TC,R1,3.8031186399307977,-0.035702023638437275
1182,pre_TC,R1,3.538460024141705,0.05152054387916241
1,post_TC,R1,4.749349617302802,1.1116127375107072
7,post_TC,R1,5.9928898122538055,0.7808278228611361
13,post_TC,R1,5.353775701535105,0.7850765382093943
19,post_TC,R1,3.948022703272866,1.221504796680501
25,post_TC,R1,3.468502047023004,1.206718513122166
31,post_TC,R1,3.5238810592161958,1.0345697609440365
37,post_TC,R1,4.676362297817867,0.9802601129758339
43,post_TC,R1,5.630925477818247,1.1629563247172228
49,post_TC,R1,2.873492471526187,1.0505510919916523
55,post_TC,R1,3.265521902759856,0.8493196401739029
61,post_TC,R1,3.017021825340996,0.7736423635511985
67,post_TC,R1,3.3518933827324817,1.0591128879469334
73,post_TC,R1,2.886958267429485,1.1480418815533115
79,post_TC,R1,3.8083666707502393,0.8354330311676804
85,post_TC,R1,5.897886718732687,1.060790922830774
91,post_TC,R1,7.23324465952004,0.9267482894677974
97,post_TC,R1,3.6128498589699176,1.1259234925826713
103,post_TC,R1,3.686037389767726,1.0890023401130604
109,post_TC,R1,3.710021293099136,0.8089120162901646
115,post_TC,R1,4.259811569733663,1.08957445429452
121,post_TC,R1,5.178966656778405,0.834993358994236
127,post_TC,R1,5.759162132354688,0.866519220841293
133,post_TC,R1,4.890722300691772,1.0973128646818207
139,post_TC,R1,3.951843498890576,1.028772148774557
145,post_TC,R1,4.458702470951415,1.0782466721389814
151,post_TC,R1,3.8841023482473807,1.068939592775548
157,post_TC,R1,3.357326752578242,0.871892638649774
163,post_TC,R1,3.722068781704242,1.0955373461095137
169,post_TC,R1,5.5227990881795535,1.2160208106512858
175,post_TC,R1,4.014888093546929,1.0146789748974911
181,post_TC,R1,4.41958995535485,1.1478713811175483
187,post_TC,R1,4.1951914134396455,0.8028750158196503
193,post_TC,R1,2.6698713012704065,0.8528209733670067
199,post_TC,R1,3.9717405958710224,1.1154791093431022
205,post_TC,R1,4.893298710731728,1.1108318798147232
211,post_TC,R1,2.78900066404559,1.151746786516796
217,post_TC,R1,4.936124881199618,1.213394898271511
223,post_TC,R1,3.684944950485842,1.077911511066769
229,post_TC,R1,2.53636427686882,1.1082157861940396
235,post_TC,R1,3.863920850714688,1.0026103442639658
241,post_TC,R1,3.1547654360979003,0.9306473898303027
247,post_TC,R1,3.559513826931461,0.772242293227888
253,post_TC,R1,3.267589442541305,0.9535012898755573
259,post_TC,R1,3.8120144946082952,0.9397402831449185
265,post_TC,R1,3.433222864844613,1.194506815623136
271,post_TC,R1,3.0623276414295533,0.9117039220039799
277,post_TC,R1,3.527268585113716,0.9886606708200518
283,post_TC,R1,3.5951785691631,0.9368222574621783
289,post_TC,R1,3.594285377213182,1.004214872563648
295,post_TC,R1,3.870543595880728,1.0081289743632567
