session_id,feature_set,status,accuracy,macro_f1,f1_wake,f1_nrem,f1_rem,wake_count,nrem_count,rem_count
session_m0780_0840,alpha,insufficient_classes,,,,,,1667,133,0
session_m0780_0840,sigma,insufficient_classes,,,,,,1667,133,0
session_m0780_0840,beta,insufficient_classes,,,,,,1667,133,0
session_m0780_0840,low_gamma,insufficient_classes,,,,,,1667,133,0
session_m0780_0840,all_torus_15,insufficient_classes,,,,,,1667,133,0
session_m0840_0900,delta,ok,0.5,0.4760130556247061,0.4271844660194174,0.7008547008547008,0.3,1045,705,50
session_m0840_0900,theta,ok,0.4666666666666667,0.4582618639222413,0.5849056603773585,0.3181818181818182,0.4716981132075472,1045,705,50
session_m0840_0900,alpha,ok,0.3466666666666667,0.3378787878787879,0.4363636363636363,0.25,0.3272727272727272,1045,705,50
session_m0840_0900,sigma,ok,0.5,0.486024486024486,0.5765765765765766,0.358974358974359,0.5225225225225225,1045,705,50
session_m0840_0900,beta,ok,0.6733333333333333,0.6739774526162666,0.6792452830188679,0.7916666666666666,0.5510204081632653,1045,705,50
session_m0840_0900,low_gamma,ok,0.68,0.6795022412220749,0.6796116504854369,0.8282828282828283,0.5306122448979592,1045,705,50
session_m0840_0900,all_torus_15,ok,0.74,0.7416673336001067,0.72,0.8775510204081632,0.6274509803921569,1045,705,50
session_m0900_0960,delta,ok,0.4661016949152542,0.4359564108107275,0.4878048780487805,0.607773851590106,0.2122905027932961,711,971,118
session_m0900_0960,theta,ok,0.4322033898305085,0.3988001009475302,0.5287356321839081,0.1676646706586826,0.5,711,971,118
session_m0900_0960,alpha,ok,0.3305084745762712,0.2799686705191362,0.3916083916083916,0.4199288256227758,0.0283687943262411,711,971,118
session_m0900_0960,sigma,ok,0.3700564971751412,0.3468012490015249,0.4914675767918088,0.2,0.3489361702127659,711,971,118
session_m0900_0960,beta,ok,0.5677966101694916,0.5582734511287181,0.6614785992217899,0.6359832635983264,0.3773584905660377,711,971,118
session_m0900_0960,low_gamma,ok,0.6864406779661016,0.6827282010334211,0.6846153846153846,0.8240343347639485,0.5395348837209303,711,971,118
session_m0900_0960,all_torus_15,ok,0.748587570621469,0.7482185109303753,0.7264957264957265,0.8571428571428571,0.6610169491525424,711,971,118
session_m0960_1020,delta,ok,0.4516129032258064,0.4330101271277742,0.4923076923076923,0.5714285714285714,0.2352941176470588,1144,625,31
session_m0960_1020,theta,ok,0.3655913978494624,0.3208720330237358,0.1052631578947368,0.3823529411764705,0.475,1144,625,31
session_m0960_1020,alpha,ok,0.3548387096774194,0.3210365474315437,0.2807017543859649,0.5121951219512195,0.1702127659574468,1144,625,31
session_m0960_1020,sigma,ok,0.3763440860215054,0.3364734299516908,0.4722222222222222,0.0444444444444444,0.4927536231884058,1144,625,31
session_m0960_1020,beta,ok,0.5806451612903226,0.5744370290998372,0.6865671641791045,0.6229508196721312,0.4137931034482758,1144,625,31
session_m0960_1020,low_gamma,ok,0.6559139784946236,0.6543793028927788,0.6666666666666666,0.7540983606557377,0.5423728813559322,1144,625,31
session_m0960_1020,all_torus_15,ok,0.6774193548387096,0.6778128640197606,0.6551724137931034,0.7936507936507936,0.5846153846153846,1144,625,31
session_m1020_1080,delta,ok,0.4358974358974359,0.4215083798882681,0.4,0.6145251396648045,0.25,1047,675,78
