session_id,recording_hour,feature_set,accuracy,f1,f1_wake,f1_nrem,f1_rem
session_m0360_0420,Hour 7,all_band_power,0.7150997150997151,0.7138293741874304,0.6837606837606838,0.8403361344537815,0.6173913043478261
session_m0360_0420,Hour 7,all_torus_15,0.7150997150997151,0.7119479486527541,0.6844444444444444,0.8340080971659919,0.6173913043478261
session_m0420_0480,Hour 8,delta,0.44537815126050423,0.42499557596783416,0.38596491228070173,0.593103448275862,0.29591836734693877
session_m0420_0480,Hour 8,theta,0.4677871148459384,0.4361201377579402,0.546875,0.192090395480226,0.5693950177935944
session_m0420_0480,Hour 8,alpha,0.41456582633053224,0.38317886275698426,0.47191011235955055,0.49469964664310956,0.18292682926829268
session_m0420_0480,Hour 8,sigma,0.39775910364145656,0.3739373521365941,0.4411764705882353,0.21686746987951808,0.463768115942029
session_m0420_0480,Hour 8,beta,0.5742296918767507,0.5597356605640829,0.6840148698884758,0.6090534979423868,0.38613861386138615
session_m0420_0480,Hour 8,low_gamma,0.6498599439775911,0.6467619726529684,0.7054263565891473,0.7304347826086957,0.504424778761062
session_m0420_0480,Hour 8,average_psd,0.4677871148459384,0.45223109847630627,0.5660377358490566,0.5179282868525896,0.2727272727272727
session_m0420_0480,Hour 8,all_band_power,0.7058823529411765,0.706910759922808,0.7428571428571429,0.7272727272727273,0.6506024096385542
session_m0420_0480,Hour 8,all_torus_15,0.7170868347338936,0.7176627022344994,0.7160493827160493,0.7982832618025751,0.6386554621848739
session_m0480_0540,Hour 9,delta,0.49583333333333335,0.48021657057801637,0.3181818181818182,0.6043956043956044,0.5180722891566265
session_m0480_0540,Hour 9,theta,0.5208333333333334,0.515722747669098,0.6463414634146342,0.38620689655172413,0.5146198830409356
session_m0480_0540,Hour 9,alpha,0.4041666666666667,0.355271432582357,0.4717948717948718,0.4919786096256685,0.10204081632653061
session_m0480_0540,Hour 9,sigma,0.3541666666666667,0.2972402371651433,0.045454545454545456,0.43137254901960786,0.4148936170212766
session_m0480_0540,Hour 9,beta,0.5541666666666667,0.5477711324586666,0.6127167630057804,0.6792452830188679,0.35135135135135137
session_m0480_0540,Hour 9,low_gamma,0.7375,0.7391821440208536,0.703030303030303,0.864516129032258,0.65
session_m0480_0540,Hour 9,average_psd,0.5666666666666667,0.5591925589798533,0.5609756097560976,0.686046511627907,0.4305555555555556
session_m0480_0540,Hour 9,all_band_power,0.7708333333333334,0.7723109523867965,0.7466666666666667,0.8535031847133758,0.7167630057803468
session_m0480_0540,Hour 9,all_torus_15,0.7416666666666667,0.7442179433241689,0.7133757961783439,0.864516129032258,0.6547619047619048
session_m0540_0600,Hour 10,delta,0.5148148148148148,0.5055898196041034,0.35365853658536583,0.676923076923077,0.4861878453038674
session_m0540_0600,Hour 10,theta,0.4740740740740741,0.4539516985466636,0.5492227979274611,0.2482758620689655,0.5643564356435643
session_m0540_0600,Hour 10,alpha,0.4111111111111111,0.3652032314004145,0.12612612612612611,0.4694835680751174,0.5
session_m0540_0600,Hour 10,sigma,0.3592592592592593,0.3072444143534191,0.42857142857142855,0.05714285714285714,0.43601895734597157
session_m0540_0600,Hour 10,beta,0.5555555555555556,0.53993281075028,0.61,0.6808510638297872,0.32894736842105265
session_m0540_0600,Hour 10,low_gamma,0.6777777777777778,0.6766738087992406,0.6494845360824743,0.8361581920903954,0.5443786982248521
session_m0540_0600,Hour 10,average_psd,0.4925925925925926,0.48512368102404424,0.5106382978723404,0.6276595744680851,0.3170731707317073
session_m0540_0600,Hour 10,all_band_power,0.7296296296296296,0.7315963562261348,0.6989247311827957,0.8439306358381503,0.6519337016574586
session_m0540_0600,Hour 10,all_torus_15,0.6888888888888889,0.690890711703274,0.6214689265536724,0.8522727272727273,0.5989304812834224
session_m0600_0660,Hour 11,delta,0.4671201814058957,0.44044612234433295,0.25112107623318386,0.6171428571428571,0.45307443365695793
session_m0600_0660,Hour 11,theta,0.5102040816326531,0.49140398098219956,0.5759493670886076,0.32599118942731276,0.5722713864306784
session_m0600_0660,Hour 11,alpha,0.40589569160997735,0.3680506285677188,0.4233128834355828,0.5277777777777778,0.15306122448979592
session_m0600_0660,Hour 11,sigma,0.34467120181405897,0.3306621593901924,0.226890756302521,0.30976430976430974,0.4553314121037464
session_m0600_0660,Hour 11,beta,0.5600907029478458,0.5549371212775673,0.6153846153846154,0.6287625418060201,0.42066420664206644
session_m0600_0660,Hour 11,low_gamma,0.6009070294784581,0.5967589039775927,0.5852090032154341,0.7744107744107744,0.4306569343065693
session_m0600_0660,Hour 11,average_psd,0.4852607709750567,0.46384127320281393,0.5078369905956113,0.6029850746268657,0.2807017543859649
session_m0600_0660,Hour 11,all_band_power,0.6984126984126984,0.6986731651406891,0.6501766784452296,0.7835051546391752,0.6623376623376623
session_m0600_0660,Hour 11,all_torus_15,0.673469387755102,0.6727738453434927,0.6068965517241379,0.8148148148148148,0.5966101694915255
session_m0660_0720,Hour 12,delta,0.4215686274509804,0.4084175084175084,0.2909090909090909,0.5454545454545454,0.3888888888888889
session_m0660_0720,Hour 12,theta,0.5588235294117647,0.5420706054508871,0.6197183098591549,0.35714285714285715,0.6493506493506493
session_m0660_0720,Hour 12,alpha,0.29411764705882354,0.2872640684888872,0.2647058823529412,0.15873015873015872,0.4383561643835616
session_m0660_0720,Hour 12,sigma,0.3431372549019608,0.3282677149954038,0.34782608695652173,0.17543859649122806,0.46153846153846156
session_m0660_0720,Hour 12,beta,0.47058823529411764,0.44915166980034016,0.525,0.547945205479452,0.27450980392156865
session_m0660_0720,Hour 12,low_gamma,0.5980392156862745,0.5884851016429965,0.5789473684210527,0.7222222222222222,0.4642857142857143
session_m0660_0720,Hour 12,average_psd,0.45098039215686275,0.4241960953201263,0.5185185185185185,0.475,0.27906976744186046
session_m0660_0720,Hour 12,all_band_power,0.6078431372549019,0.6047658246300013,0.5757575757575758,0.5806451612903226,0.6578947368421053
session_m0660_0720,Hour 12,all_torus_15,0.5980392156862745,0.597207367795603,0.5151515151515151,0.6764705882352942,0.6
session_m0720_0780,Hour 13,delta,0.4855072463768116,0.46662317869649456,0.27312775330396477,0.6037735849056604,0.5229681978798587
session_m0720_0780,Hour 13,theta,0.4251207729468599,0.38801948233062783,0.5375,0.16216216216216217,0.46439628482972134
session_m0720_0780,Hour 13,alpha,0.3647342995169082,0.34430776688733694,0.3058823529411765,0.48158640226628896,0.24545454545454545
session_m0720_0780,Hour 13,sigma,0.37681159420289856,0.33064896053435583,0.4268292682926829,0.09523809523809523,0.46987951807228917
session_m0720_0780,Hour 13,beta,0.5507246376811594,0.5385399027588006,0.5686274509803921,0.6643835616438356,0.3826086956521739
session_m0720_0780,Hour 13,low_gamma,0.5990338164251208,0.5908808521332983,0.5578231292517006,0.7602739726027398,0.45454545454545453
session_m0720_0780,Hour 13,average_psd,0.4444444444444444,0.4264808728112473,0.47651006711409394,0.5483870967741935,0.2545454545454545
session_m0720_0780,Hour 13,all_band_power,0.6256038647342995,0.6247844005476489,0.5461254612546126,0.7526881720430108,0.5755395683453237
session_m0720_0780,Hour 13,all_torus_15,0.6400966183574879,0.6362351715242434,0.5373134328358209,0.7862068965517242,0.5851851851851851
session_m0840_0900,Hour 15,delta,0.5,0.47601305562470614,0.42718446601941745,0.7008547008547008,0.3
session_m0840_0900,Hour 15,theta,0.4666666666666667,0.4582618639222413,0.5849056603773585,0.3181818181818182,0.4716981132075472
session_m0840_0900,Hour 15,alpha,0.3466666666666667,0.3378787878787879,0.43636363636363634,0.25,0.32727272727272727
session_m0840_0900,Hour 15,sigma,0.5,0.486024486024486,0.5765765765765766,0.358974358974359,0.5225225225225225
session_m0840_0900,Hour 15,beta,0.6733333333333333,0.6739774526162666,0.6792452830188679,0.7916666666666666,0.5510204081632653
session_m0840_0900,Hour 15,low_gamma,0.68,0.6795022412220749,0.6796116504854369,0.8282828282828283,0.5306122448979592
session_m0840_0900,Hour 15,average_psd,0.5466666666666666,0.5348701685910988,0.5961538461538461,0.6363636363636364,0.37209302325581395
session_m0840_0900,Hour 15,all_band_power,0.7733333333333333,0.7740749633186609,0.76,0.8367346938775511,0.7254901960784313
session_m0840_0900,Hour 15,all_torus_15,0.74,0.7416673336001067,0.72,0.8775510204081632,0.6274509803921569
session_m0900_0960,Hour 16,delta,0.4661016949152542,0.4359564108107275,0.4878048780487805,0.607773851590106,0.2122905027932961
session_m0900_0960,Hour 16,theta,0.4322033898305085,0.3988001009475302,0.5287356321839081,0.16766467065868262,0.5
session_m0900_0960,Hour 16,alpha,0.3305084745762712,0.2799686705191362,0.3916083916083916,0.4199288256227758,0.028368794326241134
session_m0900_0960,Hour 16,sigma,0.3700564971751412,0.3468012490015249,0.49146757679180886,0.2,0.34893617021276596
session_m0900_0960,Hour 16,beta,0.5677966101694916,0.5582734511287181,0.6614785992217899,0.6359832635983264,0.37735849056603776
session_m0900_0960,Hour 16,low_gamma,0.6864406779661016,0.6827282010334211,0.6846153846153846,0.8240343347639485,0.5395348837209303
session_m0900_0960,Hour 16,average_psd,0.5706214689265536,0.5632435225869997,0.5991902834008097,0.664,0.4265402843601896
session_m0900_0960,Hour 16,all_band_power,0.7344632768361582,0.733306331650608,0.7419354838709677,0.811965811965812,0.6460176991150443
session_m0900_0960,Hour 16,all_torus_15,0.748587570621469,0.7482185109303753,0.7264957264957265,0.8571428571428571,0.6610169491525424
session_m0960_1020,Hour 17,delta,0.45161290322580644,0.4330101271277742,0.49230769230769234,0.5714285714285714,0.23529411764705882
session_m0960_1020,Hour 17,theta,0.3655913978494624,0.3208720330237358,0.10526315789473684,0.38235294117647056,0.475
session_m0960_1020,Hour 17,alpha,0.3548387096774194,0.32103654743154375,0.2807017543859649,0.5121951219512195,0.1702127659574468
session_m0960_1020,Hour 17,sigma,0.3763440860215054,0.3364734299516908,0.4722222222222222,0.044444444444444446,0.4927536231884058
session_m0960_1020,Hour 17,beta,0.5806451612903226,0.5744370290998372,0.6865671641791045,0.6229508196721312,0.41379310344827586
session_m0960_1020,Hour 17,low_gamma,0.6559139784946236,0.6543793028927788,0.6666666666666666,0.7540983606557377,0.5423728813559322
session_m0960_1020,Hour 17,average_psd,0.5806451612903226,0.5703455964325529,0.5538461538461539,0.6956521739130435,0.46153846153846156
session_m0960_1020,Hour 17,all_band_power,0.6881720430107527,0.6817460317460317,0.7428571428571429,0.7666666666666667,0.5357142857142857
session_m0960_1020,Hour 17,all_torus_15,0.6774193548387096,0.6778128640197606,0.6551724137931034,0.7936507936507936,0.5846153846153846
session_m1020_1080,Hour 18,delta,0.4358974358974359,0.42150837988826817,0.4,0.6145251396648045,0.25
session_m1020_1080,Hour 18,theta,0.3974358974358974,0.38289082039634065,0.47398843930635837,0.24193548387096775,0.4327485380116959
session_m1020_1080,Hour 18,alpha,0.4188034188034188,0.38757097591961015,0.48554913294797686,0.4919786096256685,0.18518518518518517
session_m1020_1080,Hour 18,sigma,0.37606837606837606,0.33133632240775096,0.46938775510204084,0.42045454545454547,0.10416666666666667
session_m1020_1080,Hour 18,beta,0.6153846153846154,0.6094674556213019,0.6745562130177515,0.6923076923076923,0.46153846153846156
session_m1020_1080,Hour 18,low_gamma,0.6837606837606838,0.678396194554364,0.6785714285714286,0.8176100628930818,0.5390070921985816
session_m1020_1080,Hour 18,average_psd,0.49145299145299143,0.47220214117220105,0.5149700598802395,0.6136363636363636,0.288
session_m1020_1080,Hour 18,all_band_power,0.7008547008547008,0.6967563430962934,0.7337278106508875,0.7870967741935484,0.5694444444444444
session_m1020_1080,Hour 18,all_torus_15,0.7264957264957265,0.7219101932659351,0.6993865030674846,0.8466257668711656,0.6197183098591549
session_m1080_1140,Hour 19,delta,0.4406392694063927,0.413819855599531,0.2100456621004566,0.5459770114942529,0.4854368932038835
session_m1080_1140,Hour 19,theta,0.3881278538812785,0.34692141632066537,0.46200607902735563,0.46111111111111114,0.11764705882352941
session_m1080_1140,Hour 19,alpha,0.3835616438356164,0.3323362571917485,0.45454545454545453,0.46153846153846156,0.08092485549132948
