feature,stage,x,density
R1,0,9.215376774246797,0.00012110572336029232
R1,0,9.233831643139457,0.00010361818722736088
R1,0,9.252286512032116,8.841492851294476e-05
R1,0,9.270741380924775,7.523708278654286e-05
R1,0,9.289196249817433,6.384891541166978e-05
R1,0,9.307651118710092,5.403670498419166e-05
R1,0,9.326105987602752,4.560752660874656e-05
R1,0,9.344560856495411,3.8387967070660615e-05
R1,0,9.36301572538807,3.2222800432658005e-05
R1,0,9.381470594280728,2.697364902086782e-05
R1,0,9.399925463173387,2.2517651246913345e-05
R1,0,9.418380332066047,1.8746154312438092e-05
R1,0,9.436835200958706,1.5563446615816446e-05
R1,0,9.455290069851365,1.2885541671872866e-05
R1,0,9.473744938744025,1.063902259566722e-05
R1,0,9.492199807636682,8.759953711424396e-06
R1,0,9.510654676529342,7.19286363808555e-06
R1,0,9.529109545422001,5.88980227590483e-06
R1,0,9.54756441431466,4.8094724688526834e-06
R1,0,9.56601928320732,3.916435734372216e-06
R1,0,9.584474152099977,3.1803903196622656e-06
R1,0,9.602929020992637,2.5755189431575667e-06
R1,0,9.621383889885296,2.0799028899749993e-06
R1,0,9.639838758777955,1.6749986281702186e-06
R1,0,9.658293627670615,1.3451727756166593e-06
R1,0,9.676748496563274,1.0772910522831805e-06
R1,0,9.695203365455932,8.603567775449712e-07
R1,0,9.71365823434859,6.851944960408173e-07
R1,0,9.73211310324125,5.441744191570322e-07
R1,0,9.75056797213391,4.309735349231175e-07
R1,0,9.769022841026569,3.4036945128567784e-07
R1,0,9.787477709919228,2.680632826727129e-07
R1,0,9.805932578811886,2.1052815568001822e-07
R1,0,9.824387447704545,1.6488018667317556e-07
R1,0,9.842842316597205,1.287690639125515e-07
R1,0,9.861297185489864,1.0028564289383206e-07
R1,0,9.879752054382523,7.788423082148394e-08
R1,0,9.89820692327518,6.031749064928113e-08
R1,0,9.91666179216784,4.6582134200258735e-08
R1,0,9.9351166610605,3.5873795737234056e-08
R1,0,9.953571529953159,2.7549681008191622e-08
R1,0,9.972026398845818,2.10977718995273e-08
R1,0,9.990481267738478,1.6111533570112647e-08
R1,0,10.008936136631135,1.2269219882834912e-08
R1,0,10.027391005523794,9.317004962484213e-09
R1,1,0.5969530013750306,8.356340286872706e-08
R1,1,0.6154078702676896,1.0746479639068437e-07
R1,1,0.6338627391603486,1.3781671015896776e-07
R1,1,0.6523176080530076,1.7624802117932614e-07
R1,1,0.6707724769456667,2.2476804095834875e-07
R1,1,0.6892273458383258,2.8584731134484265e-07
R1,1,0.7076822147309848,3.625135823540176e-07
R1,1,0.7261370836236438,4.5846537047018517e-07
R1,1,0.7445919525163028,5.782057772084788e-07
R1,1,0.7630468214089619,7.271995419936405e-07
R1,1,0.7815016903016209,9.120566069271615e-07
R1,1,0.7999565591942799,1.1407457789419493e-06
R1,1,0.818411428086939,1.4228423812240962e-06
