original_trial_number,window_index,stage,stage_name,R1,R2,band_half_width,normal_x,normal_y,normal_z,u_x,u_y,u_z,v_x,v_y,v_z,mse,mean_error,frac_inside
389,35,5,post_GO,3.5994566328527973,0.9356946578705376,0.887054881830922,-0.4217048543996353,0.8029455830707775,-0.4212403190613544,0.5674554513054988,0.5960521054467466,0.5680811547447893,0.707219433103655,0.0005274652877948,-0.7069939145572013,0.0077688247841679,0.0150827172667167,0.8503401360544217
684,36,0,pre_TC,4.047287994626117,1.230794049461177,1.011546306226629,-0.435534267714638,0.788935931526779,-0.4334627983947959,0.5546179635126279,0.6144626226980534,0.5611012385088229,0.7090196162274915,0.00397256252351,-0.7051775681001329,0.0064014411711041,0.0127144643615126,0.8639455782312925
684,37,1,post_TC,4.676362297817867,1.337649956731312,1.206401176855685,-0.4263097371478011,0.7980916444169062,-0.4258048087150864,0.5647118505883125,0.6025360784698596,0.563959927607704,0.7066544656464686,-3.541301856568868e-05,-0.7075588066922933,0.0079550728578453,0.010680440717581,0.9047619047619048
684,38,2,pre_SC,5.006780241203857,1.5175161883420385,1.272428858006699,-0.4317603340778132,0.7943047813753384,-0.4273908377601128,0.5609702639561907,0.6075118278495557,0.5623537516366487,0.7063252628031487,0.003048492605803,-0.707880872618335,0.0090169368490388,0.0075774421710221,0.8945578231292517
684,39,3,post_SC,3.843207203914576,1.274113930814654,0.9881542413986948,-0.4360393997298032,0.7917876853715939,-0.4277170831018638,0.5591027166362192,0.6107730709136264,0.5606785247329683,0.7051764276642211,0.0053401442519835,-0.7090117691026685,0.0099327826745346,0.0117939061197927,0.8945578231292517
684,40,4,pre_GO,3.858860883868572,1.5146651281248544,1.0762632616499197,-0.4317561026816328,0.7905003147914262,-0.434391436508391,0.5610976552598811,0.6124526521762154,0.5568403452554272,0.7062266555851819,-0.0033167992064515,-0.7079780432922995,0.0066392705797306,0.0104393784911031,0.8775510204081632
684,41,5,post_GO,2.98987507474006,0.982666883366154,0.7560427872791068,-0.4291693900951781,0.7904417216185089,-0.437053222537142,0.5636194752772793,0.612478815509075,0.5542587731743764,0.7057950989440895,-0.0084608083164791,-0.7083655080741401,0.0082419572027519,0.0181656287658316,0.7925170068027211
437,42,0,pre_TC,6.76515298185694,1.441460373544683,1.738830021615512,-0.4128770135223398,0.8043774627799103,-0.4272112698380366,0.5736787461714142,0.5939926850568826,0.5639728595332484,0.7074074270857409,-0.0122305956792408,-0.7067001801565238,0.0136237143798681,0.0078556001658945,0.8945578231292517
437,43,1,post_TC,5.630925477818247,1.467115100581783,1.5953827710361117,-0.4209696071901325,0.8023462045308485,-0.4231136465503416,0.5670431415129787,0.5968581431092229,0.5676463975639257,0.7079877580052338,-0.0009618103515382,-0.7062240504511088,0.0096938517743423,0.0081211811887051,0.9047619047619048
437,44,2,pre_SC,3.1280730986983407,1.0435183446139744,0.842092957666234,-0.4257597269543072,0.7982262853421173,-0.4261026311731934,0.566052752039189,0.6023556373692499,0.5628072210254105,0.7059128393878767,-0.0015759182750345,-0.708296957263644,0.0067716247420042,0.0132452748868947,0.7925170068027211
437,45,3,post_SC,3.796633626659288,1.136952218845679,0.9724412054403192,-0.4288124937207212,0.7943538056263385,-0.4302579188300543,0.5636348658206162,0.6074503089718654,0.5597498192597845,0.7059997048585732,-0.002480648491524,-0.7082077824499453,0.0078839244057996,0.0123121452503256,0.8537414965986394
437,46,4,pre_GO,3.6657361227629854,0.9638639045757588,0.8647337884783308,-0.4157585996407246,0.8021630149198317,-0.4285782126047819,0.5675668130665829,0.5970573910209682,0.5669130308368978,0.7106424554797064,-0.0075478024590409,-0.7035128507339529,0.0068070409452784,0.0139451297070142,0.8163265306122449
437,47,5,post_GO,4.179082585753464,0.858185639162019,1.0567456151443382,-0.4199634302450646,0.8050126776357597,-0.4190290038917393,0.5693060351436364,0.5932574227995748,0.5691539937857233,0.7067682474516179,0.000468122752137,-0.7074449980424327,0.0051325519584482,0.0096156460696769,0.8741496598639455
56,48,0,pre_TC,3.572835035723704,1.1736979708530395,0.9404508248531068,-0.4349540023390341,0.7912919643878263,-0.4297348519081395,0.5581271818133743,0.6114244972846338,0.5609404006142662,0.7066180473001777,0.0041365704983585,-0.7075830862974297,0.0081632110090397,0.0113767030653138,0.8707482993197279
56,49,1,post_TC,2.873492471526187,1.095243550616403,0.8319370159715848,-0.4290267328263676,0.7902931605083893,-0.4374617502982334,0.5608380822383875,0.6126949842836237,0.5568352554794441,0.7080937141590089,-0.0064479987090279,-0.7060890278719449,0.0061338836985943,0.0109681101881338,0.8639455782312925
56,50,2,pre_SC,4.512912592268412,1.2787460830541375,1.0857815478512272,-0.422783623162653,0.7993174958203719,-0.4270193776175848,0.5668570594561915,0.6008969359145683,0.5635565158466035,0.7070552185863135,-0.003796483100569,-0.7071481489659204,0.0075211291534718,0.0129320180182714,0.8571428571428571
56,51,3,post_SC,4.287170866150827,1.2894105116643806,1.2318200586429358,-0.4294511955064997,0.7932380235465644,-0.4316770884329842,0.5608209561812807,0.6089105466931294,0.5609882362704125,0.7078499316846418,-0.0011764887651261,-0.7063618690786142,0.0112883686635694,0.0099636812765805,0.891156462585034
56,52,4,pre_GO,3.300679146062284,1.1281380902718574,0.8714195545473229,-0.4307807876589862,0.7910655219246471,-0.43433081056493,0.559266373047211,0.6117284877622574,0.5594724132955256,0.708271866561507,-0.0018966502543833,-0.7059372250811622,0.0044126942745447,0.0131900993262392,0.782312925170068
56,53,5,post_GO,3.3594175852230155,0.9954184935938744,0.8153074369280493,-0.4208743322322269,0.8050047598586079,-0.4181293257750073,0.5700016673068199,0.5932676530525686,0.5684466475483364,0.7056648607770707,0.0009101903549235,-0.708545182622813,0.0089854560204218,0.0117195439244792,0.8537414965986394
82,54,0,pre_TC,3.9289821551212825,1.7600347522882425,1.2076712771207951,-0.4368118752462864,0.7822693984300905,-0.4441283304672729,0.5598019698802079,0.6228615247000363,0.5465027681234423,0.7041428407376317,-0.0099050153039,-0.7099892608411539,0.0117973719639712,0.0119294241499707,0.8979591836734694
82,55,1,post_TC,3.265521902759856,1.2481976053247916,0.8027290819802644,-0.4332708622750446,0.7948615027022112,-0.4248194339074214,0.5628155614248664,0.606777037957171,0.5613022982546342,0.7039282660338706,0.0041009425629503,-0.7102592333427589,0.0082570424767611,0.0133303860718816,0.8741496598639455
