feature,stage,stage_name,n,mean,sd,q25,median,q75,minimum,maximum,bandwidth
v_x,3,post_SC,198,0.70633322837106,0.0025156785612864764,0.7053939296522441,0.7068021189221141,0.7077634655688545,0.695587870785635,0.7135256912849408,0.0008782077707299757
v_x,4,pre_GO,196,0.7063063916229122,0.002556020137013204,0.7055797097079516,0.70681648193997,0.7075764762599477,0.6899839056182022,0.7116426956064681,0.0008782077707299757
v_x,5,post_GO,195,0.7069744703953965,0.0026742221884100406,0.7059134181237159,0.7070851837654195,0.7080743778386622,0.6949680353944321,0.7153167978004573,0.0008782077707299757
v_y,0,pre_TC,197,-0.0006056077345629195,0.006658778909150566,-0.0031755188506384,4.192626469279315e-05,0.002287182705969,-0.0257537367413741,0.0311956946181023,0.0024029124857521938
v_y,1,post_TC,195,-0.0007299381864292906,0.0061792707214446685,-0.0035220728125580003,-0.0006171659659928,0.001569473380121,-0.0214660545223002,0.0217087471152903,0.0024029124857521938
v_y,2,pre_SC,196,5.529473757994505e-06,0.00703904387079302,-0.002949582631658525,-0.00012859234898264998,0.0021078335452825,-0.0180071332825619,0.0565341683339876,0.0024029124857521938
v_y,3,post_SC,198,0.0017608156387379273,0.007106488172830852,-0.001200930180962475,0.00078356123668885,0.0038674268431277,-0.019572675539064,0.0360031783531494,0.0024029124857521938
v_y,4,pre_GO,196,0.0006540186102381224,0.006999457505937261,-0.00314411439413195,8.834302794666349e-05,0.00360772328691845,-0.0237321587951647,0.0318085109118406,0.0024029124857521938
v_y,5,post_GO,195,0.0009337678345074838,0.007152490012837331,-0.00148086070513775,0.0009399250538453,0.0046063605451017505,-0.0386636299911382,0.0260000772968769,0.0024029124857521938
v_z,0,pre_TC,197,-0.7075792520803587,0.002423243147466857,-0.7085533668458502,-0.7073717756352604,-0.7063144544872741,-0.7217435558713916,-0.6994166041455803,0.0008574379213406682
v_z,1,post_TC,195,-0.7075197403873421,0.002037592874892699,-0.7084702828065053,-0.7073352725927806,-0.706532544720691,-0.7155097308866798,-0.6998553982692455,0.0008574379213406682
v_z,2,pre_SC,196,-0.7076558283300051,0.002633770781581381,-0.708479555564158,-0.7074036562008734,-0.7065188233913251,-0.7309459829882063,-0.7010600452251519,0.0008574379213406682
v_z,3,post_SC,198,-0.7078331292109319,0.002453125199049116,-0.7088046644513213,-0.7073942565228479,-0.7064491162554545,-0.7179666434881774,-0.7003704279749862,0.0008574379213406682
v_z,4,pre_GO,196,-0.7078626148213841,0.002482143054858813,-0.7085994125699396,-0.7073901850605937,-0.7066270430162094,-0.7231254584243479,-0.7025365325858929,0.0008574379213406682
v_z,5,post_GO,195,-0.707192404356618,0.0026750043921046655,-0.7082917801654446,-0.7071053267071253,-0.7061353057338509,-0.718570404178018,-0.6977298922222038,0.0008574379213406682
mse,0,pre_TC,197,0.009578351772725672,0.0027012539284448143,0.0077629607782302,0.0090439322279315,0.0110683537589753,0.0030873259637087,0.0223938582875382,0.0009391952026995708
mse,1,post_TC,195,0.008594083324650415,0.002247467011824413,0.00712133568204445,0.0084001858893762,0.009701059463597249,0.003461326337255,0.0157808524215256,0.0009391952026995708
