fold,held_out,permuted_group,rep,base_r2,permuted_r2,r2_drop
1,ekez003_250906,spectrum,43,0.359210155056662,-0.4758067258683778,0.8350168809250398
1,ekez003_250906,spectrum,44,0.359210155056662,-0.29062039759085434,0.6498305526475163
1,ekez003_250906,spectrum,45,0.359210155056662,-0.4656687986192849,0.8248789536759469
1,ekez003_250906,spectrum,46,0.359210155056662,-0.44743488294658085,0.8066450380032428
1,ekez003_250906,spectrum,47,0.359210155056662,-0.4097176345753255,0.7689277896319875
1,ekez003_250906,spectrum,48,0.359210155056662,-0.5502195968017347,0.9094297518583967
1,ekez003_250906,spectrum,49,0.359210155056662,-0.4465436762757138,0.8057538313323758
1,ekez003_250906,spectrum,50,0.359210155056662,-0.3627666875752351,0.7219768426318971
1,ekez003_250906,spectrum,51,0.359210155056662,-0.6105552603262634,0.9697654153829254
1,ekez003_250906,spectrum,52,0.359210155056662,-0.4527117166475454,0.8119218717042074
1,ekez003_250906,spectrum,53,0.359210155056662,-0.3395429082824353,0.6987530633390973
1,ekez003_250906,spectrum,54,0.359210155056662,-0.3713127590083869,0.7305229140650489
1,ekez003_250906,spectrum,55,0.359210155056662,-0.6658830511060774,1.0250932061627394
1,ekez003_250906,spectrum,56,0.359210155056662,-0.38736819078359197,0.746578345840254
1,ekez003_250906,spectrum,57,0.359210155056662,-0.4561790565615629,0.8153892116182249
1,ekez003_250906,spectrum,58,0.359210155056662,-0.45403894949080237,0.8132491045474644
1,ekez003_250906,spectrum,59,0.359210155056662,-0.44829130003379447,0.8075014550904565
1,ekez003_250906,spectrum,60,0.359210155056662,-0.4339162403835257,0.7931263954401877
1,ekez003_250906,spectrum,61,0.359210155056662,-0.5287803163727385,0.8879904714294005
1,ekez003_250906,spectrum,62,0.359210155056662,-0.3912918384731412,0.7505019935298032
1,ekez003_250906,spectrum,63,0.359210155056662,-0.531425048198378,0.89063520325504
1,ekez003_250906,spectrum,64,0.359210155056662,-0.5092618244048974,0.8684719794615594
1,ekez003_250906,spectrum,65,0.359210155056662,-0.5926738973614705,0.9518840524181325
1,ekez003_250906,spectrum,66,0.359210155056662,-0.536580193768706,0.895790348825368
1,ekez003_250906,spectrum,67,0.359210155056662,-0.5192606790283614,0.8784708340850234
1,ekez003_250906,spectrum,68,0.359210155056662,-0.5098520286735777,0.8690621837302397
1,ekez003_250906,spectrum,69,0.359210155056662,-0.48705692920026844,0.8462670842569304
1,ekez003_250906,spectrum,70,0.359210155056662,-0.4193401072253866,0.7785502622820486
1,ekez003_250906,spectrum,71,0.359210155056662,-0.32726327870440564,0.6864734337610676
1,ekez003_250906,spectrum,72,0.359210155056662,-0.4466629284989172,0.8058730835555792
1,ekez003_250906,spectrum,73,0.359210155056662,-0.4489766068674661,0.8081867619241281
1,ekez003_250906,spectrum,74,0.359210155056662,-0.48145892634893683,0.8406690814055988
1,ekez003_250906,spectrum,75,0.359210155056662,-0.5686815214560528,0.9278916765127148
1,ekez003_250906,spectrum,76,0.359210155056662,-0.4255791316338,0.784789286690462
1,ekez003_250906,spectrum,77,0.359210155056662,-0.3682190137872139,0.7274291688438759
1,ekez003_250906,spectrum,78,0.359210155056662,-0.585625610227319,0.9448357652839809
1,ekez003_250906,spectrum,79,0.359210155056662,-0.4460698186160168,0.8052799736726788
1,ekez003_250906,spectrum,80,0.359210155056662,-0.5707424234978826,0.9299525785545446
1,ekez003_250906,spectrum,81,0.359210155056662,-0.5137069800404723,0.8729171350971343
1,ekez003_250906,spectrum,82,0.359210155056662,-0.473988067722414,0.833198222779076
1,ekez003_250906,spectrum,83,0.359210155056662,-0.455309374131015,0.814519529187677
1,ekez003_250906,spectrum,84,0.359210155056662,-0.5155214209119927,0.8747315759686547
1,ekez003_250906,spectrum,85,0.359210155056662,-0.4771239150494322,0.8363340701060942
1,ekez003_250906,spectrum,86,0.359210155056662,-0.5123865278724591,0.8715966829291211
1,ekez003_250906,spectrum,87,0.359210155056662,-0.5591164932891435,0.9183266483458055
1,ekez003_250906,spectrum,88,0.359210155056662,-0.35099792015524245,0.7102080752119044
1,ekez003_250906,spectrum,89,0.359210155056662,-0.4285692211900811,0.7877793762467431
1,ekez003_250906,spectrum,90,0.359210155056662,-0.44466684962086545,0.8038770046775274
1,ekez003_250906,spectrum,91,0.359210155056662,-0.32460543008029297,0.683815585136955
1,ekez003_250906,spectrum,92,0.359210155056662,-0.45361379702679017,0.8128239520834522
1,ekez003_250906,spectrum,93,0.359210155056662,-0.5454014011113231,0.904611556167985
