split,fold,held_out,n_train,n_test,accuracy,macro_f1,f1_mobile,f1_immobile,f1_sleep,confusion,feature_set
leave_channel_out,0,12,420,316,0.6740506329113924,0.6688724784373955,0.78125,0.5303867403314917,0.694980694980695,"[[0.7653061224489796, 0.08163265306122448, 0.15306122448979592], [0.18604651162790697, 0.5581395348837209, 0.2558139534883721], [0.022727272727272728, 0.29545454545454547, 0.6818181818181818]]",torus_shape
leave_channel_out,1,18,516,168,0.5595238095238095,0.5331344935447414,0.6744186046511628,0.6091954022988506,0.3157894736842105,"[[0.5370370370370371, 0.4074074074074074, 0.05555555555555555], [0.0, 0.9814814814814815, 0.018518518518518517], [0.05, 0.75, 0.2]]",torus_shape
leave_channel_out,2,19,420,316,0.680379746835443,0.6701034268495324,0.7850467289719626,0.5139664804469274,0.7112970711297071,"[[0.8571428571428571, 0.09183673469387756, 0.05102040816326531], [0.26744186046511625, 0.5348837209302325, 0.19767441860465115], [0.06818181818181818, 0.2878787878787879, 0.6439393939393939]]",torus_shape
leave_channel_out,0,12,420,316,0.8132911392405063,0.8105922759934839,0.8842105263157894,0.7213114754098361,0.8262548262548263,"[[0.8571428571428571, 0.08163265306122448, 0.061224489795918366], [0.06976744186046512, 0.7674418604651163, 0.16279069767441862], [0.015151515151515152, 0.17424242424242425, 0.8106060606060606]]",spectrum_plus_torus
leave_channel_out,1,18,516,168,0.7380952380952381,0.7385482734319945,0.7441860465116279,0.7441860465116279,0.7272727272727273,"[[0.5925925925925926, 0.2037037037037037, 0.2037037037037037], [0.0, 0.8888888888888888, 0.1111111111111111], [0.0, 0.26666666666666666, 0.7333333333333333]]",spectrum_plus_torus
leave_channel_out,2,19,420,316,0.8164556962025317,0.80830192239169,0.865979381443299,0.7093023255813954,0.849624060150376,"[[0.8571428571428571, 0.061224489795918366, 0.08163265306122448], [0.13953488372093023, 0.7093023255813954, 0.1511627906976744], [0.0, 0.14393939393939395, 0.8560606060606061]]",spectrum_plus_torus
leave_channel_out,0,12,420,316,0.8069620253164557,0.8029912783015751,0.8704663212435233,0.7103825136612022,0.828125,"[[0.8571428571428571, 0.08163265306122448, 0.061224489795918366], [0.10465116279069768, 0.7558139534883721, 0.13953488372093023], [0.015151515151515152, 0.18181818181818182, 0.803030303030303]]",all_features
leave_channel_out,1,18,516,168,0.7321428571428571,0.7347230255839822,0.7586206896551724,0.752,0.6935483870967742,"[[0.6111111111111112, 0.12962962962962962, 0.25925925925925924], [0.0, 0.8703703703703703, 0.12962962962962962], [0.0, 0.2833333333333333, 0.7166666666666667]]",all_features
leave_channel_out,2,19,420,316,0.819620253164557,0.8121910962303266,0.8808290155440415,0.7093023255813954,0.846441947565543,"[[0.8673469387755102, 0.061224489795918366, 0.07142857142857142], [0.11627906976744186, 0.7093023255813954, 0.1744186046511628], [0.0, 0.14393939393939395, 0.8560606060606061]]",all_features
leave_mouse_out,0,ekez003,486,296,0.6858108108108109,0.593176835112319,0.8076923076923077,0.19047619047619047,0.7813620071684588,"[[0.9545454545454546, 0.0, 0.045454545454545456], [0.5, 0.15625, 0.34375], [0.027777777777777776, 0.2152777777777778, 0.7569444444444444]]",native_spectrum
