original_trial_number,window_index,stage,stage_name,R1,R2,band_half_width
387,302,2,pre_SC,5.143297516707788,1.624435139679045,1.476505056119486
387,303,3,post_SC,3.7467116285768944,1.3397771726771623,0.9453754244003044
387,304,4,pre_GO,4.2551160263684,1.611996282950993,1.2617179035222266
387,305,5,post_GO,3.1468148349050367,0.7442675591243407,0.7493187314257607
158,306,0,pre_TC,4.335482430446108,1.6729025353462463,1.2201075884079235
158,307,1,post_TC,4.925189748430652,1.09811354968536,1.252784770494598
158,308,2,pre_SC,4.9913522577780975,1.8540613277086964,1.4692657770430644
158,309,3,post_SC,3.7072790554080655,1.362731157201446,1.0802682724177732
158,310,4,pre_GO,3.508805342765746,1.152196215221173,0.7921425828312285
158,311,5,post_GO,5.088041132693511,1.2491477379954443,1.3854610676563988
275,312,0,pre_TC,3.167321246438304,0.9806262693988363,0.8177605942975945
275,313,1,post_TC,5.014439995555113,1.87411841520842,1.574243836523466
275,314,2,pre_SC,4.33819263664189,1.1867455532427154,1.0201359403516803
275,315,3,post_SC,3.2296169657366067,1.0642955818937143,0.8265389724235506
275,316,4,pre_GO,3.784670819928223,1.398717311571818,1.0937491818292266
275,317,5,post_GO,3.894361204541765,1.1565391924913702,1.0478228937237908
254,318,0,pre_TC,3.3011644706405754,0.9098013410029068,0.7770775123514229
254,319,1,post_TC,5.529592806871836,1.4092067370165282,1.3935692245851372
254,320,2,pre_SC,5.284841300260479,1.2758756543972614,1.4614215466442784
254,321,3,post_SC,2.86826987174556,0.9006844413591176,0.7076493417216381
254,322,4,pre_GO,3.994785524601712,1.0198085952395648,0.8755196480165518
254,323,5,post_GO,4.831622444449168,1.340587498097538,1.2738375347102384
220,324,0,pre_TC,2.864502146259273,1.1073770375499896,0.7030099703719673
220,325,1,post_TC,4.202170453667636,1.2741216097143897,1.0631477354802956
220,326,2,pre_SC,4.173585838529457,1.4976868717078369,1.2361867873856254
220,327,3,post_SC,3.8851235608731294,1.206371271860602,1.072756729645204
220,328,4,pre_GO,3.060964372891841,1.1165621250628348,0.7980526856035108
220,329,5,post_GO,3.6926144315098814,0.9738690309483492,1.0278819919492332
589,330,0,pre_TC,4.572872760600558,1.452668046805165,1.2911119242663205
589,331,1,post_TC,3.870652079820664,1.4696705257188547,1.1264638142827468
589,332,2,pre_SC,2.806615703616551,0.832923378012111,0.5856813388640895
589,333,3,post_SC,4.819477208303627,1.1986613853847965,1.3052731186568414
589,334,4,pre_GO,4.317075636260923,1.2909358176627974,1.0487569690127814
589,335,5,post_GO,2.9159739872028068,0.9603709825014108,0.8047440459837077
530,336,0,pre_TC,5.604006902114237,1.8104671820101883,1.646765609741638
530,337,1,post_TC,4.430586747242497,1.0527172218138232,1.139967757501562
530,338,2,pre_SC,3.643360038979813,1.2979074865015263,0.9496356623722808
530,339,3,post_SC,3.577350312584599,1.0723636605635385,0.871793045880739
530,340,4,pre_GO,3.555022889554015,1.3995920663122867,0.99029690088683
530,341,5,post_GO,4.808219032159102,1.3481858392836543,1.2685896497870508
531,342,0,pre_TC,5.360426880997693,1.4794811096941152,1.460445922121416
531,343,1,post_TC,5.096550715770721,1.4133754242995618,1.337226461269006
531,344,2,pre_SC,4.394423272256529,1.3647877994544977,1.2006480762724163
531,345,3,post_SC,6.842405887312345,1.6046951946922148,1.9257921277784165
531,346,4,pre_GO,3.677243903350611,1.155382735909132,1.0194194599166382
531,347,5,post_GO,4.085780755130295,1.585872463271463,1.1469932528443223
91,348,0,pre_TC,7.517187272194147,1.7084922772656912,2.028460022004259
91,349,1,post_TC,2.941890278962753,0.9595393237054998,0.766748853867815
91,350,2,pre_SC,4.427551329187605,1.3460726244118737,1.300644650332913
91,351,3,post_SC,5.504516815566036,1.341732208081631,1.5299564213710315
91,352,4,pre_GO,3.3850210671626204,1.266736356770999,0.9576697941490216
91,353,5,post_GO,3.613191598647295,1.115086297685512,0.96390494227176
96,354,0,pre_TC,3.9063077604365,1.5569367947171002,1.1311760079096644
96,355,1,post_TC,3.9103716732461424,1.3309771263140544,1.0237029993057165
96,356,2,pre_SC,3.351831978987925,1.006720141400388,0.7313858937702137
96,357,3,post_SC,4.622695456283834,1.1593272723699724,0.9430968302846224
96,358,4,pre_GO,3.786773052696822,1.553826082693798,1.17492523884845
96,359,5,post_GO,2.9267165415529988,0.7074563981007469,0.6961099270742584
197,360,0,pre_TC,3.4715788841628705,1.1792698999507514,0.9726299770940832
197,361,1,post_TC,6.01919992185428,1.6757174562792805,1.7330479129838896
197,362,2,pre_SC,3.1534702001235426,1.261991114539575,0.8463906582667174
197,363,3,post_SC,3.4200646630726736,1.5101226345521082,1.0220224565559364
197,364,4,pre_GO,7.795169487060336,2.211434328614579,2.2206112895776373
197,365,5,post_GO,2.8555918707606014,0.52954251632898,0.5708271154455219
281,366,0,pre_TC,5.113693878612678,1.1697537502405853,1.3393543314766432
281,367,1,post_TC,3.0209628442691137,0.8775435759178086,0.7598887885192686
281,368,2,pre_SC,2.60172954372647,0.9462654414337136,0.492842113721181
281,369,3,post_SC,3.633874992107033,1.0519993186417589,0.8785723648515349
